Name of Facility,Location Street,Location City,Location State,ZIP Code,County,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Unit,Alzheimer Care,# of Licensed Beds,Max # of Beds,X,Y,Permit Type,x,y
LADSON'S RESIDENTIAL HOME CARE,1116 CAMP RD,CHARLESTON,SC,29412-8831,Charleston,843-762-6443,"LADSON, PAULINE M. PH#: 843-762-6443",PAULINELADSON@ATT.NET,PAULINELADSON@ATT.NET,CRC-1256 / 09/30/2021,Charleston / Sole Proprietorship,1116 CAMP RD,CHARLESTON,SC,29412-8831,"LADSON, PAULINE",N,N,5,5,-79.94708115,32.72664153,HLRESIDENTIALCARE,598663.8074,3621473.215
LAKE WYLIE ASSISTED LIVING COMMUNITY,4877 CHARLOTTE HWY,CLOVER,SC,29710-8096,York,803-831-9900, PH#: ,MBRAKEFIELD@SENIORLIFESTYLE.COM,,CRC-1241 / 01/31/2022,York / Limited Liability,4877 CHARLOTTE HWY,CLOVER,SC,29710-8096,LSREF GOLDEN OPS 14 (SC) LLC,N,N,110,118,-81.0706488,35.11471586,HLRESIDENTIALCARE,493562.1896,3885767.02
LAKES AT LITCHFIELD ASSISTED LIVING,120 LAKES AT LITCHFIELD DR,PAWLEYS ISLAND,SC,29585-5515,Georgetown,843-235-9393,"PORTER, RICHARD WAYNE PH#: ",LEXINGTON-LICENSING@WELL-MORE.COM,WPORTER@LAKES-LITCHFIELD.COM,CRC-1116 / 08/31/2021,Georgetown / Ltd. Liability,3530 TORINGDON WAY STE 204,CHARLOTTE,NC,28277-3436,LITCHFIELD RETIREMENT LLC,Y,Y,79,57,-79.10680036,33.4750375,HLRESIDENTIALCARE,675913.6491,3705555.06
LAKESIDE PLACE SENIOR LIVING,487 HWY 378,LEXINGTON,SC,29072,Lexington,803-520-0985, PH#: ,ED@LAKESIDEPLACESC.COM,,CRC-2011 / 03/31/2022,Lexington / Limited Liability,487 HWY 378,LEXINGTON,SC,29072,CR LAKESIDE PLACE SENIOR LIVING LLC,Y,Y,90,,-81.28412575,33.99154584,HLRESIDENTIALCARE,473758.9634,3761254.973
LAKEVIEW ASSISTED LIVING,320 CAMP RD,WALHALLA,SC,29691-4811,Oconee,864-638-5212,"WRIGHT, DOUGLAS A. PH#: 864-225-3370",DWRIGHT@SENIORSOLUTIONS-SC.ORG,DWRIGHT@SENIORSOLUTIONS-SC.ORG,CRC-0086 / 04/30/2022,Oconee / Non-Profit Corporation,3420 CLEMSON BLVD STE 17,ANDERSON,SC,29621-1324,LAKEVIEW ASSISTED LIVING INC,N,Y,19,19,-83.113416,34.723327,HLRESIDENTIALCARE,306484.9312,3844395.29
LAKEWOOD SENIOR LIVING,3709 CLARK RD,BOILING SPRINGS,SC,29316,Spartanburg,864-586-1457,"BOWMAN, KAREN S. PH#: 864-586-1457",DLITTLE3@MINDSPRING.COM,KKHERITAGE14@GMAIL.COM,CRC-1924 / 10/31/2021,Spartanburg / Limited Liability,PO BOX 6384,SPARTANBURG,SC,29304-6384,CR LAKEWOOD LLC,Y,Y,90,,-82.00244569,35.0600217,HLRESIDENTIALCARE,408590.419,3880158.649
LANDRUM COMMUNITY RESIDENCE I,722 BOMAR AVE,LANDRUM,SC,29356,Spartanburg,864-457-1370,"MASON, SUZAN B. PH#: 864-457-1370",SMASON@CHARLESLEA.ORG,SMASON@CHARLESLEA.ORG,CRC-1507 / 08/31/2021,Spartanburg / Corporation,195 BURDETTE ST,SPARTANBURG,SC,29307-1003,CHARLES LEA CENTER,N,N,5,,-82.18053859,35.16792004,HLRESIDENTIALCARE,392491.8554,3892302.998
LANDRUM COMMUNITY RESIDENCE II,722 BOMAR AVE,LANDRUM,SC,29356,Spartanburg,864-457-1374,"MASON, SUZAN B. PH#: 864-457-1370",SMASON@CHARLESLEA.ORG,SMASON@CHARLESLEA.ORG,CRC-1508 / 08/31/2021,Spartanburg / Corporation,195 BURDETTE ST,SPARTANBURG,SC,29307-1003,CHARLES LEA CENTER,N,N,5,,-82.18053859,35.16792004,HLRESIDENTIALCARE,392491.8554,3892302.998
LANGIT'S ASSISTED LIVING FACILITY,1273 REMOUNT RD,NORTH CHARLESTON,SC,29406-3439,Charleston,843-554-1671, PH#: ,JAMES.LANGIT@LANGITSASSISTEDLIVING.NET,,CRC-0861 / 03/31/2022,Charleston / Corporation,1273 REMOUNT RD,NORTH CHARLESTON,SC,29406-3439,LANGIT'S RESIDENTIAL HOME CARE INC,N,N,70,76,-79.99183474,32.90158633,HLRESIDENTIALCARE,594285.0249,3640827.498
LANGSTON PLACE,939 SPRINGDALE DR,CLINTON,SC,29325-7266,Laurens,864-833-0338,"MORGAN, MARY A. PH#: 864-833-0338",LEGALHELP@ENLIVANT.COM,MAMORGAN@ENLIVANT.COM,CRC-1408 / 11/30/2021,Laurens / ,330 N WABASH AVE STE 3700,CHICAGO,IL,60611-7605,LANGSTON AID OPCO LLC,N,N,44,44,-81.86763406,34.45763541,HLRESIDENTIALCARE,420307.0019,3813240.995
LAUREL CREST,100 JOSEPH WALKER DR,WEST COLUMBIA,SC,29169-6939,Lexington,803-796-0370,"ROWLETTE-CARTER, CASSANDRA N. PH#: 803-796-0370",CESSANDRA.CARTER@LAURELCREST.ORG,CASSANDRA.CARTER@LAURELCREST.ORG,CRC-1999 / 01/31/2022,Lexington / Non-Profit Corporation,100 JOSEPH WALKER DR,WEST COLUMBIA,SC,29169-6939,LAUREL CREST RETIREMENT COMMUNITY (NPC),Y,Y,26,,-81.06421,34.003451,HLRESIDENTIALCARE,494070.7086,3762540.531
LAURENS MEMORIAL HOME FOR AGED,3744 TORRINGTON RD,LAURENS,SC,29360-0638,Laurens,864-682-2322, PH#: ,MBDUNMOYER@AOL.COM,,CRC-0316 / 12/31/2021,Laurens / Non-Profit Corporation,PO BOX 638,LAURENS,SC,29360-0638,LAURENS MEMORIAL HOME FOR AGED INC,N,N,50,50,-81.94399762,34.50941544,HLRESIDENTIALCARE,413346.2834,3819045.746
LEGACY AT HAWTHORNE PARK,20 HAWTHORNE PARK CT,GREENVILLE,SC,29615-3194,Greenville,864-288-6775,"BAILEY, HOLLIE PH#: ",KEARA.LEE@NAVIONSL.COM,,CRC-2094 / 09/30/2021,Greenville / Limited Liability,,,,,NAVION BKE HAWTHORNE PARK LLC,Y,Y,68,,-82.330947,34.864039,HLRESIDENTIALCARE,378344.6403,3858773.491
LEGACY AT SOUTHPOINTE DRIVE,23 SOUTHPOINTE DR,GREENVILLE,SC,29607-5956,Greenville,846-675-0220, PH#: ,KEISHA.ELLIS@NAVIONSL.COM,,CRC-2108 / 11/30/2021,Greenville / Limited Liability,,,,,NAVION SOUTHPOINTE OPERATIONS LLC,N,Y,110,,-82.264209,34.81711,HLRESIDENTIALCARE,384379.5604,3853489.892
LEMONAIDE HOUSE,1018 CRYSTAL CLEAR LN,HOPKINS,SC,29061-8237,Richland,803-776-1742, PH#: ,LEMONS2LOVE@AOL.COM,,CRC-2170 / 10/31/2021,Richland / Limited Liability,,,,,LEMONAIDE HOUSE LLC,N,N,15,,-80.823662,33.96968,HLRESIDENTIALCARE,516290.3294,3758808.136
LENEVAR COMMUNITY RESIDENCE,1435 W LENEVAR DR,CHARLESTON,SC,29407-5118,Charleston,843-766-3061,"JOHNSTON, GLORIA J. PH#: 843-766-3061",GJOHNSTON@DSNCC.COM,DGOLDMINTZ@DSNCC.COM,CRC-0943 / 07/31/2021,Charleston / State,"PO BOX 22708, DISABILITIES BOARD OF CHARLESTON COUNTY",CHARLESTON,SC,29413-2708,DISABILITIES BOARD OF CHARLESTON COUNTY,N,N,8,8,-79.99783334,32.80983325,HLRESIDENTIALCARE,593820.5417,3630649.985
LEXINGTON PLACE,190 MCSWAIN DR,WEST COLUMBIA,SC,29169-4825,Lexington,312-725-7000, PH#: ,SARA@WRCOMPANIES.COM,,CRC-1989 / 10/31/2021,Lexington / Limited Liability,330 N WABASH AVE STE 3700,CHICAGO,IL,60611-7605,WEST COLUMBIA BG OPCO LLC,N,N,90,,-81.109431,34.010164,HLRESIDENTIALCARE,489895.5424,3763288.304
LIGHTHOUSE RESIDENTIAL CARE FACILITY,4033 DELREE ST LOT # 31,WEST COLUMBIA,SC,29170,Lexington,803-957-0583,"JONES, ERIC S. PH#: 803-957-0583",20LIGHTHOUSE17@GMAIL.COM,19EJONES19@GMAIL.COM,CRC-2013 / 03/31/2022,Lexington / Sole Proprietorship,48 CALEB CT,COLUMBIA,SC,29203,ANGELINE A SMITH,N,N,10,,-81.150133,33.971437,HLRESIDENTIALCARE,486130.9449,3758999.118
LOIS EARGLE HOME,406 WEBB ST,CONWAY,SC,29527-5842,Horry,843-349-7272,"CORNELL, TERRY A. PH#: 843-349-7272",ACORNELL@HCDSN.ORG,ACORNELL@HCDSN.ORG,CRC-1450 / 07/31/2021,Horry / County,408 WEBB ST,CONWAY,SC,29527-5842,HORRY COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,N,N,8,8,-79.07951861,33.81722675,HLRESIDENTIALCARE,677744.0018,3743548.996
LONG'S RESIDENTIAL CARE CENTER,1280 DENNY HWY,SALUDA,SC,29138-8972,Saluda,864-445-7901,"LONG, MARY J. PH#: 864-445-7901",LONGSRESCARE@YAHOO.COM,LONGSRESCARE@YAHOO.COM,CRC-0592 / 05/31/2022,Saluda / Corporation,1280 DENNY HWY,SALUDA,SC,29138-8972,LONG'S RESIDENTIAL CARE CENTER INC,N,Y,32,33,-81.71411519,34.06204882,HLRESIDENTIALCARE,434100.3578,3769265.885
LONGWOOD PLANTATION,1687 LONGWOOD DR,ORANGEBURG,SC,29118-2307,Orangeburg,803-535-0250,"JOHNSON-STILL, JERRI PH#: 803-535-0250",JERRI.JOHNSON-STILL@LONGWOODPLANTATION.,JERRI.JOHNSON-STILL@LONGWOODPLANTATION,CRC-0797 / 10/31/2021,Orangeburg / Limited Liability,1687 LONGWOOD DR,ORANGEBURG,SC,29118-2307,LONGWOOD PLANTATION-FHE LLC,Y,Y,42,42,-80.86758347,33.52782776,HLRESIDENTIALCARE,512295.6262,3709812.312
LOWCOUNTRY ASSISTED LIVING,6060 EHRHARDT RD,EHRHARDT,SC,29081,Bamberg,803-267-2222,"CASSIDY, SHERRI, RN. PH#: 803-267-2222",LOWCOUNTRYAL@YAHOO.COM,LOWCOUNTRYAL@YAHOO.COM,CRC-2029 / 06/30/2022,Bamberg / Limited Liability,PO BOX 116,EHRHARDT,SC,29081-0116,LOWCOUNTRY ASSISTED LIVING LLC,N,N,10,,-81.015122,33.099475,HLRESIDENTIALCARE,498589.0385,3662314.945
LUCILLE MANOR COMMUNITY RESIDENTIAL CARE FACILITY,1004 R L COWARD RD,EASTOVER,SC,29044,Richland,803-400-2554, PH#: ,JACQUELINEMACK58@YAHOO.COM,,CRC-1967 / 04/30/2022,Richland / Limited Liability,27 CARRIAGE OAKS CT,COLUMBIA,SC,29229,LUCILLE MANOR COMMUNITY RESIDENTIAL CARE LLC,N,N,9,,-80.785756,33.940489,HLRESIDENTIALCARE,519798.8409,3755578.232
M & M RESIDENTIAL CARE HOME,408 GENEVA AVE,MARION,SC,29571-4416,Marion,843-423-0120,"GORDON, TEQULIA PH#: 843-423-0120",SANDYBURGESS98@YAHOO.COM,TSGORDON@BOP.GOV,CRC-1379 / 08/31/2021,Marion / Sole Proprietorship,2527 TRIPLE CROWN DR,FLORENCE,SC,29505,"BURGESS, SANDY M.",N,N,5,5,-79.391045,34.173466,HLRESIDENTIALCARE,648288.1528,3782559.487
MAGNOLIAS OF SANTEE,118 BRITAIN ST,SANTEE,SC,29142-8922,Orangeburg,803-854-2020,"HARRELL, KIMBERLY FAYE PH#: ",KIMBERLY@MAGNOLIASOFSANTEE.COM,KIMBERLY@MAGNOLIASOFSANTEE.COM,CRC-1987 / 09/30/2021,Orangeburg / Limited Liability,118 BRITAIN ST,SANTEE,SC,29142-8922,CEDAR COMMUNITIES AT SANTEE LLC,Y,Y,52,,-80.476773,33.484736,HLRESIDENTIALCARE,548609.0663,3705149.382
MAGNOLIAS OF SUMMERVILLE,335 MIDLAND PKWY,SUMMERVILLE,SC,29485-8138,Dorchester,843-821-4122,"DAVIS, SEAN PH#: ",SEAN@MAGNOLIASOFSUMMERVILLE.COM,SEAN@MAGNOLIASOFSUMMERVILLE.COM,CRC-1414 / 05/31/2022,Dorchester / Ltd. Liability,335 MIDLAND PKWY,SUMMERVILLE,SC,29485-8138,CAROLINA RETIREMENT SERVICES OF SUMMERVILLE LLC,N,N,60,60,-80.15456855,32.96390815,HLRESIDENTIALCARE,579010.0015,3647602.996
MAGNOLIAS OF WALTERBORO,210 ACADEMY RD,WALTERBORO,SC,29488-9208,Colleton,843-538-8181, PH#: ,SCOTT@MAGNOLIASOFWALTERBORO.COM,,CRC-2153 / 04/30/2022,Colleton / Limited Liability,,,,,MAGNOLIAS OF WALTERBORO LLC,N,N,44,,-80.660512,32.937288,HLRESIDENTIALCARE,531736.1642,3644385.877
MANNING PLACE,10 COMPANION CT,GREER,SC,29651-1288,Greenville,864-989-0707,"SCHAAF, HEIDI RENEE PH#: 864-414-1967",LEGALHELP@ENVLIVANT.COM,HSCHAAF@ENLIVANT.COM,CRC-1407 / 11/30/2021,Greenville / ,330 N WABASH AVE STE 3700,CHICAGO,IL,60611-7605,MANNING AID OPCO LLC,N,N,44,44,-82.23758465,34.95243919,HLRESIDENTIALCARE,387000.0024,3868467.997
MAPLES OF HONEA PATH,224 WILDWOOD DR,HONEA PATH,SC,29654-1335,Anderson,864-369-2000,"WILLIS, MARK N. PH#: 864-369-2000",MARK@MAPLESHP.COM,WILLISFORHOUSE@GMAIL.COM,CRC-0819 / 05/31/2022,Anderson / Corporation,224 WILDWOOD DR,HONEA PATH,SC,29654-1335,MAPLE MANOR INC,N,N,74,74,-82.40969374,34.44972661,HLRESIDENTIALCARE,370503.1593,3812923.876
MARCHBANKS ASSISTED LIVING AND MEMORY CARE,2203 MARCHBANKS AVE,ANDERSON,SC,29621-2247,Anderson,864-231-7786,"COLEMAN, KAYLA J. PH#: 864-231-7786; MOORE, BRENT J. PH#: 864-231-7786",BRENT@MARCHBANKSAL.COM,KAYLA@MARCHBANKSAL.COM,CRC-1413 / 05/31/2022,Anderson / Ltd. Liability,2203 MARCHBANKS AVE,ANDERSON,SC,29621-2247,CAROLINA RETIREMENT SERVICES OF ANDERSON LLC,Y,Y,60,60,-82.62964232,34.52705103,HLRESIDENTIALCARE,350434.6168,3821802.64
MARETT BOULEVARD COMMUNITY RESIDENTIAL CARE FACILITY,1721 MARETT BLVD EXT,ROCK HILL,SC,29730,York,803-327-9466,"MCKNIGHT, SHARON Y. PH#: 803-628-5999",LEETTA.HART@MAXABILITIES.ORG,SHARON.MCKNIGHT@MAXABILITIES.ORG,CRC-0883 / 08/31/2021,York / Non-Profit Corporation,PO BOX 549,YORK,SC,29745-0549,YORK COUNTY BOARD OF DISIBALITIES AND SPECIAL NEEDS,N,N,8,8,-81.01507274,34.96506478,HLRESIDENTIALCARE,498624.0031,3869168.996
MARIAN PARKINS COMMUNITY RESIDENCE I,103 KERNS AVE,GREENVILLE,SC,29609,Greenville,864-232-0282,"STONE, AMANDA PH#: 864-449-2641",AMANDA.STONE@THRIVEUPSTATE.ORG,,CRC-2036 / 11/30/2021,Greenville / Non-Profit Corporation,1700 RIDGE RD,GREENVILLE,SC,29606,GREENVILLE COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,N,N,8,,-82.409699,34.879048,HLRESIDENTIALCARE,371169.2315,3860536.462
MARIAN PARKINS COMMUNITY RESIDENCE II,518 PICKETT ST,GREENVILLE,SC,29609,Greenville,864-232-0595,"STONE, AMANDA PH#: 864-288-1907",SWHITSEL@THRIVEUPSTATE.ORG,TYLER.REX@THRIVEUPSTATE.ORG,CRC-2037 / 11/30/2021,Greenville / Non-Profit Corporation,1700 RIDGE RD,GREENVILLE,SC,29607-4730,GREENVILLE COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,N,N,8,,-82.409745,34.879371,HLRESIDENTIALCARE,371165.48,3860572.406
MARIA'S PRIORITY CARE RESIDENTIAL HOME I,3117 MEETING STREET RD,NORTH CHARLESTON,SC,29405-7980,Charleston,843-554-0064,"PARANAL, ROGERIA R. PH#: 843-554-0064",RRPARANAL@GMAIL.COM,RRPARANAL@GMAIL.COM,CRC-0937 / 07/31/2021,Charleston / Sole Proprietorship,3117 MEETING STREET RD,NORTH CHARLESTON,SC,29405-7980,"PARANAL, ROGERIA R.",N,N,7,7,-79.9722828,32.85163952,HLRESIDENTIALCARE,596167.5525,3635307.779
MARIA'S PRIORITY CARE RESIDENTIAL HOME II-B,4583 DURANT AVE,NORTH CHARLESTON,SC,29405-5212,Charleston,843-566-0460,"RELLORA, JESUS N. PH#: 843-566-0460",JNRELLORA4SUS@GMAIL.COM,JNRELLORA4SUS@GMAIL.COM,CRC-0772 / 06/30/2021,Charleston / Partnership,PO BOX 61870,NORTH CHARLESTON,SC,29419-1870,JESUS N AND WILHELMINA C RELLORA,N,N,7,7,-79.99029856,32.87702837,HLRESIDENTIALCARE,594454.7534,3638106.247
MARIA'S PRIORITY CARE RESIDENTIAL HOME II-F,4583 DURANT AVE,NORTH CHARLESTON,SC,29405-5212,Charleston,843-566-0460,"RELLORA, JESUS N. PH#: 843-566-0460",JNRELLORA4SUS@GMAIL.COM,JNRELLORA4SUS@GMAIL.COM,CRC-0774 / 06/30/2021,Charleston / Partnership,PO BOX 61870,NORTH CHARLESTON,SC,29419-1870,JESUS N AND WILHELMINA C RELLORA,N,N,5,6,-79.99029856,32.87702837,HLRESIDENTIALCARE,594454.7534,3638106.247
MARIA'S PRIORITY CARE RESIDENTIAL HOME III,3115 MEETING STREET RD,NORTH CHARLESTON,SC,29405-7980,Charleston,843-554-0064,"PARANAL, ROGERIA R. PH#: 843-554-0064",RRPARANAL@GMAIL.COM,RRPARANAL@GMAIL.COM,CRC-0938 / 07/31/2021,Charleston / Sole Proprietorship,3115 MEETING STREET RD,NORTH CHARLESTON,SC,29405-7980,"PARANAL, ROGERIA R.",N,N,7,8,-79.97228098,32.85163862,HLRESIDENTIALCARE,596167.7231,3635307.681
MARTHA FRANKS BAPTIST RETIREMENT COMMUNITY,1 MARTHA FRANKS DR,LAURENS,SC,29360-1799,Laurens,864-984-4541, PH#: ,KHOLLIDAY@SCBMA.COM,,CRC-0360 / 02/28/2022,Laurens / Corporation,1 MARTHA FRANKS DR,LAURENS,SC,29360-1799,SOUTH CAROLINA BAPTIST MINISTRIES FOR THE AGING INC,Y,Y,82,82,-82.02572212,34.50039044,HLRESIDENTIALCARE,405834.0016,3818117.996
MARY'S HOME CARE,224 WARD LOOP,HEMINGWAY,SC,29554-3415,Georgetown,843-558-0953, PH#: ,MARYSHOMECARE1@GMAIL.COM,,CRC-1505 / 05/31/2022,Georgetown / Sole Proprietorship,224 WARD LOOP,HEMINGWAY,SC,29554-3415,"HOLMES, MARY W.",N,N,21,,-79.33780296,33.7032156,HLRESIDENTIALCARE,654040.4342,3730489.975
MARY'S RESIDENTIAL #2,633 SHARPE RD,COLUMBIA,SC,29203-9304,Richland,803-708-0300,"SIMMONS, NHAJIYAH PH#: 803-708-0300",M.BACOTE@HOTMAIL.COM,NHAJIYAH.SIMMONS@YAHOO.COM,CRC-1534 / 08/31/2021,Richland / Sole Proprietorship,529 HUMBLE DR,COLUMBIA,SC,29223-5435,"BACOTE, MARY",N,N,5,,-81.00509375,34.09081821,HLRESIDENTIALCARE,499530.1041,3772225.807
MARY'S RESIDENTIAL CARE FACILITY,10425 WILSON BLVD,BLYTHEWOOD,SC,29016-9017,Richland,803-708-1739,"SIMMONS, NHAJIYAH RAHESSIA PH#: 803-708-1739",NHAJIYAH.SIMMONS@YAHOO.COM,NHAJIYAH.SIMMONS@YAHOO.COM,CRC-1501 / 12/31/2021,Richland / Sole Proprietorship,529 HUMBLE DR,COLUMBIA,SC,29223-5435,"BACOTE, MARY",N,N,5,,-80.96913167,34.1830551,HLRESIDENTIALCARE,502844.4945,3782453.497
MARYVILLE COMMUNITY RESIDENCE,2602 OLD CHARLESTON RD,GEORGETOWN,SC,29440-1471,Georgetown,843-546-7268,"RANDOLPH, STACEY PH#: 843-546-7268",EKRAUSS@GCBDSN.COM,SANTLEY@GCBDSN.COM,CRC-1446 / 06/30/2021,Georgetown / County,"95 ACADEMY AVE, GEORGETOWN COUNTY DSNB",GEORGETOWN,SC,29440,GEORGETOWN COUNTY BOARD OF DISABILITIES AND SPECIAL NEEDS,N,N,8,8,-79.30074287,33.33675847,HLRESIDENTIALCARE,658141.0035,3689909.998
MASTER CARE,5870 MOOREFIELD MEMORIAL HWY,LIBERTY,SC,29657-9268,Pickens,864-878-9926,"MASTERS, JIMMY D. PH#: 864-878-9926",MASTERCAREASSIST@GMAIL.COM,JIMMY10536@ATT.NET,CRC-0358 / 02/28/2021,Pickens / Corporation,5870 MOOREFIELD MEMORIAL HWY,LIBERTY,SC,29657,MASTER CARE INC,N,N,14,14,-82.70183194,34.82697322,HLRESIDENTIALCARE,344370.8052,3855175.536
MCKINNEY HOUSE,307 MILLER RD,MAULDIN,SC,29662-2034,Greenville,864-297-5044,"DUNCAN, KIM PH#: 864-297-5044",KIM.DUNCAN@SCDMH.ORG,KIM.DUNCAN@SCDMH.ORG,CRC-2071 / 06/30/2021,Greenville / State,307 MILLER RD,MAULDIN,SC,29662-2034,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,N,N,10,,-82.306414,34.789308,HLRESIDENTIALCARE,380479.2173,3850456.106
MEADOWLARK DRIVE COMMUNITY RESIDENTIAL CARE FACILITY,1183 MEADOWLARK DR,ROCK HILL,SC,29730,York,803-327-9770,"MCKNIGHT, SHARON Y. PH#: 803-628-5999",LEETTA.HART@MAXABILITIES.ORG,SHARON.MCKNIGHT@MAXABILITIES.ORG,CRC-0881 / 08/31/2021,York / Non-Profit Corporation,PO BOX 549,YORK,SC,29745-0549,YORK COUNTY BOARD OF DISIBALITIES AND SPECIAL NEEDS,N,N,8,8,-81.07987739,34.94988698,HLRESIDENTIALCARE,492706.6142,3867488.657
MEMORY CARE OF SIMPSONVILLE,645 SCUFFLETOWN RD,SIMPSONVILLE,SC,29681,Greenville,864-962-3038,"MERRITT, RITA G. PH#: 864-579-0086",RMERRITT@MEMORYCARESIMPSONVILLE.COM,RMERRITT@MEMORYCARESIMPSONVILLE.COM,CRC-1886 / 08/31/2021,Greenville / Limited Liability,645 SCUFFLETOWN RD,SIMPSONVILLE,SC,29681,MCA SIMPSONVILLE OPERATING COMPANY,Y,Y,64,,-82.21556493,34.78519689,HLRESIDENTIALCARE,388785.663,3849895.741
MERRILL GARDENS AT CAROLINA PARK,3501 MERRILL PL,MOUNT PLEASANT,SC,29466,Charleston,843-606-5705,"JONES, ROBERT PH#: ",LICENSING@MERRILLGARDENS.COM,ROBERTJ@MERRILLGARDENS.COM,CRC-1917 / 11/30/2021,Charleston / Limited Liability,1938 FAIRVIEW AVE E STE 300,SEATTLE,WA,98102,NEW MERRILL GARDENS AT CAROLINA PARK LLC,Y,Y,193,,-79.77093607,32.88600582,HLRESIDENTIALCARE,614965.0964,3639319.236
MERRILL GARDENS AT COLUMBIA,2205 GREGG ST,COLUMBIA,SC,29201,Richland,647-227-7385,"ANHAR, WILSON PH#: ",WILSONA@MERRILLGARDENS.COM,WILSONA@MERRILLGARDENS.COM,CRC-1979 / 07/31/2021,Richland / ,1938 FAIRVIEW AVE E STE 300,SEATTLE,WA,98102,MERRILL GARDENS AT COLUMBIA LLC,Y,Y,18,,-81.029235,34.020071,HLRESIDENTIALCARE,497300.9728,3764381.744
MIDLAND PARK RESIDENTIAL HOME CARE,2712 MIDLAND PARK RD,NORTH CHARLESTON,SC,29406-4551,Charleston,843-569-0025,"SINGIAN, ROGELIO C. PH#: 843-569-0025",MIDLANDPARKRCF@GMAIL.COM,RVBALAGTASSC@AOL.COM,CRC-0905 / 01/31/2022,Charleston / Corporation,104 BIRKBECK CT,GOOSE CREEK,SC,29445,MIDLAND PARK ENTERPRISES INC,N,N,52,55,-80.04716665,32.92133297,HLRESIDENTIALCARE,589090.3218,3642968.596
MIDWAY RESIDENTIAL CARE FACILITY #1,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,Spartanburg,864-433-8999,"WALKER, LINDA C. PH#: 864-433-8999",MIDWAYRESIDENTIALCARE@YAHOO.COM,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0318 / 12/31/2021,Spartanburg / Corporation,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,MIDWAY RESIDENTIAL CARE FACILITY INC,N,N,13,13,-82.06386074,34.88468566,HLRESIDENTIALCARE,402783.0031,3860771.495
MIDWAY RESIDENTIAL CARE FACILITY #1A,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,Spartanburg,864-433-8999,"WALKER, LINDA C. PH#: 864-433-8999",MIDWAYRESIDENTIALCARE@YAHOO.COM,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0320 / 12/31/2021,Spartanburg / Corporation,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,MIDWAY RESIDENTIAL CARE FACILITY INC,N,N,14,14,-82.06387959,34.8846855,HLRESIDENTIALCARE,402781.281,3860771.496
MIDWAY RESIDENTIAL CARE FACILITY #2,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,Spartanburg,864-433-8999,"WALKER, LINDA C. PH#: 864-433-8999",MIDWAYRESIDENTIALCARE@YAHOO.COM,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0321 / 12/31/2021,Spartanburg / Corporation,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,MIDWAY RESIDENTIAL CARE FACILITY INC,N,N,25,25,-82.06390693,34.88468528,HLRESIDENTIALCARE,402778.7819,3860771.498
MIDWAY RESIDENTIAL CARE FACILITY #3,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,Spartanburg,864-433-8999,"WALKER, LINDA C. PH#: 864-433-8999",MIDWAYRESIDENTIALCARE@YAHOO.COM,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0346 / 12/31/2021,Spartanburg / Corporation,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,MIDWAY RESIDENTIAL CARE FACILITY INC,N,N,17,19,-82.06385528,34.88468572,HLRESIDENTIALCARE,402783.5029,3860771.496
MIDWAY RESIDENTIAL CARE FACILITY #4,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,Spartanburg,864-433-8999,"WALKER, LINDA C. PH#: 864-433-8999",MIDWAYRESIDENTIALCARE@YAHOO.COM,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0322 / 12/31/2021,Spartanburg / Corporation,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,MIDWAY RESIDENTIAL CARE FACILITY INC,N,N,14,14,-82.06385977,34.88468569,HLRESIDENTIALCARE,402783.0918,3860771.498
MIDWAY RESIDENTIAL CARE FACILITY #5,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,Spartanburg,864-433-8999,"WALKER, LINDA C. PH#: 864-433-8999",MIDWAYRESIDENTIALCARE@YAHOO.COM,MIDWAYRESIDENTIALCARE@YAHOO.COM,CRC-0616 / 12/31/2021,Spartanburg / Corporation,4026 MOORE DUNCAN HWY,MOORE,SC,29369-9721,MIDWAY RESIDENTIAL CARE FACILITY INC,N,N,12,12,-82.06385528,34.88468572,HLRESIDENTIALCARE,402783.5029,3860771.496
