Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,License / Expiration,Ownership Type,Licensee,Capacity,Longitude,Latitude
RIDGEVIEW COMMUNITY CARE HOMES UNIT B,217 CHANDLER RD,GREER,SC,29651-1290,Greenville,864-877-8599,RIDGEVIEW1@MSN.COM,CRC-0560 / 01/31/2022,Greenville / Corporation,RIDGEVIEW COMMUNITY CARE HOMES INC,10,-82.23437051,34.95716095
RIDGEVIEW COMMUNITY CARE HOMES UNIT C,217 CHANDLER RD,GREER,SC,29651-1290,Greenville,864-877-8599,RIDGEVIEW1@MSN.COM,CRC-0561 / 01/31/2022,Greenville / Corporation,RIDGEVIEW COMMUNITY CARE HOMES INC,11,-82.23436951,34.95716095
RIDGEVIEW COMMUNITY CARE HOMES UNIT D,217 CHANDLER RD,GREER,SC,29651-1290,Greenville,864-877-8599,RIDGEVIEW1@MSN.COM,CRC-0562 / 01/31/2022,Greenville / Corporation,RIDGEVIEW COMMUNITY CARE HOMES INC,11,-82.23436967,34.95716998
RILEY'S RESIDENTIAL CARE HOME,2327 BRIAN CHRISTOPHER RD,GREAT FALLS,SC,29055-8844,Chester,803-482-3290,BPRILEY09@YAHOO.COM,CRC-0900 / 10/31/2021,Chester / Sole Proprietorship,"GOODE-RILEY, BEVERLY",10,-80.93398362,34.59984869
RIVER PARK SENIOR LIVING,190 RIVER PARK DR,LITTLE RIVER,SC,29566,Horry,843-741-0082,DLITTLE3@MINDSPRING.COM,CRC-1962 / 02/28/2022,Horry / Limited Liability,CR RIVER PARK LLC,90,-78.64787852,33.86999466
ROCKHAVEN COMMUNITY CARE HOME,524 ROCKHAVEN DR,COLUMBIA,SC,29223-7805,Richland,803-699-5361,RBARNES3469@GMAIL.COM,CRC-0800 / 01/31/2022,Richland / Sole Proprietorship,RICHIE D BARNES,10,-80.9419179,34.11177268
ROLLING GREEN VILLAGE ASSISTED LIVING FACILITY,1 HOKE SMITH BLVD OFC,GREENVILLE,SC,29615-5399,Greenville,864-987-9800,"RYANT@ROLLINGGREENVILLAGE.COM",CRC-0573 / 03/31/2022,Greenville / Non-Profit Corporation,ROLLING GREEN VILLAGE,52,-82.26442352,34.84160464
ROSECREST COMMUNITY RESIDENTIAL CARE,200 FORTRESS DR,INMAN,SC,29349-9160,Spartanburg,864-599-8600,MYETTER@LHOMES.ORG,CRC-1208 / 07/31/2021,Spartanburg / Non-Profit Corporation,LUTHERAN HOMES OF SOUTH CAROLINA INC,45,-82.02765435,35.03863685
ROSEWOOD ASSISTED LIVING,5221 HWY 215,PAULINE,SC,29374-1908,Spartanburg,864-573-4060,WIJG38@GMAIL.COM,CRC-1367 / 11/30/2021,Spartanburg / Ltd. Liability,ROSEWOOD ASSISTED LIVING LLC,75,-81.862549,34.825553
ROUSE COMMUNITY CARE HOME #1,102 BALLENTON RD,COLUMBIA,SC,29203-9073,Richland,803-788-1753,MATRICEROUSE@AOL.COM,CRC-0327 / 12/31/2021,Richland / Corporation,ROUSE COMMUNITY CARE HOME INC,8,-80.96080405,34.109663
ROUSE COMMUNITY CARE HOME #2,8809 WILSON BLVD,COLUMBIA,SC,29203-1817,Richland,803-786-9357,MATRICEROUSE@AOL.COM,CRC-0328 / 12/31/2021,Richland / Corporation,ROUSE COMMUNITY CARE HOME INC,9,-80.98722796,34.11104622
ROUSE COMMUNITY CARE HOME #3,9316 WILSON BLVD,COLUMBIA,SC,29203-9769,Richland,803-754-5720,MATRICEROUSE@AOL.COM,CRC-0238 / 09/30/2021,Richland / Corporation,ROUSE COMMUNITY CARE HOME INC,10,-80.99178088,34.12869932
ROYAL HILL COMMUNITY RESIDENTIAL CARE FACILITY,310 E MAIN ST BLD B,KINGSTREE,SC,29556,Williamsburg,843-355-1300,ASHCOURTCOMPANIONCARE@YAHOO.COM,CRC-1946 / 05/31/2022,Williamsburg / Limited Liability,ROYAL HILL COMMUNITY RESIDENTIAL CARE FACILITY LLC,5,-79.825641,33.664828
RUDNICK CRCF,629 CHESTERFIELD ST,AIKEN,SC,29801-4053,Aiken,803-642-1041,RDUNBAR@AIKENTDC.ORG,CRC-1429 / 02/28/2022,Aiken / Corporation,TRI-DEVELOPMENT CENTER OF AIKEN COUNTY INC,8,-81.71417825,33.57123981
RUMPH'S RESIDENTIAL CARE,574 PROGRESSIVE WAY,DENMARK,SC,29042-1873,Bamberg,803-793-0068,SEBRINA.COLLINS@YAHOO.COM,CRC-0791 / 11/30/2021,Bamberg / Corporation,RUMPH'S RESIDENTIAL CARE INC,8,-81.13860519,33.32298903
S&S BOARDING HOME LLC,3589 BLUFF RD,ALLENDALE,SC,29810-4139,Allendale,803-573-7006,ESABB@ALLENDALECOUNTY.COM,CRC-1923 / 10/31/2021,Allendale / Sole Proprietorship,"SABB, ELAINE",5,-81.31986722,33.00543152
SANDERS CRCF,625 CHESTERFIELD ST,AIKEN,SC,29801-4053,Aiken,803-642-1044,MHALL@AIKENTDC.ORG,CRC-1430 / 02/28/2022,Aiken / Corporation,TRI-DEVELOPMENT CENTER OF AIKEN COUNTY INC,8,-81.7143048,33.57090537
SANDPIPER COURTYARD ASSISTED LIVING,1047 ANNA KNAPP BLVD,MOUNT PLEASANT,SC,29464-3133,Charleston,843-884-7977,DURENASTINSON@SANDPIPERCENTER.COM,CRC-1325 / 09/30/2021,Charleston / Limited Liability,SANDPIPER INDEPENDENT AND ASSISTED LIVING-DELAWARE LLC,64,-79.86390196,32.80954881
SAVANNAH HALL ASSISTED LIVING,1010 LAKE HUNTER CIR,MOUNT PLEASANT,SC,29464-5417,Charleston,843-888-2030,LICENSING@5SSL.COM,CRC-1431 / 06/30/2022,Charleston / Limited Liability,SNH SE SG TENANT LLC,16,-79.86188389,32.81399277
SAVANNAH PLACE,1501 SECESSIONVILLE RD,CHARLESTON,SC,29412-8236,Charleston,843-762-1396,EGRANT@ENLIVANT.COM,CRC-1410 / 11/30/2021,Charleston / Limited Liability,SAVANNAH AID OPCO LLC,44,-79.95764677,32.71078022
SC EPISCOPAL HOME AT STILL HOPES (CRCF),1 STILL HOPES DR,WEST COLUMBIA,SC,29169-7164,Lexington,803-796-6490,NROBERTSON@STILLHOPES.ORG,CRC-0144 / 07/31/2021,Lexington / Corporation,SOUTH CAROLINA EPISCOPAL HOME AT STILL HOPES INC,46,-81.06182115,33.98582944
SECESSIONVILLE COMMUNITY RESIDENCE,1217 SECESSIONVILLE RD,CHARLESTON,SC,29412-9749,Charleston,843-762-2134,ETURNER@DSNCC.COM,CRC-1287 / 12/31/2021,Charleston / State,DISABILITIES BOARD OF CHARLESTON COUNTY,8,-79.95657524,32.72229006
SEDGEWOOD MANOR ASSISTED LIVING,1645 RIDGE RD,HOPKINS,SC,29061-8432,Richland,803-776-3873,JOE.HUNT@SEDGEWOOD.COM,CRC-2178 / 11/30/2021,Richland / Limited Liability,SEDGEWOOD MANOR HEALTH CARE CENTER LLC,16,-80.844179,33.96167
SENECA RESIDENTIAL CARE CENTER,126 TOKEENA RD,SENECA,SC,29678-1744,Oconee,864-882-7390,SENECARESIDENTIAL@GMAIL.COM,CRC-0337 / 12/31/2021,Oconee / Sole Proprietorship,WILBURN E HAMMERS,33,-82.9629158,34.65632314
SERENITY MANOR OF HOLLY HILL,656 GARDNER BLVD,HOLLY HILL,SC,29059-8450,Orangeburg,803-496-3022,LUTHER.RILEY@YAHOO.COM,CRC-1516 / 07/31/2021,Orangeburg / Limited Liability,SERENITY MANOR OF HOLLY HILL LLC,5,-80.413835,33.317554
SEVILLE'S RESIDENTIAL CARE FACILITY,109 BENNETT LN,HAMPTON,SC,29924-1375,Hampton,803-914-0105,KAMILLE.JENKINS@GMAIL.COM,CRC-1178 / 08/31/2021,Hampton / Sole Proprietorship,GENORA W JENKINS,10,-81.09979684,32.86911872
SHEM CREEK HEALTH CENTER,1400 LIBERTY MIDTOWN DR,MOUNT PLEASANT,SC,29464,Charleston,843-936-2801,LFURLOUGH@LIBERTYSENIORLIVING.COM,CRC-1952 / 07/31/2021,Charleston / Limited Liability,SOUTH BAY AT MT PLEASANT LLC,110,-79.85950388,32.8180114
SHEPHERD'S CARE CENTER,2100 N PLEASANTBURG DR,GREENVILLE,SC,29609-3156,Greenville,864-322-6212,ETHOMPSO@SHEPHERDSCARECENTER.COM,CRC-1326 / 10/31/2021,Greenville / Ltd. Liability,SHEPHERD'S CARE CENTER LLC,90,-82.37288901,34.8891674
SHERMAN RESIDENTIAL CARE,20 MAYFIELD ST,GREENVILLE,SC,29601-1815,Greenville,864-242-0401,0911BEAUTYJ@GMAIL.COM,CRC-2009 / 02/28/2022,Greenville / Limited Liability,SHERMAN RESIDENTIAL CARE 2 LLC,16,-82.407969,34.852102
SIX MILE RETIREMENT CENTER,120 S MAIN ST,SIX MILE,SC,29682-9332,Pickens,864-868-9050,SRETIREMENT@ATT.NET,CRC-0542 / 09/30/2021,Pickens / Sole Proprietorship,WILBURN E HAMMERS,41,-82.81816107,34.803418
SOMERBY OF MOUNT PLEASANT,3100 TRADITION CIR,MOUNT PLEASANT,SC,29466-7153,Charleston,843-849-3096,CANDY.CURE@SOMERBYLIVING.COM,CRC-2048 / 02/28/2022,Charleston / Limited Liability,TRADITION SENIOR CARE LLC,118,-79.79363751,32.89535805
SOUTH ISLAND LIVING LLC,2902 S ISLAND RD,GEORGETOWN,SC,29440-4420,Georgetown,843-545-5427,ADMIN@SOUTHISLANDLIVING.COM,CRC-2194 / 04/30/2022,Georgetown / Limited Liability,SOUTH ISLAND LIVING LLC,48,-79.299648,33.327142
SOUTHERN HERITAGE,1713 CHARLESTON HWY,WEST COLUMBIA,SC,29169-5051,Lexington,803-796-3113,JDQCSI@AOL.COM,CRC-0993 / 03/31/2022,Lexington / Corporation,QUALITY CARE SERVICES INC,10,-81.07825505,33.96749131
SOUTHERN OAKS PERSONAL CARE HOME,120 ROPER MOUNTAIN RD EXT,GREENVILLE,SC,29615-4823,Greenville,864-288-3271,MHOLTZCLAW@BLUERIDGERX.COM,CRC-1931 / 06/30/2021,Greenville / Limited Liability,PATRIOT LIVING LLC,64,-82.31881857,34.85147285
SPRENGER HEALTHCARE AT PORT ROYAL ASSISTED LIVING,1810 RICHMOND AVE,PORT ROYAL,SC,29935,Beaufort,843-781-7700,JCOE@SPRENGERHEALTHCARECOM,CRC-2016 / 05/31/2022,Beaufort / Corporation,SPRENGER HEALTHCARE OF PORT ROYAL INC,59,-80.68888,32.383536
SPRENGER HEALTHCARE OF BLUFFTON ASSISTED LIVING,60 OKATIE DR,OKATIE,SC,29909,Beaufort,843-548-2500,EQUANDAHL@SPRENGERHEALTHCARE.COM,CRC-2042 / 03/31/2022,Beaufort / Corporation,SPRENGER HEALTHCARE OF BLUFFTON INC,58,-80.91117884,32.31507208
SPRING PARK ASSISTED LIVING,925 N MAIN ST,TRAVELERS REST,SC,29690-1553,Greenville,864-610-2435,LHAWKINS@SPRINGPARKTRAVELERSREST.COM,CRC-2063 / 02/28/2022,Greenville / Limited Liability,AFF18 SPRING PARK ALF LLC,80,-82.458779,34.976984
SPRINGFIELD PLACE RESIDENTIAL CARE,2006 SPRINGFIELD CIR,NEWBERRY,SC,29108-3084,Newberry,803-405-1585,KMONTGOMERY@NEWBERRYCCRC.COM,CRC-1250 / 02/28/2022,Newberry / Limited Liability,NEWBERRY OPERATOR LLC,50,-81.60139371,34.28594159
SPRINGHILL ASSISTED LIVING,514 S GUM ST,PAGELAND,SC,29728-9143,Chesterfield,843-675-2500,SPRINGHILLASSISTEDLIVING@YAHOO.COM,CRC-1171 / 07/31/2022,Chesterfield / Corporation,HOSPICE OF CHESTERFIELD COUNTY INC,32,-80.38178887,34.76790362
SPRINGS AT SIMPSONVILLE,214 E CURTIS ST,SIMPSONVILLE,SC,29681-2622,Greenville,864-962-8570,PEGGYM@CARAVITA.COM,CRC-1198 / 05/31/2022,Greenville / Ltd. Liability,CURTIS GROUP LLC,89,-82.25237893,34.73758212
ST GABRIEL OF MURRELLS INLET,699 PRINCE CREEK PKWY,MURRELLS INLET,SC,29576,Horry,843-353-1525,JRICHARDSON@VERITASHCG.COM,CRC-2110 / 07/31/2021,Horry / Limited Liability,VERITAS SENIOR LIVING LLC,110,-79.048133,33.58173
STOKES RESIDENTIAL CARE,2525 SAINT MATTHEWS RD,ORANGEBURG,SC,29118-1319,Orangeburg,803-533-0070,MCAKLEY18.COM,CRC-2072 / 12/31/2021,Orangeburg / Limited Liability,BRIANS AND STOKES ASSISTED LIVING LLC,17,-80.846916,33.532285
STRATFORD PLACE GOOSE CREEK - ASSISTED LIVING,97 BRIDGETOWN RD,GOOSE CREEK,SC,29445,Berkeley,843-300-1951,GCCD@STRATFORDPLACE.COM,CRC-2096 / 01/31/2022,Berkeley / Corporation,SPGCAL INC,34,-80.048081,33.010661
STRATFORD PLACE OF GOOSE CREEK MEMORY CARE,95 BRIDGETOWN RD,GOOSE CREEK,SC,29445,Berkeley,843-300-1952,GCCD@STRATFORDPLACE.COM,CRC-1919 / 02/28/2022,Berkeley / Corporation,SPGCMC INC,34,-80.049742,33.008923
SUMMIT HILLS ASSISTED LIVING COMMUNITY,100 SUMMIT HILLS DR,SPARTANBURG,SC,29307-1532,Spartanburg,864-591-2222,LICENSING@SUMMIT-HILLS.COM,CRC-1113 / 09/30/2021,Spartanburg / Ltd. Liability,SUMMIT HILLS LLC,79,-81.89072293,34.98389125
SUMMIT PLACE OF ANDERSON,107 PERPETUAL SQUARE DR,ANDERSON,SC,29621-1713,Anderson,864-222-9880,LCOOLEY@CAPITALSENIORLIVING.NET,CRC-1151 / 10/31/2021,Anderson / Limited Liability,CSL SUMMIT PLACE SC LLC,89,-82.631676,34.552062
SUMMIT PLACE OF BEAUFORT,1119 PICKPOCKET PLANTATION DR,BEAUFORT,SC,29902-3771,Beaufort,843-770-0105,LICENSING@5SSL.COM,CRC-1375 / 06/30/2022,Beaufort / Corporation,SNH SE TENANT TRS INC,87,-80.701887,32.438699
SUMMIT PLACE OF DANIEL ISLAND,320 SEVEN FARMS DR,DANIEL ISLAND,SC,29492-7532,Berkeley,843-884-4104,LICENSING@5SSL.COM,CRC-1282 / 05/31/2022,Berkeley / Limited Liability,SNH SE DANIEL ISLAND TENANT LLC,76,-79.91392874,32.85808422
SUMMIT PLACE OF NORTH MYRTLE BEACH,491 HWY 17,LITTLE RIVER,SC,29566-8082,Horry,843-399-5662,LICENSING@5SSL.COM,CRC-1360 / 06/30/2022,Horry / Corporation,SNH SE N MYRTLE BEACH TENANT LLC,80,-78.64994274,33.86527278
SUNNY PINES BOARDING HOME,108 GAPWAY RD,ANDREWS,SC,29510-6786,Williamsburg,843-221-7436,PAPION22@PEOPLEPC.COM,CRC-0098 / 05/31/2021,Williamsburg / Sole Proprietorship,"DUROUSSEAU, MATTIE H.",18,-79.57217,33.467017
SWEETGRASS COURT SENIOR LIVING COMMUNITY,1010 ANNA KNAPP BLVD,MOUNT PLEASANT,SC,29464-5400,Charleston,843-971-7756,JBRYANTSINGLETARY@5SSL.COM,CRC-2117 / 01/31/2022,Charleston / Limited Liability,SNH SC TENANT LLC,38,-79.864314,32.814881
TERRABELLA,104 DILLON DR,SPARTANBURG,SC,29307-1018,Spartanburg,864-948-9300,JPEARSON@TERRABELLASENIORLIVING.COM,CRC-2193 / 05/31/2022,Spartanburg / Limited Liability,SPARTANBURG AL/MC LLC,55,-81.892815,34.980805
THORNE RETIREMENT HOME,702 W 3RD AVE,LAKE VIEW,SC,29563,Dillon,843-759-9099,MARIE@LAKEFIELDPROP.COM,CRC-1968 / 03/31/2022,Dillon / Limited Liability Company (single member),LAKEFIELD PROPERTIES LLC,76,-79.17339,34.34401
TRICOUNTY CRISIS STABILIZATION CENTER,5 CHARLESTON CENTER DR STE 246,CHARLESTON,SC,29401-1162,Charleston,843-953-2390,LAURA.UMINSKI@SCDMH.ORG,CRC-1956 / 06/30/2021,Charleston / State,CHARLESTON DORCHESTER MENTAL HEALTH CENTER,10,-79.95098,32.783198
TRINITY ON LAURENS,213 LAURENS ST NW,AIKEN,SC,29801-3911,Aiken,803-643-4200,CHENRICH@TRINITYONLAURENS.ORG,CRC-0935 / 06/30/2021,Aiken / Non-Profit Corporation,LUTHERAN HOMES OF SOUTH CAROLINA INC,55,-81.72193079,33.56434501
TURNING POINT CRCF,820 TOMS CREEK RD,HOPKINS,SC,29061-8798,Richland,803-647-1152,DORTHEA.DENNIS@SCDMH.ORG,CRC-2075 / 06/28/2022,Richland / State,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,15,-80.764998,33.980815
TWILITE MANOR ADULT RESIDENTIAL CARE,2306 FORREST ST,CAYCE,SC,29033-2124,Lexington,803-794-7561,LANDAETHER@GMAIL.COM,CRC-1210 / 05/31/2022,Lexington / Limited Liability,SEASHAR LLC,28,-81.07202012,33.95411986
TYLER RESTMORE HOME,1681 BROUGHTON ST,ORANGEBURG,SC,29115-4873,Orangeburg,803-536-0740,MICHELLEANTLEY@ATT.NET,CRC-0841 / 07/31/2021,Orangeburg / Ltd. Liability,TYLER RESTMORE HOME LLC,10,-80.87080021,33.49443622
TYLER RESTMORE HOME #2,195 SELLERS AVE,ORANGEBURG,SC,29115-6724,Orangeburg,803-531-2074,EYBLACK52@MAIL.COM,CRC-0889 / 07/31/2021,Orangeburg / Limited Liability,TYLER RESTMORE HOME LLC,9,-80.86026754,33.48522474
TYLER RESTMORE HOME 3,139 SEMINOLE DR,ORANGEBURG,SC,29115-7619,Orangeburg,803-536-0060,MICHELLEANTLEY@ATT.NET,CRC-2052 / 12/31/2021,Orangeburg / Limited Liability,TYLER RESTMORE HOME LLC,15,-80.852908,33.473476
UPSTATE RESIDENTIAL CARE,1302 S MCDUFFIE ST,ANDERSON,SC,29624-2745,Anderson,864-225-6901,HORACEALEXANDER@MYLASOUNDS.COM,CRC-0233 / 08/31/2021,Anderson / Sole Proprietorship,"HORACE, J ALEXANDER",10,-82.64661589,34.49325914
VANGUARD RESIDENTIAL SERVICES I,100 E HOSPITAL ST,MANNING,SC,29102-3158,Clarendon,803-435-2330,RWAY@CCDSNB.ORG,CRC-1313 / 06/30/2021,Clarendon / Non-Profit Corporation,VANGUARD RESIDENTIAL SERVICES INC,8,-80.20808527,33.687763
VANGUARD RESIDENTIAL SERVICES II,512 S CHURCH ST,MANNING,SC,29102-3122,Clarendon,803-435-2330,RWAY@CCDSNB.ORG,CRC-1314 / 06/30/2021,Clarendon / Corporation,VANGUARD RESIDENTIAL SERVICES INC,8,-80.2090984,33.68669622
VANWYEVER RESIDENTIAL CARE FACILITY,2009 COSGROVE AVE,NORTH CHARLESTON,SC,29405-5702,Charleston,843-744-6065,VANWYEVER1@AOL.COM,CRC-0638 / 09/30/2021,Charleston / Sole Proprietorship,AYESHA T WASHINGTON ESQUIRE AS SPECIAL ADMINISTRATOR OF THE ESTATE RHODELLE W FULTON,10,-79.97574734,32.85725305
VARNVILLE COMMUNITY RESIDENCE,266 HAMPTON RD,VARNVILLE,SC,29944,Hampton,803-943-4818,MELLISSA_D_MYERS23@HCBDSN.ORG,CRC-1211 / 05/31/2022,Hampton / ,HAMPTON COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,8,-81.07569045,32.86103551
VILLAGE COMMUNITY CARE HOME-UNIT A,1250 SALEM CHURCH RD,ANDERSON,SC,29625-1310,Anderson,864-225-4336,VILLAGECARE365@GMAIL.COM,CRC-0563 / 01/31/2022,Anderson / Corporation,VILLAGE COMMUNITY CARE HOME INC,11,-82.69379512,34.55007547
VILLAGE COMMUNITY CARE HOME-UNIT B,1250 SALEM CHURCH RD,ANDERSON,SC,29625-1310,Anderson,864-225-4336,VILLAGECARE365@GMAIL.COM,CRC-0564 / 01/31/2022,Anderson / Corporation,VILLAGE COMMUNITY CARE HOME INC,11,-82.69379512,34.55007547
VILLAGE COMMUNITY CARE HOME-UNIT C,1250 SALEM CHURCH RD,ANDERSON,SC,29625-1310,Anderson,864-225-4336,VILLAGECARE365@GMAIL.COM,CRC-0565 / 01/31/2022,Anderson / Corporation,VILLAGE COMMUNITY CARE HOME INC,11,-82.69379512,34.55007547
VILLAGE COMMUNITY CARE HOME-UNIT D,1250 SALEM CHURCH RD,ANDERSON,SC,29625-1310,Anderson,864-225-4336,VILLAGECARE365@GMAIL.COM,CRC-0566 / 01/31/2022,Anderson / Corporation,VILLAGE COMMUNITY CARE HOME INC,11,-82.69379512,34.55007547
VILLAGE COVE ASSISTED LIVING,80 MAIN STREET OFFICE 100,HILTON HEAD ISLAND,SC,29926,Beaufort,843-689-9143,JENNIFER.NAPOLITANO@NAVIONSL.COM,CRC-2097 / 09/30/2021,Beaufort / ,NAVION BKE HILTON HEAD VILLAGE LLC,52,-80.719276,32.217102
VILLAGE INN COMMUNITY CARE HOME,112 POWELL ST,GRANITEVILLE,SC,29829-2906,Aiken,803-663-9495,VILLAGEINNCCH@BELLSOUTH.NET,CRC-0396 / 04/30/2022,Aiken / Sole Proprietorship,MICHELE A HERRON,10,-81.81440319,33.5653521
VINEYARD BLUFFTON,25 CASSIDY DR,BLUFFTON,SC,29910,Beaufort,843-612-0700,KSUITE@VALEOGROUPE.US,CRC-1988 / 09/30/2021,Beaufort / Limited Liability,VINEYARD BLUFFTON OPERATIONS LLC,108,-80.873571,32.247804
WALTERS BROTHERS RESIDENTIAL CARE FACILITY INC,110 GEDDINGS RD,SUMTER,SC,29150-8812,Sumter,803-506-2743,JOHNNIE15@FTC-I.NET,CRC-1080 / 04/30/2022,Sumter / Sole Proprietorship,JOHNNIE L WALTERS,20,-80.35466665,33.79433297
WALTERS RESIDENTIAL CARE,821 DUKE AVE,COLUMBIA,SC,29203-5651,Richland,803-252-8918,WALTERS1987@BELLSOUTH.NET,CRC-0985 / 03/31/2022,Richland / Non-Profit Corporation,MIPD INC,35,-81.04391231,34.04069737
WARE SHOALS MANOR,10 N GREENWOOD AVE,WARE SHOALS,SC,29692-1239,Greenwood,864-456-7127,OSKARMANI@AOL.COM,CRC-1457 / 10/31/2021,Greenwood / Ltd. Liability,HARMONY RESIDENTIAL CARE CENTER LLC,24,-82.25471501,34.4058518
WATERCREST COLUMBIA ASSISTED LIVING AND MEMORY CARE,1951 CLEMSON RD,COLUMBIA,SC,29229,Richland,803-771-7500,BPATTERSON@WATERCRESTSENIORLIVING.COM,CRC-1985 / 10/31/2021,Richland / Limited Liability,TSL WATERCREST OPCO LLC,118,-80.90953,34.139974
WATERCREST FORT MILL ASSISTED LIVING AND MEMORY CARE,8154 ENGLISH CLOVER LN,INDIAN LAND,SC,29707,Lancaster,803-590-7005,TLM926@OUTLOOK.COM,CRC-2024 / 07/31/2021,Lancaster / Limited Liability,WAYPOINT WATERCREST FORT MILL SL LLC,117,-80.862251,34.975094
WATERSTONE ON AUGUSTA SENIOR LIVING,1004 AUGUSTA ST,GREENVILLE,SC,29605-3906,Greenville,864-605-7236,CYNTHIA.FOWLER@WATERSTONEONAUGUSTA.COM,CRC-1945 / 03/31/2022,Greenville / Corporation,CHP GREENVILLE SC TENANT CORP,126,-82.406136,34.833053
WE CARE RESIDENTIAL,2370 WILLISTON RD,AIKEN,SC,29803-9100,Aiken,803-652-3652,STEMSIS54@GMAIL.COM,CRC-1034 / 08/31/2021,Aiken / Corporation,WE CARE RESIDENTIAL INC,55,-81.696572,33.393463
WELLMORE OF DANIEL ISLAND,580 ROBERT DANIEL DR,CHARLESTON,SC,29492,Berkeley,843-566-1000,DANIELISLAND.LICENSING@WELL-MORE.COM,CRC-1569 / 04/30/2022,Berkeley / Limited Liability,WELLMORE OF DANIEL ISLAND LLC,174,-79.895528,32.880688
WELLMORE OF LEXINGTON,200 WELLMORE DR,LEXINGTON,SC,29072,Lexington,803-520-1200,LEXINGTON.LICENSING@WELL-MORE.COM,CRC-1557 / 06/30/2021,Lexington / Limited Liability,WELLMORE OF LEXINGTON LLC,174,-81.248414,33.994616
WELLMORE OF TEGA CAY,111 WELLMORE DR,TEGA CAY,SC,29708-0039,York,803-835-7000,TEGACAY.LICENSING@WELL-MORE.COM,CRC-1935 / 08/31/2021,York / ,WELLMORE OF TEGA CAY LLC,150,-80.99021643,35.0471643
WESLEY COMMONS ASSISTED LIVING FACILITY & SPECIAL CARE HOUSE,1110 MARSHALL RD,GREENWOOD,SC,29646-4299,Greenwood,864-227-7480,DDAVIS@WESLEYCOMMONS.ORG,CRC-1218 / 08/31/2021,Greenwood / Non-Profit Corporation,WESLEY COMMONS,70,-82.12697734,34.180305
WESLEY COURT ASSISTED LIVING COMMUNITY,916 WESLEY CT,BOILING SPRINGS,SC,29316-5649,Spartanburg,864-599-9929,WESLEYCOURT@TUTERA.COM,CRC-1289 / 12/31/2021,Spartanburg / Limited Liability,WESLEY COURT ASSISTED LIVING FACILITY LLC,70,-81.97387237,35.041469
WESLEYAN SUITES,2100 TWIN CHURCH RD,FLORENCE,SC,29501-8200,Florence,843-664-0700,TREICH@THEMANORSENIORLIVING.COM,CRC-0662 / 12/31/2021,Florence / Non-Profit Corporation,UNITED METHODIST MANOR OF THE PEE DEE,95,-79.8589918,34.15118694
WEST END RETIREMENT CENTER INC,PO BOX 736,EASLEY,SC,29641-0736,Pickens,864-485-9372,AMBER.WESTEND@OUTLOOK.COM,CRC-0204 / 08/31/2021,Pickens / Corporation,WEST END RETIREMENT CENTER INC,34,-82.601505,34.819308
WESTMINSTER MEMORY CARE - AIKEN,2288 S CENTENNIAL AVE,AIKEN,SC,29803,Aiken,803-502-5599,MILLERJAMIE@WMCAIKEN.COM,CRC-1997 / 04/30/2022,Aiken / Limited Liability,AIKEN MEMORY CARE LLC,48,-81.71093661,33.51963623
WESTMINSTER MEMORY CARE-LEXINGTON,886 PARK RD,LEXINGTON,SC,29072,Lexington,803-356-7507,BROWNGARY@WMCLEXINGTON.COM,CRC-2002 / 07/31/2021,Lexington / Limited Liability,LEXINGTON MEMORY CARE LLC,48,-81.282615,34.003704
WESTMINSTER TOWERS RESIDENTIAL,1330 INDIA HOOK RD,ROCK HILL,SC,29732-2462,York,803-328-5000,JTHOMASON@WESTMINSTERTOWERS.ORG,CRC-0580 / 09/30/2021,York / Non-Profit Corporation,WESTMINSTER PRESBYTERIAN CENTER INC,35,-81.02893021,34.95278274
WESTSIDE RESIDENTIAL HOME,4112 HARTFORD ST,COLUMBIA,SC,29204-3025,Richland,803-786-7411,JENTOMATT@AOL.COM,CRC-0907 / 11/30/2021,Richland / Corporation,WESTSIDE RESIDENTIAL HOME INC,38,-80.9936929,34.05198259
WHITE OAK ESTATES ASSISTED LIVING,400 WEBBER RD,SPARTANBURG,SC,29307-2400,Spartanburg,864-579-7004,JEMAZIE@WHITEOAKMANOR.COM,CRC-1334 / 09/30/2021,Spartanburg / Corporation,WHITE OAK ESTATES ASSISTED LIVING INC,45,-81.87026874,34.97255178
WHITNEY PLACE,107 CORNWELL ST,UNION,SC,29379-2404,Union,864-427-4275,WHITNEYPLACE1990@GMAIL.COM,CRC-0572 / 02/28/2022,Union / Corporation,WHITNEY CORPORATION OF COLUMBIA INC,24,-81.6170899,34.71119284
WILDEWOOD DOWNS ASSISTED LIVING COMMUNITY,731 POLO RD,COLUMBIA,SC,29223-4462,Richland,803-419-1243,LICENSING@MAXWELL-GROUP.COM,CRC-2091 / 06/30/2022,Richland / Limited Liability,WILDEWOOD RETIREMENT LLC,57,-80.888461,34.087491
WILLIAMS COMMUNITY CARE HOME,7705 RICHARD ST,COLUMBIA,SC,29209-3733,Richland,803-783-1223,CHAZWILLIAMSSR@GMAIL.COM,CRC-0280 / 11/30/2021,Richland / Sole Proprietorship,CHARLES A WILLIAMS SR,9,-80.95115502,33.94992175
