Facility Name,License Number,State Facility Type 2 Literal,Status,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity
HANCOCK GOLDEN ACRES,RCD2152,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,1421 US HWY 1,HANCOCK,ME,04640-3462,HANCOCK,+1 (207) 460-3825,ASSISTED HOUSING,8
"HANCOCK HOME 1, THE",RCC1802,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,203 EASTSIDE RD,HANCOCK,ME,04640-3906,HANCOCK,+1 (207) 422-3777,ASSISTED HOUSING,3
"HANCOCK HOME 2, THE",RCA39274,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,145 OLD ROUTE 1,HANCOCK,ME,04640-3442,HANCOCK,+1 (207) 422-9112,ASSISTED HOUSING,2
"HANCOCK HOUSE, THE",RCD2153,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,1421 US HWY 1,HANCOCK,ME,04640-3462,HANCOCK,+1 (207) 425-2522,ASSISTED HOUSING,8
HANCOCK HOUSE-DEHI,RCC38703,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,493 US ROUTE 1,HANCOCK,ME,4840,HANCOCK,+1 (207) 412-2440,ASSISTED HOUSING,3
HANNAH DRIVE,RCC1626,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,15 HANNAH DR,GORHAM,ME,04038-5863,CUMBERLAND,+1 (207) 828-0048,ASSISTED HOUSING,3
HARBOR HILL CENTER,RCD22472,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,2 FOOTBRIDGE RD,BELFAST,ME,04915-7206,WALDO,+1 (207) 338-1129,ASSISTED HOUSING,45
HARBOR VIEW COTTAGE,RCD2043,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,34 MAIN ST,NEWCASTLE,ME,04553-3819,LINCOLN,+1 (207) 563-3305,ASSISTED HOUSING,12
HARMONY LANE,RCA1674,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,1 HARMONY LN,BIDDEFORD,ME,04005-9389,YORK,+1 (207) 284-5156,ASSISTED HOUSING,2
"HARRINGTON HOUSE, THE",RCD2216,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,95 WILLEY DISTRICT RD,HARRINGTON,ME,04643-3228,WASHINGTON,+1 (207) 483-2247,ASSISTED HOUSING,8
HARRIS ROAD,RCC452,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,10 HARRIS RD,MINOT,ME,04258-4240,ANDROSCOGGIN,+1 (207) 345-0956,ASSISTED HOUSING,4
HARTLAND RD WAIVER,RCC2010,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,362 ESTES AVE,PALMYRA,ME,04965-3837,SOMERSET,+1 (207) 938-0206,ASSISTED HOUSING,3
HASKELL STREET ASSISTED LIVING FACILITY,RCC2023,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,99 HASKELL ST,WESTBROOK,ME,04092-4217,CUMBERLAND,+1 (207) 854-9367,ASSISTED HOUSING,3
HATHAWAY HOUSE,RCA38986,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,96 FOREST AVE,BANGOR,ME,04401-5985,PENOBSCOT,+1 (207) 307-7626,ASSISTED HOUSING,2
HEARTWOOD COTTAGE,RCA39039,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,61 BARROWS DR,TOPSHAM,ME,04086-1327,SAGADAHOC,+1 (207) 798-6706,ASSISTED HOUSING,2
HEATH HOUSE,RCC38746,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,45 HEATH RD,SACO,ME,04072-9335,YORK,+1 (207) 286-3481,ASSISTED HOUSING,5
HEBERT,RCA39176,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,5 HEBERT WAY,GORHAM,ME,04038-2359,CUMBERLAND,+1 (207) 835-0099,ASSISTED HOUSING,2
HELEN WINSLOW RAY HOUSE,PND38904,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,705 WESTBROOK ST,SOUTH PORTLAND,ME,04106-1930,CUMBERLAND,,ASSISTED HOUSING,8
HELEN'S FAMILY HOME,RCB1530,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,516 GREENWOOD RD,NORWAY,ME,04268-4412,OXFORD,+1 (207) 527-2760,ASSISTED HOUSING,3
HELMS WAY,RCC2275,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,43 HELMS WAY,GORHAM,ME,04038-1892,CUMBERLAND,+1 (207) 839-7002,ASSISTED HOUSING,3
HENRY'S PLACE,RCA38988,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,3 MAIN RD,EDDINGTON,ME,04428-3000,PENOBSCOT,+1 (207) 307-7729,ASSISTED HOUSING,2
HERITAGE REHABILITATION AND LIVING CENTER,PND22487,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,457 OLD LEWISTON RD,WINTHROP,ME,04364-4111,KENNEBEC,+1 (207) 377-9965,ASSISTED HOUSING,24
HIDDEN LAKE HOME,RCC38820,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,151 HIDDEN LAKE RD,OTISFIELD,ME,04270-6021,OXFORD,+1 (207) 539-4261,ASSISTED HOUSING,4
HIGH STREET,PND38847,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,5 HIGH ST,SANFORD,ME,04073-2769,YORK,+1 (207) 490-4960,ASSISTED HOUSING,10
HIGH STREET FOSTER HOME,RCC472,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,89 HIGH ST,HOULTON,ME,04730-1941,AROOSTOOK,+1 (207) 532-9001,ASSISTED HOUSING,6
HIGHLAND AVENUE,RCC1830,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,56 HIGHLAND AVE,SCARBOROUGH,ME,04074-9346,CUMBERLAND,+1 (207) 883-4696,ASSISTED HOUSING,3
"HILLHOUSE, INC.",RCD485,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,166 WHISKEAG RD,BATH,ME,04530-4135,SAGADAHOC,+1 (207) 443-6301,ASSISTED HOUSING,56
HILLSIDE,RCC38822,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1172 DEXTER RD,DOVER FOXCROFT,ME,04426-3600,PISCATAQUIS,+1 (207) 564-3091,ASSISTED HOUSING,3
HILLSIDE- SUPPORT SOLUTIONS,RCA39254,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,18 HILLSIDE AVE,MINOT,ME,04258-4449,ANDROSCOGGIN,+1 (207) 345-7135,ASSISTED HOUSING,2
"HILLSIDE TERRACE OF HALLOWELL, LLC",PND486,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,21 WARREN ST,HALLOWELL,ME,04347-1247,KENNEBEC,+1 (207) 622-5644,ASSISTED HOUSING,21
HILLSIDE WAIVER HOME,RCB39212,LEVEL II RESIDENTIAL CARE FACILITY,ACTIVE,3 HILLSIDE ST,PRESQUE ISLE,ME,04769-2425,AROOSTOOK,+1 (207) 764-2818,ASSISTED HOUSING,3
HILLTOP HOME,RCC2383,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,47 BEALS AVE,ELLSWORTH,ME,04605-1701,HANCOCK,+1 (207) 667-0344,ASSISTED HOUSING,4
HILLTOP MANOR,PND487,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,462 ESSEX ST,DOVER FOXCROFT,ME,04426-1311,PISCATAQUIS,+1 (207) 564-3049,ASSISTED HOUSING,32
HODGDON GREEN BOARDING HOME,PND488,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,6 HODGDON ST,DAMARISCOTTA,ME,04543-4638,LINCOLN,+1 (207) 563-2148,ASSISTED HOUSING,16
HOLBROOK ASSISTED LIVING AT PIPER SHORES,PND27486,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,15 PIPER RD,SCARBOROUGH,ME,04074-9473,CUMBERLAND,+1 (207) 883-8700,ASSISTED HOUSING,54
HOLDEN HOUSE,PNC38712,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,505 MAIN RD,HOLDEN,ME,04429-7136,PENOBSCOT,+1 (207) 989-9680,ASSISTED HOUSING,4
HOLLIS HOUSE,RCC38880,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,310 CAPE RD,HOLLIS CENTER,ME,04042-3711,YORK,+1 (207) 369-1202,ASSISTED HOUSING,3
HOLLIS HOUSE II,RCA38879,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,304 CAPE RD,HOLLIS CENTER,ME,04042-3711,YORK,+1 (207) 369-1202,ASSISTED HOUSING,2
HOLMES HOUSE,RCC490,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,55 TIMBER LN,NEWCASTLE,ME,04553-3320,LINCOLN,+1 (207) 563-2473,ASSISTED HOUSING,5
"HOME AT PLEASANT STREET, THE",RCA38887,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,95 PLEASANT ST,OXFORD,ME,4270,,+1 (207) 743-8049 x202,ASSISTED HOUSING,2
HOMEPORT AT ISLAND NURSING HOME,RCD22494,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,587 N DEER ISLE RD,DEER ISLE,ME,04627-3438,HANCOCK,+1 (207) 348-2351,ASSISTED HOUSING,32
HOMEWOOD BLVD,RCA39068,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,33 HOMEWOOD BLVD,OLD ORCHARD BEACH,ME,04064-1164,YORK,+1 (207) 937-8260,ASSISTED HOUSING,2
HOPE SPRINGS HAVEN,RCA38661,LEVEL I RESIDENTIAL CARE FACILITY,FAILED TO RENEW,195 MILES RD,NEWBURGH,ME,04444-4733,PENOBSCOT,+1 (207) 234-7727,ASSISTED HOUSING,2
HOPE SPRINGS HAVEN,RCC38868,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,195 MILES RD,NEWBURGH,ME,04444-4733,PENOBSCOT,+1 (207) 234-7727,ASSISTED HOUSING,3
HORIZONS UNLIMITED,PND497,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,319 SWAIN RD,RUMFORD,ME,04276-3803,OXFORD,+1 (207) 364-8842,ASSISTED HOUSING,7
HOTEL ROAD,RCC498,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1092 HOTEL RD,AUBURN,ME,04210-8980,ANDROSCOGGIN,+1 (207) 784-3951,ASSISTED HOUSING,4
HOUGHTON HOUSE,RCC38695,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,3 E HOUGHTON ST,MADISON,ME,04950-1304,SOMERSET,+1 (207) 696-8529,ASSISTED HOUSING,5
HOUSE IN SHAWMUT,PNC502,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,81 BRAY AVENUE,SHAWMUT,ME,4975,SOMERSET,+1 (207) 453-7638,ASSISTED HOUSING,6
HUNTINGTON COMMON,ALP1824,ASSISTED LIVING PROGRAM,ACTIVE,1 HUNTINGTON COMMON DR,KENNEBUNK,ME,04043-6558,YORK,+1 (207) 985-2810,ASSISTED HOUSING,82
HUNTINGTON HILL,RCC1946,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,70 HUNTINGTON HILL RD,LITCHFIELD,ME,04350-3721,KENNEBEC,+1 (207) 268-3824,ASSISTED HOUSING,3
HUSSON HOLLOW GROUP HOME,PND1797,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,107 HUSSON AVE,BANGOR,ME,04401-3286,PENOBSCOT,+1 (207) 941-8552,ASSISTED HOUSING,8
IDA W. LOCKHART RESIDENCE,RCC1274,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,76 PARK ST,ELLSWORTH,ME,04605-1631,HANCOCK,+1 (207) 667-6129,ASSISTED HOUSING,6
INDEPENDENCE HOUSE 1,PNC1785,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,31 SCHOOL ST,FREEPORT,ME,04032-1326,CUMBERLAND,+1 (207) 504-5820,ASSISTED HOUSING,6
INDUSTRY ROAD,RCC38662,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,777 INDUSTRY RD,NEW SHARON,ME,04955-3038,FRANKLIN,+1 (207) 893-6083,ASSISTED HOUSING,3
INGALLS ROAD ASSISTED HOUSING PROGRAM,RCA38610,LEVEL I RESIDENTIAL CARE FACILITY,FAILED TO RENEW,,,,,,+1 (207) 647-8643,ASSISTED HOUSING,2
INGRAHAM HOUSE,PNC513,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,79 HIGH ST,PORTLAND,ME,04101-3844,CUMBERLAND,+1 (207) 761-8450,ASSISTED HOUSING,4
"INN AT ATLANTIC HEIGHTS, THE",ALP2021,ASSISTED LIVING PROGRAM,ACTIVE,100 HARBOR DR,SACO,ME,04072-2173,YORK,+1 (207) 283-3022,ASSISTED HOUSING,46
"INN AT ATLANTIC HEIGHTS-RCF, THE",PND2195,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,100 HARBOR DR,SACO,ME,04072-2173,YORK,+1 (207) 283-3022,ASSISTED HOUSING,34
"INN AT CITY HALL, THE",ALP1550,ASSISTED LIVING PROGRAM,ACTIVE,1 CONY ST,AUGUSTA,ME,04330-5243,KENNEBEC,+1 (207) 623-0840,ASSISTED HOUSING,31
"INN AT DIRIGO PINES, THE",ALP38599,ASSISTED LIVING PROGRAM,ACTIVE,9 ALUMNI DR,ORONO,ME,04473-3479,PENOBSCOT,+1 (207) 866-3400,ASSISTED HOUSING,73
"INN AT SEAPORT VILLAGE, THE",RCD38597,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,11 GENERAL MOORE WAY,ELLSWORTH,ME,04605-1860,HANCOCK,+1 (207) 667-9336,ASSISTED HOUSING,30
INN AT VILLAGE SQUARE,PND514,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,123 SCHOOL ST,GORHAM,ME,04038-1084,CUMBERLAND,+1 (207) 839-5101,ASSISTED HOUSING,37
INN OF ST. ANDREWS VILLAGE,ALP38861,ASSISTED LIVING PROGRAM,ACTIVE,145 EMERY LN,BOOTHBAY HARBOR,ME,04538-1963,LINCOLN,+1 (207) 633-0920,ASSISTED HOUSING,41
IRENE STREET,RCA39103,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,17 IRENE ST,LISBON,ME,04250-6618,ANDROSCOGGIN,+1 (207) 407-4023,ASSISTED HOUSING,2
IRIS PARK APARTMENTS,ALP1832,ASSISTED LIVING PROGRAM,ACTIVE,201 PARK AVE,PORTLAND,ME,04102-2938,CUMBERLAND,+1 (207) 774-6273,ASSISTED HOUSING,30
ISLAND COMMONS RESOURCE CENTER,PND521,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,132 LITTLEFIELD RD,CHEBEAGUE ISLAND,ME,04017-3316,CUMBERLAND,+1 (207) 846-5610,ASSISTED HOUSING,7
IVAN CALDERWOOD HOME,PND1345,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,18 BEAVER DAM RD,VINALHAVEN,ME,04863-3915,KNOX,+1 (207) 863-4600,ASSISTED HOUSING,8
"JACOB'S RESIDENTIAL CARE CENTER, INC.",PNC525,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,7 CHURCH ST,ANSON,ME,04911-3382,SOMERSET,+1 (207) 696-4466,ASSISTED HOUSING,5
JAY 1,RCA38997,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,1 HORAN ST APT 2,JAY,ME,04239-1836,FRANKLIN,+1 (207) 320-2122,ASSISTED HOUSING,1
JAY 2,RCA38996,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,1 HORAN ST APT 3,JAY,ME,04239-1836,FRANKLIN,+1 (207) 320-2122,ASSISTED HOUSING,1
JAY 3,RCA38995,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,1 HORAN ST APT 4,JAY,ME,04239-1836,FRANKLIN,+1 (207) 320-2122,ASSISTED HOUSING,1
JED PROUTY RESIDENTIAL CARE HOME-FIRST FLOOR,RCD2140,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,57 MAIN ST,BUCKSPORT,ME,4416,HANCOCK,+1 (207) 952-0240,ASSISTED HOUSING,8
JED PROUTY RESIDENTIAL CARE HOME-SECOND FL.,RCD2141,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,57 MAIN ST,BUCKSPORT,ME,4416,HANCOCK,+1 (207) 952-0240,ASSISTED HOUSING,8
JED PROUTY RESIDENTIAL CARE HOME-THIRD FLOOR,RCC38782,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,57 MAIN ST,BUCKSPORT,ME,4416,HANCOCK,+1 (207) 902-1220,ASSISTED HOUSING,3
JEFFERSON GREEN,RCC1583,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,77 WALDOBORO RD,JEFFERSON,ME,04348-3875,LINCOLN,+1 (207) 687-2164,ASSISTED HOUSING,6
JEFFERSON HOUSE UNIT 1,RCA39094,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,27 JEFFERSON ST UNIT 1,WESTBROOK,ME,04092-2108,CUMBERLAND,+1 (207) 847-2273,ASSISTED HOUSING,2
JEFFERSON HOUSE UNIT 2,RCA39095,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,27 JEFFERSON ST UNIT 2,WESTBROOK,ME,04092-2108,CUMBERLAND,+1 (207) 847-2273,ASSISTED HOUSING,2
JEFFERSON HOUSE UNIT 3,RCA39096,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,27 JEFFERSON ST UNIT 3,WESTBROOK,ME,04092-2108,CUMBERLAND,+1 (207) 847-2273,ASSISTED HOUSING,2
JENKINS 209,RCC38863,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,209 JENKINS RD,SACO,ME,04072-9796,YORK,+1 (207) 879-1140,ASSISTED HOUSING,3
JENKINS HOME 1,RCA39230,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,170B RANKIN ST,ROCKLAND,ME,04841-2318,KNOX,+1 (207) 594-3048,ASSISTED HOUSING,1
JENKINS HOME 2,RCA39231,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,170C RANKIN ST,ROCKLAND,ME,04841-2318,KNOX,+1 (207) 594-3048,ASSISTED HOUSING,2
JO-ANN'S FOSTER HOME,RCA534,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,130 HORN HILL RD,FAIRFIELD,ME,04937-3029,SOMERSET,+1 (207) 465-2080,ASSISTED HOUSING,2
JOSEPH STREET FOSTER HOME,RCC350,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,6 JOSEPH ST,HOULTON,ME,04730-2358,AROOSTOOK,+1 (207) 532-1358,ASSISTED HOUSING,6
KATAHDIN HOUSE,RCC548,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,55 TIMBER LN # 1,NEWCASTLE,ME,04553-3320,LINCOLN,+1 (207) 563-2895,ASSISTED HOUSING,4
KATAHDIN STREET HOME,RCC1100,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,15A KATAHDIN ST,PATTEN,ME,04765-3069,PENOBSCOT,+1 (207) 528-2929,ASSISTED HOUSING,4
KEEP HOUSE I,RCC38883,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,669 HANCOCK ST,RUMFORD,ME,04276-1504,OXFORD,+1 (207) 364-7281,ASSISTED HOUSING,3
KELLY A,RCC553,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,50 WESTMINSTER AVE,PORTLAND,ME,04103-2431,CUMBERLAND,+1 (207) 899-2565,ASSISTED HOUSING,3
KELLY B,RCA38893,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,52 WESTMINSTER AVE,PORTLAND,ME,04103-2431,CUMBERLAND,+1 (207) 899-2525,ASSISTED HOUSING,2
KELLY DRIVE GROUP HOME,PNC1557,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,46 KELLY DR,SABATTUS,ME,04280-4320,ANDROSCOGGIN,+1 (207) 375-8920,ASSISTED HOUSING,6
KENDALL LANE,RCC555,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,4 KENDALL LN,FREEPORT,ME,04032-1414,CUMBERLAND,+1 (207) 865-3689,ASSISTED HOUSING,3
KENNEBAGO DRIVE,RCC2204,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,16 KENNEBAGO DR,SCARBOROUGH,ME,04074-9303,CUMBERLAND,+1 (207) 883-0097,ASSISTED HOUSING,4
KENNEDY FOSTER HOME,RCC559,LEVEL III RESIDENTIAL CARE FACILITY,FAILED TO RENEW,31 DEVOE BROOK RD,EAGLE LAKE,ME,4739,AROOSTOOK,+1 (207) 444-5434,ASSISTED HOUSING,4
KEYSTONE,PND39436,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,7 HIGHWOOD ST,WATERVILLE,ME,04901-5739,KENNEBEC,+1 (207) 873-0705,ASSISTED HOUSING,16
KIMBALL AVENUE,RCC2142,LEVEL III RESIDENTIAL CARE FACILITY,FAILED TO RENEW,34 KIMBALL AVE,MEXICO,ME,04257-1237,OXFORD,+1 (207) 364-2439,ASSISTED HOUSING,3
KIMBALL AVENUE,RCC38798,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,34 KIMBALL AVE,MEXICO,ME,04257-1237,OXFORD,+1 (207) 364-2439,ASSISTED HOUSING,3
KINGSBURY ROAD WAIVER HOME,RCC38825,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,76 WEST RD,ABBOT,ME,04406-3022,PISCATAQUIS,+1 (207) 564-8149,ASSISTED HOUSING,4
KINGSBURY ROAD WAIVER HOME 2,RCC38941,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,76 WEST RD,ABBOT,ME,04406-3022,PISCATAQUIS,+1 (207) 876-4706,ASSISTED HOUSING,3
KNOX ROAD HOUSE,RCC68,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,276 KNOX RD,BAR HARBOR,ME,04609-7730,HANCOCK,+1 (207) 288-9737,ASSISTED HOUSING,6
LAASE,RCA39014,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,15 LAASE AVE,LEWISTON,ME,04240-5105,ANDROSCOGGIN,+1 (207) 783-4410,ASSISTED HOUSING,2
LAKEVIEW DRIVE HOUSE,PNC2387,PNMI LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,176 LAKEVIEW DR,SOUTH CHINA,ME,04358-5627,KENNEBEC,+1 (207) 445-8082,ASSISTED HOUSING,3
LAKEVIEW TERRACE RESIDENTIAL CARE FACILITY,PND577,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,74 TAYLOR ST,LINCOLN,ME,04457-1145,PENOBSCOT,+1 (207) 794-6086,ASSISTED HOUSING,13
LAMBS MILL ROAD HOME,RCC38612,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,31 LAMBS MILL RD,NAPLES,ME,04055-3222,CUMBERLAND,+1 (207) 693-4543,ASSISTED HOUSING,4
"LAMP MEMORY CARE CENTER, THE",PND2291,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,64 LISBON ST,LISBON,ME,04250-6017,ANDROSCOGGIN,+1 (207) 353-4318,ASSISTED HOUSING,28
LAMSON ROAD,RCC1554,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,1170 LAMSON RD,AUGUSTA,ME,04330-8562,KENNEBEC,+1 (207) 623-0838,ASSISTED HOUSING,4
"LANDING AT CAPE ELIZABETH, THE",ALP39242,ASSISTED LIVING PROGRAM,ACTIVE,78 SCOTT DYER RD,CAPE ELIZABETH,ME,04107-2200,CUMBERLAND,+1 (207) 799-7332,ASSISTED HOUSING,60
"LANDING AT SACO BAY SENIOR DAY PROGRAM, THE",ADS39276,ADULT DAY SERVICES PROGRAM,ACTIVE,392 MAIN ST,SACO,ME,04072-1521,YORK,+1 (207) 284-0900,ASSISTED HOUSING,10
"LANDING AT SACO BAY, THE",RCD39243,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,392 MAIN ST,SACO,ME,04072-1521,YORK,+1 (207) 284-0900,ASSISTED HOUSING,53
LANGLEY STREET,RCA39340,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,114 LANGLEY ST,BANGOR,ME,04401-2846,PENOBSCOT,+1 (207) 900-6639,ASSISTED HOUSING,2
LARK STREET,RCC39021,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,3 LARK ST,WESTBROOK,ME,04092-3616,CUMBERLAND,,ASSISTED HOUSING,4
LAWN AVENUE,RCC592,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,18 LAWN AVE,SACO,ME,04072-2950,YORK,+1 (207) 284-4627,ASSISTED HOUSING,3
LAWN AVENUE - APT 1,RCA38933,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,18 LAWN AVE APT 1,SACO,ME,04072-2950,YORK,+1 (207) 282-3862,ASSISTED HOUSING,1
LEAP'S HOME SUPPORTS - AM,RCA38929,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,208 BARLEN ST,FARMINGTON,ME,04938-5513,FRANKLIN,,ASSISTED HOUSING,1
LEAP'S HOME SUPPORTS - WV,RCA38930,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,114 THOMPSON WALTON CT APT 111,FARMINGTON,ME,04938-5648,FRANKLIN,,ASSISTED HOUSING,1
LEAP'S HOME SUPPORTS-AV,RCA38931,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,120 THOMPSON WALTON CT APT 33,FARMINGTON,ME,04938-5654,FRANKLIN,,ASSISTED HOUSING,1
LEAP'S OUR HOUSE 1,RCC2033,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,148 WHITTIER RD,FARMINGTON,ME,04938-6323,FRANKLIN,+1 (207) 778-9651,ASSISTED HOUSING,4
"LEDGEVIEW ASSISTED LIVING, LLC",RCD1581,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,92 US ROUTE 1,CUMBERLAND FORESIDE,ME,04110-1315,CUMBERLAND,+1 (207) 781-2408,ASSISTED HOUSING,24
LEGACY MEMORY CARE,ALP2262,ASSISTED LIVING PROGRAM,ACTIVE,4 SCHOOL HOUSE DR,FALMOUTH,ME,04105-1994,CUMBERLAND,+1 (207) 781-4428,ASSISTED HOUSING,29
LEIGHTON,RCA39165,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,5 LEIGHTON AVE,PORTLAND,ME,04103-1022,CUMBERLAND,+1 (207) 835-0099,ASSISTED HOUSING,2
LEIGHTON MANOR,RCD2106,LEVEL IV RESIDENTIAL CARE FACILITY,ACTIVE,110 HIGHLAND AVE,BANGOR,ME,04401-4659,PENOBSCOT,+1 (207) 460-9303,ASSISTED HOUSING,8
LENOX STREET HOME,RCC599,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,45 LENOX ST,SANFORD,ME,04073-3209,YORK,+1 (207) 324-2423,ASSISTED HOUSING,6
LEWIS FOSTER HOME,RCA601,LEVEL I RESIDENTIAL CARE FACILITY,ACTIVE,223 SILVER RD,BANGOR,ME,04401-5831,PENOBSCOT,+1 (207) 974-9948,ASSISTED HOUSING,1
LILY OF THE VALLEY HAVEN,RCC38993,LEVEL III RESIDENTIAL CARE FACILITY,ACTIVE,988 N MAIN ST,WINTERPORT,ME,,,+1 (207) 223-5528,ASSISTED HOUSING,4
