Facility Name,License Number,State Facility Type 2 Literal,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity,Date Accessed
"Inn At Atlantic Heights, The",ALP2021,ASSISTED LIVING PROGRAM,100 HARBOR DR,Saco,ME,04072-2173,York,+1 (207) 283-3022,ASSISTED HOUSING,46,7/12/21
"Inn At Atlantic Heights-Rcf, The",PND2195,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,100 HARBOR DR,Saco,ME,04072-2173,York,+1 (207) 283-3022,ASSISTED HOUSING,34,7/12/21
"Inn At City Hall, The",ALP1550,ASSISTED LIVING PROGRAM,1 CONY ST,Augusta,ME,04330-5243,Kennebec,+1 (207) 623-0840,ASSISTED HOUSING,31,7/12/21
"Inn At Dirigo Pines, The",ALP38599,ASSISTED LIVING PROGRAM,9 ALUMNI DR,Orono,ME,04473-3479,Penobscot,+1 (207) 866-3400,ASSISTED HOUSING,73,7/12/21
"Inn At Seaport Village, The",RCD38597,LEVEL IV RESIDENTIAL CARE FACILITY,11 GENERAL MOORE WAY,Ellsworth,ME,04605-1860,Hancock,+1 (207) 667-9336,ASSISTED HOUSING,30,7/12/21
Inn At Village Square,PND514,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,123 SCHOOL ST,Gorham,ME,04038-1084,Cumberland,+1 (207) 839-5101,ASSISTED HOUSING,37,7/12/21
Inn Of St. Andrews Village,ALP38861,ASSISTED LIVING PROGRAM,145 EMERY LN,Boothbay Harbor,ME,04538-1963,Lincoln,+1 (207) 633-0920,ASSISTED HOUSING,41,7/12/21
Irene Street,RCA39103,LEVEL I RESIDENTIAL CARE FACILITY,17 IRENE ST,Lisbon,ME,04250-6618,Androscoggin,+1 (207) 407-4023,ASSISTED HOUSING,2,7/12/21
Iris Park Apartments,ALP1832,ASSISTED LIVING PROGRAM,201 PARK AVE,Portland,ME,04102-2938,Cumberland,+1 (207) 774-6273,ASSISTED HOUSING,30,7/12/21
Island Commons Resource Center,PND521,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,132 LITTLEFIELD RD,Chebeague Island,ME,04017-3316,Cumberland,+1 (207) 846-5610,ASSISTED HOUSING,7,7/12/21
Ivan Calderwood Home,PND1345,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,18 BEAVER DAM RD,Vinalhaven,ME,04863-3915,Knox,+1 (207) 863-4600,ASSISTED HOUSING,8,7/12/21
"Jacob'S Residential Care Center, Inc.",PNC525,PNMI LEVEL III RESIDENTIAL CARE FACILITY,7 CHURCH ST,Anson,ME,04911-3382,Somerset,+1 (207) 696-4466,ASSISTED HOUSING,5,7/12/21
Jay 1,RCA38997,LEVEL I RESIDENTIAL CARE FACILITY,1 HORAN ST APT 2,Jay,ME,04239-1836,Franklin,+1 (207) 320-2122,ASSISTED HOUSING,1,7/12/21
Jay 2,RCA38996,LEVEL I RESIDENTIAL CARE FACILITY,1 HORAN ST APT 3,Jay,ME,04239-1836,Franklin,+1 (207) 320-2122,ASSISTED HOUSING,1,7/12/21
Jay 3,RCA38995,LEVEL I RESIDENTIAL CARE FACILITY,1 HORAN ST APT 4,Jay,ME,04239-1836,Franklin,+1 (207) 320-2122,ASSISTED HOUSING,1,7/12/21
Jed Prouty Residential Care Home-First Floor,RCD2140,LEVEL IV RESIDENTIAL CARE FACILITY,57 MAIN ST,Bucksport,ME,4416,Hancock,+1 (207) 952-0240,ASSISTED HOUSING,8,7/12/21
Jed Prouty Residential Care Home-Second Fl.,RCD2141,LEVEL IV RESIDENTIAL CARE FACILITY,57 MAIN ST,Bucksport,ME,4416,Hancock,+1 (207) 952-0240,ASSISTED HOUSING,8,7/12/21
Jed Prouty Residential Care Home-Third Floor,RCC38782,LEVEL III RESIDENTIAL CARE FACILITY,57 MAIN ST,Bucksport,ME,4416,Hancock,+1 (207) 902-1220,ASSISTED HOUSING,3,7/12/21
Jefferson Green,RCC1583,LEVEL III RESIDENTIAL CARE FACILITY,77 WALDOBORO RD,Jefferson,ME,04348-3875,Lincoln,+1 (207) 687-2164,ASSISTED HOUSING,6,7/12/21
Jefferson House Unit 1,RCA39094,LEVEL I RESIDENTIAL CARE FACILITY,27 JEFFERSON ST UNIT 1,Westbrook,ME,04092-2108,Cumberland,+1 (207) 847-2273,ASSISTED HOUSING,2,7/12/21
Jefferson House Unit 2,RCA39095,LEVEL I RESIDENTIAL CARE FACILITY,27 JEFFERSON ST UNIT 2,Westbrook,ME,04092-2108,Cumberland,+1 (207) 847-2273,ASSISTED HOUSING,2,7/12/21
Jefferson House Unit 3,RCA39096,LEVEL I RESIDENTIAL CARE FACILITY,27 JEFFERSON ST UNIT 3,Westbrook,ME,04092-2108,Cumberland,+1 (207) 847-2273,ASSISTED HOUSING,2,7/12/21
Jenkins 209,RCC38863,LEVEL III RESIDENTIAL CARE FACILITY,209 JENKINS RD,Saco,ME,04072-9796,York,+1 (207) 879-1140,ASSISTED HOUSING,3,7/12/21
Jenkins Home 1,RCA39230,LEVEL I RESIDENTIAL CARE FACILITY,170B RANKIN ST,Rockland,ME,04841-2318,Knox,+1 (207) 594-3048,ASSISTED HOUSING,1,7/12/21
Jenkins Home 2,RCA39231,LEVEL I RESIDENTIAL CARE FACILITY,170C RANKIN ST,Rockland,ME,04841-2318,Knox,+1 (207) 594-3048,ASSISTED HOUSING,2,7/12/21
Jo-Ann'S Foster Home,RCA534,LEVEL I RESIDENTIAL CARE FACILITY,130 HORN HILL RD,Fairfield,ME,04937-3029,Somerset,+1 (207) 465-2080,ASSISTED HOUSING,2,7/12/21
Joseph Street Foster Home,RCC350,LEVEL III RESIDENTIAL CARE FACILITY,6 JOSEPH ST,Houlton,ME,04730-2358,Aroostook,+1 (207) 532-1358,ASSISTED HOUSING,6,7/12/21
Katahdin House,RCC548,LEVEL III RESIDENTIAL CARE FACILITY,55 TIMBER LN # 1,Newcastle,ME,04553-3320,Lincoln,+1 (207) 563-2895,ASSISTED HOUSING,4,7/12/21
Katahdin Street Home,RCC1100,LEVEL III RESIDENTIAL CARE FACILITY,15A KATAHDIN ST,Patten,ME,04765-3069,Penobscot,+1 (207) 528-2929,ASSISTED HOUSING,4,7/12/21
Keep House I,RCC38883,LEVEL III RESIDENTIAL CARE FACILITY,669 HANCOCK ST,Rumford,ME,04276-1504,Oxford,+1 (207) 364-7281,ASSISTED HOUSING,3,7/12/21
Kelly A,RCC553,LEVEL III RESIDENTIAL CARE FACILITY,50 WESTMINSTER AVE,Portland,ME,04103-2431,Cumberland,+1 (207) 899-2565,ASSISTED HOUSING,3,7/12/21
Kelly B,RCA38893,LEVEL I RESIDENTIAL CARE FACILITY,52 WESTMINSTER AVE,Portland,ME,04103-2431,Cumberland,+1 (207) 899-2525,ASSISTED HOUSING,2,7/12/21
Kelly Drive Group Home,PNC1557,PNMI LEVEL III RESIDENTIAL CARE FACILITY,46 KELLY DR,Sabattus,ME,04280-4320,Androscoggin,+1 (207) 375-8920,ASSISTED HOUSING,6,7/12/21
Kendall Lane,RCC555,LEVEL III RESIDENTIAL CARE FACILITY,4 KENDALL LN,Freeport,ME,04032-1414,Cumberland,+1 (207) 865-3689,ASSISTED HOUSING,3,7/12/21
Kennebago Drive,RCC2204,LEVEL III RESIDENTIAL CARE FACILITY,16 KENNEBAGO DR,Scarborough,ME,04074-9303,Cumberland,+1 (207) 883-0097,ASSISTED HOUSING,4,7/12/21
Keystone,PND39436,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,7 HIGHWOOD ST,Waterville,ME,04901-5739,Kennebec,+1 (207) 873-0705,ASSISTED HOUSING,16,7/12/21
Kimball Avenue,RCC38798,LEVEL III RESIDENTIAL CARE FACILITY,34 KIMBALL AVE,Mexico,ME,04257-1237,Oxford,+1 (207) 364-2439,ASSISTED HOUSING,3,7/12/21
Kingsbury Road Waiver Home,RCC38825,LEVEL III RESIDENTIAL CARE FACILITY,76 WEST RD,Abbot,ME,04406-3022,Piscataquis,+1 (207) 564-8149,ASSISTED HOUSING,4,7/12/21
Kingsbury Road Waiver Home 2,RCC38941,LEVEL III RESIDENTIAL CARE FACILITY,76 WEST RD,Abbot,ME,04406-3022,Piscataquis,+1 (207) 876-4706,ASSISTED HOUSING,3,7/12/21
Knox Road House,RCC68,LEVEL III RESIDENTIAL CARE FACILITY,276 KNOX RD,Bar Harbor,ME,04609-7730,Hancock,+1 (207) 288-9737,ASSISTED HOUSING,6,7/12/21
Laase,RCA39014,LEVEL I RESIDENTIAL CARE FACILITY,15 LAASE AVE,Lewiston,ME,04240-5105,Androscoggin,+1 (207) 783-4410,ASSISTED HOUSING,2,7/12/21
Lakeview Drive House,PNC2387,PNMI LEVEL III RESIDENTIAL CARE FACILITY,176 LAKEVIEW DR,South China,ME,04358-5627,Kennebec,+1 (207) 445-8082,ASSISTED HOUSING,3,7/12/21
Lakeview Terrace Residential Care Facility,PND577,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,74 TAYLOR ST,Lincoln,ME,04457-1145,Penobscot,+1 (207) 794-6086,ASSISTED HOUSING,13,7/12/21
Lambs Mill Road Home,RCC38612,LEVEL III RESIDENTIAL CARE FACILITY,31 LAMBS MILL RD,Naples,ME,04055-3222,Cumberland,+1 (207) 693-4543,ASSISTED HOUSING,4,7/12/21
"Lamp Memory Care Center, The",PND2291,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,64 LISBON ST,Lisbon,ME,04250-6017,Androscoggin,+1 (207) 353-4318,ASSISTED HOUSING,28,7/12/21
Lamson Road,RCC1554,LEVEL III RESIDENTIAL CARE FACILITY,1170 LAMSON RD,Augusta,ME,04330-8562,Kennebec,+1 (207) 623-0838,ASSISTED HOUSING,4,7/12/21
"Landing At Cape Elizabeth, The",ALP39242,ASSISTED LIVING PROGRAM,78 SCOTT DYER RD,Cape Elizabeth,ME,04107-2200,Cumberland,+1 (207) 799-7332,ASSISTED HOUSING,60,7/12/21
"Landing At Saco Bay Senior Day Program, The",ADS39276,ADULT DAY SERVICES PROGRAM,392 MAIN ST,Saco,ME,04072-1521,York,+1 (207) 284-0900,ASSISTED HOUSING,10,7/12/21
"Landing At Saco Bay, The",RCD39243,LEVEL IV RESIDENTIAL CARE FACILITY,392 MAIN ST,Saco,ME,04072-1521,York,+1 (207) 284-0900,ASSISTED HOUSING,53,7/12/21
Langley Street,RCA39340,LEVEL I RESIDENTIAL CARE FACILITY,114 LANGLEY ST,Bangor,ME,04401-2846,Penobscot,+1 (207) 900-6639,ASSISTED HOUSING,2,7/12/21
Lark Street,RCC39021,LEVEL III RESIDENTIAL CARE FACILITY,3 LARK ST,Westbrook,ME,04092-3616,Cumberland,,ASSISTED HOUSING,4,7/12/21
Lawn Avenue,RCC592,LEVEL III RESIDENTIAL CARE FACILITY,18 LAWN AVE,Saco,ME,04072-2950,York,+1 (207) 284-4627,ASSISTED HOUSING,3,7/12/21
Lawn Avenue - Apt 1,RCA38933,LEVEL I RESIDENTIAL CARE FACILITY,18 LAWN AVE APT 1,Saco,ME,04072-2950,York,+1 (207) 282-3862,ASSISTED HOUSING,1,7/12/21
Leap'S Home Supports - Am,RCA38929,LEVEL I RESIDENTIAL CARE FACILITY,208 BARLEN ST,Farmington,ME,04938-5513,Franklin,,ASSISTED HOUSING,1,7/12/21
Leap'S Home Supports - Wv,RCA38930,LEVEL I RESIDENTIAL CARE FACILITY,114 THOMPSON WALTON CT APT 111,Farmington,ME,04938-5648,Franklin,,ASSISTED HOUSING,1,7/12/21
Leap'S Home Supports-Av,RCA38931,LEVEL I RESIDENTIAL CARE FACILITY,120 THOMPSON WALTON CT APT 33,Farmington,ME,04938-5654,Franklin,,ASSISTED HOUSING,1,7/12/21
Leap'S Our House 1,RCC2033,LEVEL III RESIDENTIAL CARE FACILITY,148 WHITTIER RD,Farmington,ME,04938-6323,Franklin,+1 (207) 778-9651,ASSISTED HOUSING,4,7/12/21
"Ledgeview Assisted Living, Llc",RCD1581,LEVEL IV RESIDENTIAL CARE FACILITY,92 US ROUTE 1,Cumberland Foreside,ME,04110-1315,Cumberland,+1 (207) 781-2408,ASSISTED HOUSING,24,7/12/21
Legacy Memory Care,ALP2262,ASSISTED LIVING PROGRAM,4 SCHOOL HOUSE DR,Falmouth,ME,04105-1994,Cumberland,+1 (207) 781-4428,ASSISTED HOUSING,29,7/12/21
Leighton,RCA39165,LEVEL I RESIDENTIAL CARE FACILITY,5 LEIGHTON AVE,Portland,ME,04103-1022,Cumberland,+1 (207) 835-0099,ASSISTED HOUSING,2,7/12/21
Leighton Manor,RCD2106,LEVEL IV RESIDENTIAL CARE FACILITY,110 HIGHLAND AVE,Bangor,ME,04401-4659,Penobscot,+1 (207) 460-9303,ASSISTED HOUSING,8,7/12/21
Lenox Street Home,RCC599,LEVEL III RESIDENTIAL CARE FACILITY,45 LENOX ST,Sanford,ME,04073-3209,York,+1 (207) 324-2423,ASSISTED HOUSING,6,7/12/21
Lewis Foster Home,RCA601,LEVEL I RESIDENTIAL CARE FACILITY,223 SILVER RD,Bangor,ME,04401-5831,Penobscot,+1 (207) 974-9948,ASSISTED HOUSING,1,7/12/21
Lily Of The Valley Haven,RCC38993,LEVEL III RESIDENTIAL CARE FACILITY,988 N MAIN ST,Winterport,ME,,,+1 (207) 223-5528,ASSISTED HOUSING,4,7/12/21
"Lincoln Home, The",ALP1068,ASSISTED LIVING PROGRAM,22 RIVER RD,Newcastle,ME,04553-3851,Lincoln,+1 (207) 563-3350,ASSISTED HOUSING,28,7/12/21
Lincoln Street Group Home,PNC607,PNMI LEVEL III RESIDENTIAL CARE FACILITY,18 LINCOLN ST,Portland,ME,04103-4408,Cumberland,+1 (207) 774-2552,ASSISTED HOUSING,6,7/12/21
Linton Street Facility,RCA610,LEVEL I RESIDENTIAL CARE FACILITY,66 LINTON ST,South Portland,ME,04106-3319,Cumberland,+1 (207) 772-7255,ASSISTED HOUSING,2,7/12/21
Living Well Adult Day Health Brunswick,ADS38871,ADULT DAY SERVICES PROGRAM,89 ADMIRAL FITCH AVE,Brunswick,ME,04011-2700,Cumberland,+1 (207) 729-6222,ASSISTED HOUSING,20,7/12/21
Living Well Adult Day Health Stroudwater,ADS38872,ADULT DAY SERVICES PROGRAM,113 LANDING RD,Westbrook,ME,04092-4094,Cumberland,+1 (207) 857-9007,ASSISTED HOUSING,20,7/12/21
Living Well Adult Day Health Wells,ADS38873,ADULT DAY SERVICES PROGRAM,86 SANFORD RD,Wells,ME,04090-5532,York,+1 (207) 646-3444,ASSISTED HOUSING,20,7/12/21
Lodges Care Center,PND1731,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,51 MAIN ST,Springvale,ME,04083-1843,York,+1 (207) 324-4757,ASSISTED HOUSING,57,7/12/21
Lombard Street Waiver Home,RCC1775,LEVEL III RESIDENTIAL CARE FACILITY,112 LOMBARD ST,Presque Isle,ME,04769-2448,Aroostook,+1 (207) 764-7127,ASSISTED HOUSING,5,7/12/21
Lookout,RCC38764,LEVEL III RESIDENTIAL CARE FACILITY,924 DOVER RD,Dexter,ME,04930-2547,Penobscot,+1 (207) 924-0098,ASSISTED HOUSING,3,7/12/21
Lothrop Foster Home,RCB619,LEVEL II RESIDENTIAL CARE FACILITY,62 HOPKINS HILL RD,Newcastle,ME,04553-3600,Lincoln,+1 (207) 563-2727,ASSISTED HOUSING,3,7/12/21
Lubear Way,RCC38944,LEVEL III RESIDENTIAL CARE FACILITY,47 LUBEAR WAY,Auburn,ME,04210-8281,Androscoggin,+1 (207) 795-6737,ASSISTED HOUSING,4,7/12/21
Lucette'S Boarding Home,PND622,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,61 MAIN ST,Thomaston,ME,04861-3650,Knox,+1 (207) 354-6746,ASSISTED HOUSING,18,7/12/21
Ludlow,RCA39151,LEVEL I RESIDENTIAL CARE FACILITY,474 LUDLOW ST,Portland,ME,04102-1543,Cumberland,+1 (207) 835-0099,ASSISTED HOUSING,2,7/12/21
Mac-Autumn House,RCC2024,LEVEL III RESIDENTIAL CARE FACILITY,443 MAIN ST,Madison,ME,04950-4203,Somerset,+1 (207) 566-5766,ASSISTED HOUSING,4,7/12/21
Mac-Harvest Hill Home,RCC1848,LEVEL III RESIDENTIAL CARE FACILITY,60A DUNBAR HILL RD,Embden,ME,4958,Somerset,+1 (207) 566-5766,ASSISTED HOUSING,5,7/12/21
Machias Boarding Home,PNC626,PNMI LEVEL III RESIDENTIAL CARE FACILITY,2 NORTH ST,Machias,ME,04654-1193,Washington,+1 (207) 255-8596,ASSISTED HOUSING,6,7/12/21
Mac-House,RCC625,LEVEL III RESIDENTIAL CARE FACILITY,60B DUNBAR HILL RD,Embden,ME,4958,Somerset,+1 (207) 566-5766,ASSISTED HOUSING,5,7/12/21
Macsullivan Home,RCC1662,LEVEL III RESIDENTIAL CARE FACILITY,1 MACSULLIVAN ST,Lewiston,ME,04240-4022,Androscoggin,+1 (207) 786-3270,ASSISTED HOUSING,3,7/12/21
Madawaska Group Home,PND628,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,704 MAIN ST,Madawaska,ME,04756-3043,Aroostook,+1 (207) 728-6727,ASSISTED HOUSING,7,7/12/21
Maddocks Avenue Home,RCA38938,LEVEL I RESIDENTIAL CARE FACILITY,20 MADDOCKS AVE,Ellsworth,ME,04605-1508,Hancock,+1 (207) 667-7464,ASSISTED HOUSING,2,7/12/21
Madigan Estates Adult Day Program,ADS631,ADULT DAY SERVICES PROGRAM,93 MILITARY ST,Houlton,ME,04730-2421,Aroostook,+1 (207) 532-6593,ASSISTED HOUSING,20,7/12/21
Madigan House,RCD22498,LEVEL IV RESIDENTIAL CARE FACILITY,93 MILITARY ST,Houlton,ME,04730-2421,Aroostook,+1 (207) 532-6593,ASSISTED HOUSING,47,7/12/21
Madison House,RCC38696,LEVEL III RESIDENTIAL CARE FACILITY,92 WHITE SCHOOL HOUSE RD,Madison,ME,04950-4007,Somerset,+1 (207) 696-0807,ASSISTED HOUSING,4,7/12/21
Main Street Manor,RCC39085,LEVEL III RESIDENTIAL CARE FACILITY,641 MAIN ST,Old Town,ME,04468-1920,Penobscot,+1 (207) 951-6800,ASSISTED HOUSING,5,7/12/21
Main Street West,ALP2373,ASSISTED LIVING PROGRAM,1037 W MAIN ST,Dover Foxcroft,ME,04426-3752,Piscataquis,+1 (207) 564-8129,ASSISTED HOUSING,14,7/12/21
"Maine Family Services, Llc Ii",RCA38831,LEVEL I RESIDENTIAL CARE FACILITY,1470 FOREST AVE,Portland,ME,04103-1802,Cumberland,+1 (207) 536-4937,ASSISTED HOUSING,2,7/12/21
Maine Veterans' Home - Augusta,RCD22505,LEVEL IV RESIDENTIAL CARE FACILITY,310 CONY RD,Augusta,ME,04330-0513,Kennebec,+1 (207) 622-2454,ASSISTED HOUSING,30,7/12/21
Maine Veterans' Home - Bangor,PND22507,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,44 HOGAN RD,Bangor,ME,04401-5602,Penobscot,+1 (207) 942-2333,ASSISTED HOUSING,30,7/12/21
Maine Veterans' Home - Caribou,RCD22511,LEVEL IV RESIDENTIAL CARE FACILITY,163 VAN BUREN RD STE 2,Caribou,ME,04736-3567,Aroostook,+1 (207) 498-6074,ASSISTED HOUSING,30,7/12/21
Maine Veterans' Home - Machias,PND1803,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,32 VETERANS WAY,Machias,ME,04654-3324,Washington,+1 (207) 255-0162,ASSISTED HOUSING,30,7/12/21
Maine Veterans' Home - Scarborough,PND22514,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,290 US ROUTE 1,Scarborough,ME,04074-8370,Cumberland,+1 (207) 883-7184,ASSISTED HOUSING,30,7/12/21
Maine Veterans' Home - South Paris,PND22516,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,477 HIGH ST,South Paris,ME,04281-6507,Oxford,+1 (207) 743-6300,ASSISTED HOUSING,28,7/12/21
Mainestay,PND38905,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,165 CUMBERLAND AVE,Portland,ME,04101-3129,Cumberland,+1 (207) 221-8656,ASSISTED HOUSING,12,7/12/21
Mamie Powell Waiver Home,RCC646,LEVEL III RESIDENTIAL CARE FACILITY,38 CARTER ST,Eagle Lake,ME,4739,Aroostook,+1 (207) 444-6225,ASSISTED HOUSING,4,7/12/21
Maple Avenue,RCC39009,LEVEL III RESIDENTIAL CARE FACILITY,55 MAPLE AVE,Scarborough,ME,04074-8269,Cumberland,+1 (207) 879-1140,ASSISTED HOUSING,4,7/12/21
Maplecrest Rehab And Living Ctr Adc Program,ADS653,ADULT DAY SERVICES PROGRAM,174 MAIN ST,Madison,ME,04950-1523,Somerset,+1 (207) 696-8225,ASSISTED HOUSING,20,7/12/21
Mapleton Waiver Home,RCC2312,LEVEL III RESIDENTIAL CARE FACILITY,46 FORDS LN,Mapleton,ME,04757-4324,Aroostook,+1 (207) 764-1836,ASSISTED HOUSING,3,7/12/21
Marcoux Waiver Home,RCC1715,LEVEL III RESIDENTIAL CARE FACILITY,36 MAKAYLA DRIVE,Eagle Lake,ME,4739,Aroostook,+1 (207) 444-6223,ASSISTED HOUSING,4,7/12/21
"Market Square Health Care Center, Llc",PND22579,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,3 MARKET SQ,South Paris,ME,04281-1114,Oxford,+1 (207) 743-7086,ASSISTED HOUSING,24,7/12/21
Marlu Street,RCA2321,LEVEL I RESIDENTIAL CARE FACILITY,26 MARLU ST,Westbrook,ME,04092-4649,Cumberland,+1 (207) 879-1140,ASSISTED HOUSING,2,7/12/21
Marsh Road,RCC38763,LEVEL III RESIDENTIAL CARE FACILITY,69 MARSH RD,Corinth,ME,04427-3200,Penobscot,+1 (207) 285-0090,ASSISTED HOUSING,4,7/12/21
Marshall,RCA38954,LEVEL I RESIDENTIAL CARE FACILITY,40 MARSHALL ST,Mechanic Falls,ME,04256-5106,Androscoggin,+1 (207) 782-2726,ASSISTED HOUSING,2,7/12/21
Marston Apt-Support Solutions,RCA39255,LEVEL I RESIDENTIAL CARE FACILITY,57 MARSTON ST,Auburn,ME,04210-4325,Androscoggin,+1 (207) 312-5152,ASSISTED HOUSING,1,7/12/21
Marston Street Home,PNC38686,PNMI LEVEL III RESIDENTIAL CARE FACILITY,16 MARSTON ST,Norway,ME,04268-5776,Oxford,+1 (207) 743-2171,ASSISTED HOUSING,4,7/12/21
Martha Ballard Assisted Living,ALP38939,ASSISTED LIVING PROGRAM,60 BALSAM DR,Hallowell,ME,04347-3008,Kennebec,+1 (207) 626-7786,ASSISTED HOUSING,24,7/12/21
Martin Drive,PNC2102,PNMI LEVEL III RESIDENTIAL CARE FACILITY,30 MARTIN DR # 32,Lewiston,ME,04240-5041,Androscoggin,+1 (207) 376-4809,ASSISTED HOUSING,4,7/12/21
Mary Lane,RCC100,LEVEL III RESIDENTIAL CARE FACILITY,84 MARY LN,Oakland,ME,04963-5124,Kennebec,+1 (207) 465-7201,ASSISTED HOUSING,4,7/12/21
Mast Landing Residence,RCC1737,LEVEL III RESIDENTIAL CARE FACILITY,4 DIKES LANDING RD,Bath,ME,04530-2867,Sagadahoc,+1 (207) 386-5160,ASSISTED HOUSING,3,7/12/21
Mayflower Place,ALP38844,ASSISTED LIVING PROGRAM,27 MAYFLOWER ST,Sanford,ME,04073-3645,York,+1 (207) 490-0400,ASSISTED HOUSING,36,7/12/21
Mccarty House,RCA38987,LEVEL I RESIDENTIAL CARE FACILITY,208 PALM ST,Bangor,ME,04401-4022,Penobscot,+1 (207) 307-7813,ASSISTED HOUSING,2,7/12/21
Meadow Road Home Assisted Housing Program,RCC38616,LEVEL III RESIDENTIAL CARE FACILITY,113 SANDY CREEK RD,Bridgton,ME,04009-4135,Cumberland,+1 (207) 647-9385,ASSISTED HOUSING,4,7/12/21
"Meadows Home, The",RCC2247,LEVEL III RESIDENTIAL CARE FACILITY,244 RAY ST,Portland,ME,04103-4305,Cumberland,+1 (207) 747-5463,ASSISTED HOUSING,4,7/12/21
"Meadows, The",PND1069,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,110 PERKINS AVE,Old Town,ME,04468-1763,Penobscot,+1 (207) 827-0547,ASSISTED HOUSING,16,7/12/21
Meadowview Group Home,PND680,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,90 PARK ST,Orono,ME,04473-4408,Penobscot,+1 (207) 866-4214,ASSISTED HOUSING,8,7/12/21
Melissa Drive,RCA39146,LEVEL I RESIDENTIAL CARE FACILITY,23 MELISSA DR,Yarmouth,ME,04096-7717,Cumberland,+1 (207) 835-0099,ASSISTED HOUSING,2,7/12/21
Melody Lane,RCA39015,LEVEL I RESIDENTIAL CARE FACILITY,17 MELODY LN,Lewiston,ME,04240-1613,Androscoggin,+1 (207) 333-5005,ASSISTED HOUSING,2,7/12/21
Memory Lane Assisted Living Llc,RCC39036,LEVEL III RESIDENTIAL CARE FACILITY,2472 ROUTE 2,Hermon,ME,04401-0624,Penobscot,+1 (207) 605-0144,ASSISTED HOUSING,3,7/12/21
Mercy Home,PND33876,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,3402 AROOSTOOK RD,Eagle Lake,ME,04739-3240,Aroostook,+1 (207) 444-5152,ASSISTED HOUSING,10,7/12/21
Merry Gardens Estates,ALP684,ASSISTED LIVING PROGRAM,87 JOHN ST,Camden,ME,04843-1953,Knox,+1 (207) 230-0618,ASSISTED HOUSING,30,7/12/21
Mid Coast Senior Health Center-Thornton Hall,ALP1692,ASSISTED LIVING PROGRAM,56 BARIBEAU DR,Brunswick,ME,04011-3251,Cumberland,+1 (207) 373-3646,ASSISTED HOUSING,41,7/12/21
Middle Street House,PNC1932,PNMI LEVEL III RESIDENTIAL CARE FACILITY,45 MIDDLE ST,Augusta,ME,04330-5728,Kennebec,+1 (207) 626-3484,ASSISTED HOUSING,6,7/12/21
Middlesex Residence - T2,RCC39399,LEVEL III RESIDENTIAL CARE FACILITY,563 MIDDLESEX RD,Topsham,ME,04086-5340,Sagadahoc,+1 (207) 443-9783,ASSISTED HOUSING,6,7/12/21
Milbridge Residence,PNC690,PNMI LEVEL III RESIDENTIAL CARE FACILITY,4 HARBOR LN,Milbridge,ME,04658-3550,Washington,+1 (207) 546-5015,ASSISTED HOUSING,6,7/12/21
Mill Street,RCA38947,LEVEL I RESIDENTIAL CARE FACILITY,143 MILL ST APT 108,Auburn,ME,04210-5650,Androscoggin,+1 (207) 795-7619,ASSISTED HOUSING,1,7/12/21
Miller Terraces,PND693,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,60 OHIO ST,Bangor,ME,04401-4732,Penobscot,+1 (207) 942-8603,ASSISTED HOUSING,10,7/12/21
Millie Morrill House,RCC623,LEVEL III RESIDENTIAL CARE FACILITY,205 LUDLOW ST,Portland,ME,04102-1807,Cumberland,+1 (207) 420-3281,ASSISTED HOUSING,6,7/12/21
Minuteman Drive,RCC696,LEVEL III RESIDENTIAL CARE FACILITY,1 MINUTEMAN DR,Scarborough,ME,04074-8716,Cumberland,+1 (207) 885-0831,ASSISTED HOUSING,3,7/12/21
Monarch,RCC38830,LEVEL III RESIDENTIAL CARE FACILITY,1164 W MAIN ST,Dover Foxcroft,ME,04426-3716,Piscataquis,+1 (207) 802-8087,ASSISTED HOUSING,3,7/12/21
Monmouth Acres,RCC38710,LEVEL III RESIDENTIAL CARE FACILITY,89 ROUTE 135,Monmouth,ME,04259-6513,Kennebec,+1 (207) 933-8060,ASSISTED HOUSING,6,7/12/21
Monroe Home,RCC701,LEVEL III RESIDENTIAL CARE FACILITY,20 MONROE AVE,Westbrook,ME,04092-4017,Cumberland,+1 (207) 854-9521,ASSISTED HOUSING,4,7/12/21
