State Facility Type 2 Literal,License Number,Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Capacity,State Facility Type 1 Literal,Date Accessed
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2330,42465,Bishop Place Senior Living,815 SE KLEMGARD ST,Pullman,WA,99163,Whitman,(509) 334-9488,121,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2370,43994,Community Pride Llc,102 S BRYANT BLVD,Saint John,WA,99171,Whitman,(509) 648-4214,21,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1707,30859,La Dow Court Assisted Living,308 W CALIFORNIA ST,Garfield,WA,99130,Whitman,(509) 635-1240,16,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2226,41990,Paul'S Place,907 S MILL STREET,Colfax,WA,99111,Whitman,(509) 397-3433,35,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2060,40751,Regency Pullman,1285 SW CENTER ST,Pullman,WA,99163,Whitman,(509) 332-2629,84,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2468,45082,Tekoa Care Center,330 N MADISON ST,Tekoa,WA,99033,Whitman,(509) 284-4501,59,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1624,30804,The Courtyard At Colfax,300 S MAIN ST,Colfax,WA,99111,Whitman,(509) 397-6123,50,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2460,45017,Avamere At Englewood Heights,3710 KERN WAY,Yakima,WA,98902,Yakima,(509) 452-5822,88,ASSISTED LIVING FACILITY,7/6/21
ENHANCED ADULT RESIDENTIAL CARE,2462,45018,Avamere At Englewood Heights Memory Care,3706 KERN WAY,Yakima,WA,98902,Yakima,(509) 452-5822,20,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2190,42008,Blossom Place,5100 W NOB HILL BLVD,Yakima,WA,98908,Yakima,(509) 972-7862,55,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1695,30847,Brookdale Yakima,4100 ENGLEWOOD AVE,Yakima,WA,98908,Yakima,(509) 965-0111,82,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2156,41718,Chandler House,701 N 39TH AVE,Yakima,WA,98902,Yakima,(509) 248-1007,36,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,375,30041,Comprehensive Healthcare,202 N 7TH ST,Yakima,WA,98901,Yakima,(509) 575-4084,12,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,2465,45151,Elmcroft Of Chesterley,1100 N 35TH AVE,Yakima,WA,98902,Yakima,,96,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE",2346,43745,Fieldstone Memory Care,4120 ENGLEWOOD AVE,Yakima,WA,98908,Yakima,(509) 965-5282,58,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2404,44248,Fieldstone Orchardwest,4130 ENGLEWOOD AVE,Yakima,WA,98908,Yakima,(509) 571-1640,92,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",1916,30972,Gleed Orchard Manor,30 LINK RD,Gleed,WA,98908,Yakima,(509) 966-5880,30,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2502,45025,Grandview Assisted Living,912 HILLCREST ST,Grandview,WA,98930,Yakima,(509) 402-9040,45,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2224,42147,Highgate Senior Living,5605 W CHESTNUT AVE,Yakima,WA,98908,Yakima,(509) 972-4141,64,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,998,30305,Hillcrest At Summitview,3801 SUMMITVIEW AVE,Yakima,WA,98902,Yakima,(509) 966-6240,50,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE",1292,30567,Just Like Home Resident Care Inc,906 NORTH AVE,Sunnyside,WA,98944,Yakima,(509) 839-4663,13,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",804,30175,Ponderosa Retirement Center,3300 ENGLEWOOD AVE,Yakima,WA,98902,Yakima,(509) 453-1366,85,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2136,41675,Riverview Manor,555 E GOODLANDER RD,Selah,WA,98942,Yakima,(509) 697-3333,60,ASSISTED LIVING FACILITY,7/6/21
"ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2440,44615,Sunnyside Assisted Living,907 IDA BELLE ST,Sunnyside,WA,98944,Yakima,(509) 839-0579,96,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ENHANCED ADULT RESIDENTIAL CARE, ADULT RESIDENTIAL CARE",2503,45441,The Orchards At Grandview ,2001 W 5TH ST,Grandview,WA,98930,Yakima,(509) 203-6182,72,ASSISTED LIVING FACILITY,7/6/21
