Speciality,contract,Check_Type,LicenseNumber,LocationNumber,FacInstanceId,FacilityType,FacilityName,FacilityStatus,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailCity,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,ConfidentialFaxNmbr,RCSRegionUnit,SpecialityCode,ContractCode,FacilityPOC,LicensedBedCount,LicenseExpirationDate,CheckCompleteDate,CheckType,Has Reports?,Reports Location
None,Assisted Living SOW,,2398,60008870,44307,BH  ,Mallard Landing Senior Assisted Living Community,OP    ,813 SE Clark Ave,Battle ground,WA,98604,Clark,813 SE Clark Ave,Battle ground,WA,98604,(360) 687-0123,(360) 687-2263,,3E,,1002XP-12 ,"Davis, Teresa ",85,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2398
None,"Enhanced Adult Residential Care, Adult Residential Care",,2384,60009555,44309,BH  ,Pacifica Senior Living Vancouver,OP    ,2410 NE 112th Ave,Vancouver,WA,98684,Clark,2410 NE 112th Ave,Vancouver,WA,98684,(360) 619-5245,,(360) 326-1811,3E,,"1006XP-12 , 1007XP-12 ","Koppert, Kimberly ",72,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2384
None,"Assisted Living SOW, Adult Residential Care",,1615,60000765,30800,BH  ,PRESTIGE ASSISTED LIVING AT HAZEL DELL,OP    ,7514 NE 13TH AVE,VANCOUVER,WA,98665,Clark,7514 NE 13TH AVE,VANCOUVER,WA,98665,(360) 693-2402,,(360) 693-5011,3E,,"1002XP-12 , 1007XP-12 ","Elliott, Karen ",75,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1615
None,Assisted Living SOW,,2237,60008839,42170,BH  ,Prestige Senior Living Bridgewood,OP    ,11700 NE Angelo Dr,Vancouver,WA,98684,Clark,11700 NE Angelo Dr,Vancouver,WA,98684,(360) 254-4666,,(360) 254-4653,3E,,1002XP-12 ,"Roehl, Stacie ",80,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2237
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,2252,60001320,42286,BH  ,Ridgefield Living Center,OP    ,104 Pioneer St,Ridgefield,WA,98642,Clark,104 Pioneer St,Ridgefield,WA,98642,(360) 887-5066,,(360) 887-5068,3E,,"1036XP-12 , 1007XP-12 ","Swindell, Leslie ",38,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2252
None,No Contract,,2414,60009577,44424,BH  ,Stephen's Place,OP    ,501 SE Ellsworth Rd,Vancouver,WA,98664,Clark,501 SE Ellsworth Rd,Vancouver,WA,98664,(360) 984-3600,,(360) 984-3614,3E,,,"Stenberg, Heather ",30,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2414
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,1946,60006852,38918,BH  ,The Hampton Alzheimers Community,OP    ,1617 SE Talton Ave,Vancouver,WA,98683,Clark,1617 SE Talton Ave,Vancouver,WA,98683,(360) 256-8513,(360) 256-7746,,3E,,"1027XS-12 , 1006XP-12 ","Cristoforo, Nino ",85,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1946
None,No Contract,,2227,60009571,42173,BH  ,The Hampton at Salmon Creek Memory Care Community,OP    ,2305 NE 129th Street,Vancouver,WA,98686,Clark,2305 NE 129th Street,Vancouver,WA,98686,(360) 949-7647,,(360) 949-7648,3E,,,"Garibaldi, Courtney ",68,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2227
None,No Contract,,1991,60009517,39412,BH  ,The Quarry Senior Living at Columbia Tech Center,OP    ,415 SE 177th Ave,Vancouver,WA,98683,Clark,415 SE 177th Ave,Vancouver,WA,98683,(360) 944-6000,,,3E,,,"Shaffer, Andrew ",220,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1991
None,No Contract,,1189,60001189,30482,BH  ,Touchmark at Fairway Village,OP    ,2911 SE Village Loop,Vancouver,WA,98683,Clark,2911 SE Village Loop,Vancouver,WA,98683,(360) 254-2866,,(360) 883-3103,3E,,,"Macneil, Kristal L. ",140,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1189
None,No Contract,,972,60000911,30285,BH  ,VAN MALL RETIREMENT,OP    ,7808 NE 51ST ST,VANCOUVER,WA,98662,Clark,7808 NE 51st STREET,VANCOUVER,WA,98662,(360) 896-9140,,(360) 256-2768,3E,,,"Hennessy, Crystal ",75,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=972
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2529,60008855,45983,BH  ,Van Vista Assisted Living,OP    ,410 W 13th St,Vancouver,WA,98660,Clark,410 W 13th St,Vancouver,WA,98660,(360) 750-4665,,,3E,,"1006XP-12 , 1002XP-12 ","Edwards, Dwight ",97,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2529
None,"Enhanced Adult Residential Care, Adult Residential Care",,2117,60009552,40937,BH  ,Windsor Gardens Inc,OP    ,1602 NE 162nd Ave,Vancouver,WA,98684,Clark,1602 NE 162nd Ave,Vancouver,WA,98684,(360) 944-7419,,(360) 260-3863,3E,,"1006XP-12 , 1007XP-12 ","Meyer, Michael ",12,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2117
None,"Assisted Living SOW, Adult Residential Care",,1028,60006992,30328,BH  ,WOODLAND ASSISTED LIVING,OP    ,310 4th St,Woodland,WA,98674,Clark,PO BOX 69,WOODLAND,WA,98674,(360) 225-9443,,(360) 225-3703,3E,,"1002XP-12 , 1007XP-12 ","Settlemier, Justin ",32,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1028
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,1180,60000839,30473,BH  ,Patit Creek Adult Residential Care,OP    ,423 W Main St,Dayton,WA,99328,Columbia,PO BOX 49,DAYTON,WA,99328,(509) 382-2410,,(509) 382-2674,1B,,"1036XP-12 , 1007XP-12 ","Roughton, Phd., Kenneth R. ",30,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1180
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,1580,60001085,30776,BH  ,CANTERBURY GARDENS,OP    ,1457 3rd Ave,Longview,WA,98632,Cowlitz,1457 3rd Ave,Longview,WA,98632,(360) 423-2200,,(360) 423-1874,3E,,"1027XS-12 , 1006XP-12 ","Medack, Julie ",72,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1580
None,No Contract,,1581,60000636,30777,BH  ,CANTERBURY RETIREMENT INN,OP    ,1324 3rd Ave,Longview,WA,98632,Cowlitz,1324 3rd Ave,Longview,WA,98632,(360) 425-7947,,(360) 425-7016,3E,,,"Baumfalk, Leah ",140,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1581
None,Assisted Living SOW,,1574,60000679,30771,BH  ,DELAWARE PLAZA RETIREMENT INN,OP    ,926 Delaware St,Longview,WA,98632,Cowlitz,926 Delaware St,Longview,WA,98632,(360) 423-3333,,(360) 423-4436,3E,,1002XP-12 ,"Steel, Laura ",108,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1574
None,No Contract,,2348,60001170,43759,BH  ,Highlander Place,OP    ,114 Corduroy Rd,Kelso,WA,98626,Cowlitz,114 Corduroy Rd,Kelso,WA,98626,(360) 636-2319,,(847) 255-1896,3E,,,"Hendrickson, Jennifer ",40,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2348
None,"Enhanced Adult Residential Care, Adult Residential Care",,2380,60008926,44194,BH  ,Kleine Enterprises DBA The Villager LLC,OP    ,420 1st Ave SW,Castle Rock,WA,98611,Cowlitz,420 1st Ave SW,Castle Rock,WA,98611,(360) 274-7944,(360) 274-7944,,3E,,"1006XP-12 , 1007XP-12 ","KLEINE, MINDY ",35,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2380
None,Assisted Living SOW,,1590,60008893,30782,BH  ,NEW WESTSIDE TERRACE (NWST),OP    ,1200 17TH AVENUE,LONGVIEW,WA,98632,Cowlitz,2025 TIBBETTS DRIVE,LONGVIEW,WA,98632,(360) 423-9392,,(360) 423-9338,3E,,1002XP-12 ,"Rosgen, Eric ",62,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1590
None,Assisted Living SOW,,2238,60008838,42168,BH  ,Prestige Senior Living Monticello Park,OP    ,605 Broadway St,Longview,WA,98632,Cowlitz,605 Broadway St,Longview,WA,98632,(360) 575-1778,,(360) 575-1786,3E,,1002XP-12 ,"Schneider, Apryl ",95,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2238
None,Assisted Living SOW,,1461,60008833,30693,BH  ,SOMERSET RETIREMENT APARTMENTS,OP    ,2025 TIBBETTS DR,LONGVIEW,WA,98632,Cowlitz,2025 TIBBETTS DR,LONGVIEW,WA,98632,(360) 423-7392,,(360) 423-0717,3E,,1002XP-12 ,"Rosgen, Eric ",56,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1461
None,"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2324,60005393,42339,BH  ,Amber Waves ALF LLC,OP    ,302 East Ash Street,Waterville,WA,98858,Douglas,PO Box 368,Waterville,WA,98858,(509) 745-8187,,(509) 745-8590,1C,,"1036XP-12 , 1002XP-12 , 1007XP-12 ","Skinner, June E. ",15,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2324
None,No Contract,,2026,60009527,39725,BH  ,BONAVENTURE OF EAST WENATCHEE,OP    ,50 29TH STREET NW,EAST WENATCHEE,WA,98802,Douglas,"3425 Boone Rd., SE",SALEM,OR,97317,(509) 881-2093,(509) 884-2105,,1C,,,"Holgate, Vickie ",149,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2026
None,No Contract,,2580,60000928,46794,BH  ,Kadie Glen Assisted Living,OP    ,451 North Baker Ave,East Wenatchee,WA,98802,Douglas,451 North Baker Ave,East Wenatchee,WA,98802,(509) 884-9555,,(509) 884-4012,1C,,,"Stafsholt, Jennifer ",64,10/31/21 0:00,,,No, 
None,Assisted Living Facility (ALF),,2391,60000734,44289,BH  ,Prestige Senior Living at East Wenatchee,OP    ,589 HIGHLINE DR,EAST WENATCHEE,WA,98802,Douglas,589 HIGHLINE DR,EAST WENATCHEE,WA,98802,(509) 884-3938,(509) 884-2655,,1C,,1002XP-12 ,"Ryles, Kirsten ",42,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2391
None,Assisted Living SOW,,1941,60009512,30969,BH  ,KLONDIKE HILLS,OP    ,36 KLONDIKE RD,REPUBLIC,WA,991660000,Ferry,36 KLONDIKE RD,REPUBLIC,WA,991660000,(509) 775-3333,,(509) 775-8300,1B,,1002XP-12 ,"Edwards, Aaron C. ",16,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1941
None,"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",,2515,60009646,45617,BH  ,Rosetta Pasco,OP    ,5921 Road 60,Pasco,WA,99301,Franklin,5921 Road 60,Pasco,WA,99301,(208) 391-2520,,(280) 739-9175,1C,,"1027XS-12 , 1036XP-12 , 1006XP-12 , 1007XP-12 ","Blanco, Kelsie ",46,9/30/21 0:00,,,No, 
None,"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Assisted Living SOW",,2549,60000904,46367,BH  ,Tri-Cities Assisted Living,OP    ,2000 N 22nd Ave,Pasco,WA,99301,Franklin,2000 N 22nd Ave,Pasco,WA,99301,(509) 547-2466,,(509) 547-2532,1C,,"1027XS-12 , 1036XP-12 , 1006XP-12 , 1002XP-12 ","Samuel, Laura L. ",115,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2549
None,Assisted Living SOW,,2463,60008922,45020,BH  ,Avamere at Moses Lake,OP    ,8425 Aspi Blvd NE,Moses Lake,WA,98837,Grant,8425 Aspi Blvd NE,Moses Lake,WA,98837,(509) 762-9115,,(509) 762-9146,1B,,1002XP-12 ,"Montoya, Jodi L. ",85,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2463
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2524,60000736,45655,BH  ,Brookdale Hearthstone Moses Lake,OP    ,905 S Pioneer Way,Moses Lake,WA,98837,Grant,905 S Pioneer Way,Moses Lake,WA,98837,(509) 765-2121,,,1B,,"1006XP-12 , 1002XP-12 ","Lin, Patty ",100,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2524
None,Assisted Living SOW,,1199,60001296,30492,BH  ,Garden Oasis,OP    ,200 NAT WASHINGTON WAY,Ephrata,WA,98823,Grant,200 NAT WASHINGTON WAY,Ephrata,WA,98823,(509) 754-4631,,(509) 754-6356,1B,,1002XP-12 ,"Trepanier, Becky ",32,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1199
None,No Contract,,2532,60008700,45713,BH  ,"Monroe House, A Senior Living Community",OP    ,1405 S MONROE ST,MOSES LAKE,WA,98837,Grant,1405 S MONROE ST,MOSES LAKE,WA,98837,(509) 765-2200,,(509) 765-2201,1B,,,"Edwards, Linda P. ",41,6/30/22 0:00,,,No, 
None,"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care",,2514,60008864,45604,BH  ,Summer Wood Alzheimer's Special Care Center,OP    ,830 NW Sunburst Ct,Moses Lake,WA,98837,Grant,830 NW Sunburst Ct,Moses Lake,WA,98837,(509) 764-1900,,(509) 764-4842,1B,,"1027XS-12 , 1036XP-12 ","Ahmann, Laurie ",56,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2514
None,Assisted Living SOW,,1716,60008760,30865,BH  ,THE CAMBRIDGE,OP    ,301 H ST SW,QUINCY,WA,98848,Grant,301 H ST SW,QUINCY,WA,98848,(509) 797-9555,,(509) 797-0205,1B,,1002XP-12 ,"Michel, Linzi J. ",36,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1716
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,2148,60000618,41739,BH  ,Beehive Retirement and Assisted Living Community,OP    ,401 W Maple St,McCleary,WA,98557,Grays Harbor,401 W Maple St,McCleary,WA,98557,(360) 495-3555,,(360) 495-3903,3E,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Dube, Michelle ",61,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2148
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2264,60001129,42370,BH  ,Brookdale Ocean Shores,OP    ,1020 CATALA AVENUE SE,OCEAN SHORES,WA,98569,Grays Harbor,1020 CATALA AVENUE SE,OCEAN SHORES,WA,98569,(360) 289-9663,(360) 289-9937,,3E,,"1006XP-12 , 1002XP-12 ","Wylet, Marilee ",54,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2264
None,Assisted Living SOW,,874,60000649,30215,BH  ,CHANNEL POINT VILLAGE,OP    ,907 K St,Hoquiam,WA,98550,Grays Harbor,907 K St,Hoquiam,WA,98550,(360) 532-9000,,(360) 538-0438,3E,,1002XP-12 ,"Mullins, Brandon ",55,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=874
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,2383,60001167,44253,BH  ,Elma Home Care,OP    ,901 West Young St,Elma,WA,98541,Grays Harbor,PO Box 759,Elma,WA,98541,(360) 482-2684,,(360) 482-8460,3E,,"1036XP-12 , 1007XP-12 ","Sterek, Tericka L. ",26,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2383
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,2363,60001149,44012,BH  ,Riverside Place,OP    ,1649 Broadway Ave,Hoquiam,WA,98550,Grays Harbor,1649 Broadway Ave,Hoquiam,WA,98550,(360) 532-3007,,(360) 533-6236,3E,,"1027XS-12 , 1006XP-12 ","Silvan, Angela ",38,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2363
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2152,60008784,41742,BH  ,Westhaven Villa,OP    ,1000 Anderson Dr,Aberdeen,WA,98520,Grays Harbor,1000 Anderson Dr,Aberdeen,WA,98520,(360) 538-9983,,(360) 537-6662,3E,,"1006XP-12 , 1002XP-12 ","Silvan, Angela ",54,2/28/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2152
None,Assisted Living SOW,,894,60000729,30227,BH  ,HARBOR TOWER VILLAGE INC,OP    ,100 E WHIDBEY AVE,OAK HARBOR,WA,98277,Island,2020 A St SE Suite 101,Auburn,WA,98002,(360) 675-2569,,(360) 675-0219,2A,,1002XP-12 ,"Jensen, Sandra A. ",22,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=894
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,2501,60008780,45557,BH  ,Homeplace Special Care Center at Oak Harbor,OP    ,171 SW 6TH AVE,OAK HARBOR,WA,98277,Island,171 SW 6TH AVE,OAK HARBOR,WA,98277,(360) 279-2555,,(360) 679-0919,2A,,"1027XS-12 , 1006XP-12 ","Moody, Jennifer R. ",50,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2501
None,No Contract,,1966,60009507,39069,BH  ,Maple Ridge Assisted Living Community,OP    ,1767 Alliance Avenue,Freeland,WA,98249,Island,"3425 Boone Rd., SE",SALEM,OR,97317,(360) 331-1303,(360) 331-1363,,2A,,,"Vazquez, Tera ",81,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1966
None,"Specialized Dementia Care, Assisted Living SOW",,1738,60008801,30882,BH  ,REGENCY ON WHIDBEY,OP    ,1045 SW KIMBALL DR,OAK HARBOR,WA,98277,Island,1045 SW KIMBALL DR,OAK HARBOR,WA,98277,(360) 279-0933,,(360) 279-1433,2A,,"1027XS-12 , 1002XP-12 ","FLAHERTY, WILMA JO ",41,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1738
None,Assisted Living SOW,,1739,60008830,30883,BH  ,REGENCY ON WHIDBEY,OP    ,1040 SW KIMBALL DRIVE,OAK HARBOR,WA,98277,Island,1040 SW KIMBALL DRIVE,OAK HARBOR,WA,98277,(360) 279-0933,,(360) 279-1433,2A,,1002XP-12 ,"FLAHERTY, WILMA JO ",73,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1739
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,1839,60001163,30960,BH  ,SUMMER HILL,OP    ,165 SW 6TH AVE,OAK HARBOR,WA,982770000,Island,165 SW 6TH AVE,OAK HARBOR,WA,982770000,(360) 679-1400,,(360) 675-9434,2A,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","Hamilton, Jack ",70,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1839
None,"Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",,2424,60009551,44475,BH  ,Welcome Home (Oak Harbor Senior Memory Care),OP    ,235 SW 6TH AVE,OAK HARBOR,WA,98277,Island,235 SW 6TH AVE,OAK HARBOR,WA,98277,(360) 682-5998,,(360) 675-4255,2A,,"1036XP-12 , 1007XP-12 ","Oldemyer, Sandra ",55,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2424
None,Assisted Living SOW,,2408,60001812,44334,BH  ,Avamere at Port Townsend,OP    ,1201 Hancock St,Port Townsend,WA,98368,Jefferson,1201 Hancock St,Port Townsend,WA,98368,(360) 379-9376,(360) 385-0682,,3E,,1002XP-12 ,"Winters, Mary ",90,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2408
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,2143,60008964,41741,BH  ,San Juan Villa,OP    ,112 Castellano Way,Port Townsend,WA,98368,Jefferson,112 Castellano Way,Port Townsend,WA,98368,(360) 344-3114,,(360) 344-3115,3E,,"1027XS-12 , 1006XP-12 ","Lewis, Barbara ",32,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2143
None,No Contract,,2185,60001184,42039,BH  ,Victoria Place,OP    ,491 Discovery Rd,Port Townsend,WA,98368,Jefferson,491 Discovery Rd,Port Townsend,WA,98368,(360) 638-3845,,(847) 259-0283,3E,,,"Avila, Christine ",39,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2185
None,No Contract,,2505,60001143,45681,BH  ,*Welcome Home Assisted Living LLC,OP    ,738 N 200TH ST.,SHORELINE,WA,98133,King,738 N 200TH ST.,SHORELINE,WA,98133,(206) 546-1679,,(206) 542-1585,2J,,,"Singh, Amarpreet ",8,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2505
None,No Contract,,1622,60008815,30803,BH  ,AEGIS ASSISTED LIVING OF KIRKLAND,OP    ,13000 Totem Lake Blvd NE,Kirkland,WA,98034,King,13000 TOTEM LAKE BOULEVARD,KIRKLAND,WA,98034,(425) 823-7272,(425) 821-5910,,2D,,,"Sheron, Shannon J. ",60,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1622
None,No Contract,,1627,60008905,30807,BH  ,AEGIS AT CALLAHAN HOUSE,OP    ,15100 1st Ave NE,Shoreline,WA,98155,King,15100 1st Ave NE,Shoreline,WA,98155,(206) 417-9747,,,2J,,,"Sorensen, Brent ",59,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1627
None,No Contract,,2435,60009606,44374,BH  ,Aegis Gardens at Newcastle,OP    ,13056 SE 76th St,Newcastle,WA,98056,King,13056 SE 76th St,Newcastle,WA,98056,(425) 970-6708,,(425) 271-2730,2D,,,"Stiff, Lori ",140,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2435
None,No Contract,,2455,60009615,44636,BH  ,Aegis Living at Ravenna,OP    ,8511 15th Ave NE,Seattle,WA,98115,King,8511 15th Ave NE,Seattle,WA,98115,,,,2J,,,"Watkins, David ",104,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2455
None,No Contract,,2567,60009666,46491,BH  ,Aegis Living Bellevue Overlake,OP    ,1845 116th Ave NE,Bellevue,WA,98004,King,1845 116th Ave NE,Bellevue,WA,98004,(425) 233-6030,,,2D,,,"Bouman, Alice ",160,3/31/22 0:00,,,No, 
None,No Contract,,2454,60009618,44848,BH  ,Aegis Living of West Seattle,OP    ,4700 SW Admiral Way,Seattle,WA,98116,King,4700 SW Admiral Way,Seattle,WA,98116,(206) 436-0500,,(206) 938-0983,2J,,,"Chappelle, Kent ",100,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2454
None,No Contract,,2492,60008837,45356,BH  ,Aegis Lodge of Kirkland,OP    ,12629 116TH AVE NE,KIRKLAND,WA,98034,King,12629 116TH AVE NE,KIRKLAND,WA,98034,,,(425) 823-2881,2D,,,"Bourgeois, Bryan ",96,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2492
None,No Contract,,2491,60009547,45355,BH  ,Aegis of Bellevue,OP    ,148 102nd Ave SE,Bellevue,WA,98004,King,148 102nd Ave SE,Bellevue,WA,98004,,,(425) 453-8102,2D,,,"Jacobs, Howard ",101,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2491
None,No Contract,,1997,60001074,39713,BH  ,AEGIS OF ISSAQUAH,OP    ,780 NW JUNIPER STREET,ISSAQUAH,WA,98027,King,780 NW JUNIPER STREET,ISSAQUAH,WA,98027,(425) 392-8100,(425) 391-8804,,2D,,,"Cline, Laurel ",100,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1997
None,No Contract,,2241,60009568,41998,BH  ,AEGIS OF MADISON,OP    ,2200 E Madison St,Seattle,WA,98112,King,2200 E Madison St,Seattle,WA,98112,(206) 325-1600,,,2J,,,"Hing, Kerrington ",125,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2241
None,No Contract,,2209,60009567,41972,BH  ,AEGIS OF MARYMOOR,OP    ,4585 WEST LAKE SAMMAMISH PARKWAY NE,REDMOND,WA,98052,King,4585 WEST LAKE SAMMAMISH PARKWAY NE,REDMOND,WA,98052,(425) 497-0900,(425) 947-3034,,2D,,,"Young, Roger ",72,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2209
None,No Contract,,2509,60009635,45398,BH  ,Aegis of Mercer Island,OP    ,7445 SE 24th Street,Mercer Island,WA,98040,King,7445 SE 24th Street,Mercer Island,WA,98040,(206) 602-1365,,,2D,,,"Clough, Phil ",128,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2509
None,No Contract,,2381,60009585,43932,BH  ,Aegis of Queen Anne at Rodgers Park,OP    ,2900 3rd Ave W,Seattle,WA,98119,King,2900 3rd Ave W,Seattle,WA,98119,(206) 858-9989,(206) 281-5208,,2J,,,"Sponaugle, Nick ",150,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2381
