State Facility Type 2 Literal,License Number,Facility Name,City,State,Zip Code,Phone Number,Capacity,Licensee,Date Accessed,State Facility Type 1 Literal,Address
SMALL GROUP,AS820081359,L And V'S Adult Foster Home,Detroit,MI,48219,3135331355.0,4,SCRUGGS YVETTE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,22116 W. SIX MILE
MEDIUM GROUP,AM110091925,Eau Claire Residence,Eau Claire,MI,49111,2699441927.0,12,SPECTRUM COMMUNITY SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2860 M-140
SMALL GROUP,AS810013390,Bateson Residence,Ann Arbor,MI,48105,7343324148.0,6,SPECTRUM COMMUNITY SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2832 BATESON COURT
SMALL GROUP,AS410068899,10 Mile Home,Rockford,MI,49341,6168664981.0,6,SPECTRUM COMMUNITY SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,179 WEST DIVISION
SMALL GROUP,AS410300112,Algoma Home,Cedar Springs,MI,49319,6166963035.0,6,SPECTRUM COMMUNITY SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2690 WIERSMA
SMALL GROUP,AS410316524,Kingdom Home Afc,Kentwood,MI,49512,6165542226.0,6,SPECTRUM COMMUNITY SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2975 52ND STREET SE
SMALL GROUP,AS410356636,Terrace Park Home,Rockford,MI,49341,6168845788.0,6,SPECTRUM COMMUNITY SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5901 TERRACE PARK DR. NE
SMALL GROUP,AS410360517,Parkview Home,Kentwood,MI,49508,6165513129.0,6,SPECTRUM COMMUNITY SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2165 BAYHAM DR. SE
SMALL GROUP,AS410357191,Clyde Park Home,Byron Center,MI,49315,6162771955.0,6,SPECTRUM COMMUNITY SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,8510 CLYDE PARK AVE. SW
SMALL GROUP,AS630397225,Sunningdale Home,Bloomfield Hills,MI,48301,2488555137.0,6,SPECTRUM COMMUNITY SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6488 SUNNINGDALE DRIVE
SMALL GROUP,AS690402535,Dakota,Gaylord,MI,49735,9894482716.0,5,SPECTRUM COMMUNITY SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,784 DAKOTA AVE
LARGE GROUP,AL610091430,The Agape Home,Muskegon,MI,494449722,2317730328.0,20,THE AGAPE HOME INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4445 S. BROOKS ROAD
SMALL GROUP,AS820087908,Springhill Afc,Inkster,MI,48141,7346417830.0,5,2 FOOT PRINTS INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3826 SPRINGHILL
SMALL GROUP,AS760013130,Parkview House,Brown City,MI,48416,8103463525.0,6,HARRINGTON HOUSE INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7175 CADE ROAD
SMALL GROUP,AS630012587,Pelton House,Clarkston,MI,48346,2486237200.0,6,NORTH-OAKLAND RESIDENTIAL SERVICES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5260 PELTON ROAD
SMALL GROUP,AS630339744,Edgar Home,Clarkston,MI,48347,2486254273.0,6,NORTH-OAKLAND RESIDENTIAL SERVICES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,8740 ANDERSONVILLE ROAD
SMALL GROUP,AS630402011,Dunwoodie,Ortonville,MI,48462,2487933066.0,6,NORTH-OAKLAND RESIDENTIAL SERVICES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1781 DUNWOODIE
SMALL GROUP,AS820315246,The Patrick Center,Detroit,MI,48221,3132838494.0,5,PATRICK KARL,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,17133 MENDOTA
SMALL GROUP,AS820077107,Mill Creek Home,Brownstown,MI,48183,7346755120.0,4,"SAMARITAN HOMES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,27312 MILL CREEK
SMALL GROUP,AS820068075,Vreeland Home,Riverview,MI,48194,7342820230.0,5,"SAMARITAN HOMES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,17090 RAY
SMALL GROUP,AS820068138,Northrop Loving Care,Detroit,MI,48219,3135378316.0,6,NORTHROP LOVING CARE INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,17777 NORTHROP
MEDIUM GROUP,AM150086769,Payton'S Afc Home,Elmira,MI,49730,2315492790.0,12,PAYTON'S AFC HOME INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,05520 KUZMICK ROAD
LARGE GROUP,AL630086778,Lakeside Manor Inc,White Lake,MI,48386,2486669010.0,20,LAKESIDE MANOR INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,8790 ARLINGTON
FAMILY HOME,AF810085724,Barton Manor,Ann Arbor,MI,48105,7346627798.0,6,CAROLYN BROWNELL,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,821 BARTON DRIVE
LARGE GROUP,AL820294548,Crystal Creek Assisted Living 3,Canton,MI,48187,7344533203.0,20,CRYSTAL CREEK ASSISTED LVNG INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,8011 LILLEY
LARGE GROUP,AL110006891,Forest Beach Home Inc,Watervliet,MI,49098,2694638378.0,20,FOREST BEACH HOME INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,8021 FOREST BEACH ROAD
SMALL GROUP,AS630305365,Charlotte'S Care Iii,Southfield,MI,48075,2485578106.0,6,CHARLOTTES CARE INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,17373 ROXBURY AVE.
SMALL GROUP,AS820014661,Nuttall Afc Home Ii,Detroit,MI,48234,3133665970.0,6,NUTTALL AFC CO,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,18815 VAN DYKE
LARGE GROUP,AL500067919,Moore Afc Home,New Haven,MI,48048,5867498574.0,20,D MOORE AFC HOME COMPANY,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"58730 HAVEN RIDGE, PO BOX 480462"
SMALL GROUP,AS480339035,North Haven Afc,Newberry,MI,49868,9032935052.0,6,"NORTH HAVEN AFC, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,13505 STATE HWY M-28
FAMILY HOME,AF700082027,Cameo House,Coopersville,MI,49404,6168371106.0,6,MARLENE ARTHUR,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,356 WEST CLEVELAND
MEDIUM GROUP,AM730080478,Hayden Street Afc,Saginaw,MI,48607,9897545724.0,12,HAYDEN STREET AFC INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,415 HAYDEN STREET
FAMILY HOME,AF750005795,Parmeter Afc Home,Marcellus,MI,49067,2696469251.0,6,PARMETER JANICE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,52410 LEWIS LAKE RD
LARGE GROUP,AL820007493,Lewis Manor Central,Detroit,MI,48202,3132685204.0,14,LEWIS MANOR HOMES LTD.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,639 HAZELWOOD
LARGE GROUP,AL820007519,Hancock Residential Center,Detroit,MI,48201,3138318641.0,16,HANCOCK RESIDENTIAL CENTER INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,801 W WILLIS
LARGE GROUP,AL820007537,Eubanks Community Living,Detroit,MI,48202,3138339141.0,17,DUAL INSIGHT NPC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,93 ADELAIDE
HOME FOR THE AGED,AH700236945,Sheldon Meadows Assisted Living Center,Hudsonville,MI,49426,6166628191.0,129,SHELDON MEADOWS LIVING CTR. LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4482 PORT SHELDON
LARGE GROUP,AL820007574,Plymouth Opportunity House,Plymouth,MI,48170,7344552669.0,16,COMMUNITY OPPORTUNITY CENTER NPHC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,593 DEER
SMALL GROUP,AS820014308,Bibbins Residence,Romulus,MI,48174,7349416506.0,6,"ADVANCE CARE, INCORPORATED",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,35810 BIBBINS
SMALL GROUP,AS820015031,Rose Care,Detroit,MI,48213,3135266124.0,6,"ADVANCE CARE, INCORPORATED",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,12041 ROSEMARY
SMALL GROUP,AS630092107,Clark Pine,Clarkston,MI,48346,2486730671.0,6,SYNOD RESIDENTIAL SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5264 SUNNYSIDE DRIVE
MEDIUM GROUP,AM630009282,Lee Home Milford,Milford,MI,48381,2486852052.0,8,LEE HOMES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,215 E. COMMERCE
SMALL GROUP,AS540074861,Pineport Home,Big Rapids,MI,49307,2317963993.0,6,VALLEY RESIDENTIAL SERV INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,915 NORTH DEKRAFT
SMALL GROUP,AS230068520,Greenfield Home,Lansing,MI,48917,5176278238.0,6,VALLEY RESIDENTIAL SERV INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,12450 GREENFIELD
SMALL GROUP,AS060275479,Elm Home,Standish,MI,48658,9898469700.0,6,VALLEY RESIDENTIAL SERV INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,141 ALMONT STREET
SMALL GROUP,AS250010703,Berneda Home,Flint,MI,48506,8107365841.0,6,"MICHIGAN COMMUNITY SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5142 BERNEDA DRIVE
SMALL GROUP,AS110010325,Summit Home,Watervliet,MI,49098,2694633096.0,6,"LADD, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,444 SUMMIT ST
SMALL GROUP,AS130010454,Beachfield Ais/Mr,Battle Creek,MI,49015,2486417200.0,6,PROGRESSIVE RESIDENTIAL SERVICES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,118 BEACHFIELD DRIVE
SMALL GROUP,AS130010448,Boyer Home,Battle Creek,MI,49017,2699627640.0,6,PROGRESSIVE RESIDENTIAL SERVICES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,35 BOYER DR
FAMILY HOME,AF810071359,Kisselburg Home,Ypsilanti,MI,48198,7344854388.0,3,DEBRA KISSELBURG,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,874 AUBURNDALE
MEDIUM GROUP,AM310008376,Oak House,Hancock,MI,49930,9064824231.0,12,OAK HOUSE INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,19631 SAMPSON
MEDIUM GROUP,AM310008381,Portage House,Houghton,MI,49931,9064871746.0,8,COPPER COUNTRY COMMUNITY MENTAL HEALTH SRVS BD,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1400 RAVINE SIDE DR
SMALL GROUP,AS440265050,Lake Nepessing,Lapeer,MI,48446,7344538804.0,6,ALTERNATIVE SERVICES INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1430 LAKE NEPESSING
SMALL GROUP,AS630305248,Kingsley Trail,Bloomfield Hills,MI,48304,2485939297.0,6,ALTERNATIVE SERVICES INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,637 KINGSLEY TRAIL
SMALL GROUP,AS780376323,Middleton Home,Owosso,MI,48867,2484714880.0,6,ALTERNATIVE SERVICES INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,835 MIDDLETON ROAD
LARGE GROUP,AL740007431,Lakeshore Woods Ii,Fort Gratiot,MI,48059,8103853185.0,20,LAKESHORE CARING CORP.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4851 LAKESHORE BLG B
SMALL GROUP,AS250010981,Parkside Fais,Mt Morris,MI,48458,8106877751.0,6,"CENTRAL STATE COMMUNITY SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,8358 NEFF RD
SMALL GROUP,AS250010982,Warner House,Flushing,MI,48433,8107332780.0,6,"CENTRAL STATE COMMUNITY SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2473 WARNER RD
MEDIUM GROUP,AM190077476,Coleman House,East Lansing,MI,48823,5173241999.0,12,"CENTRAL STATE COMMUNITY SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3255 E COLEMAN ROAD
SMALL GROUP,AS730298050,Geddes Home,Saginaw,MI,48609,9897813419.0,6,"CENTRAL STATE COMMUNITY SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,7741 GEDDES ROAD
MEDIUM GROUP,AM320379300,Genesis Clf,Ubly,MI,48475,9896588721.0,7,"CENTRAL STATE COMMUNITY SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4440 WASHINGTON
SMALL GROUP,AS760405297,Custer Street,Sandusky,MI,48471,8105375033.0,6,"CENTRAL STATE COMMUNITY SERVICES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,283 CUSTER STREET
SMALL GROUP,AS630012622,Kern Group Home,Oakland Township,MI,48363,2483771940.0,6,MACOMB RESIDENTIAL OPPORTUNITIES INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3535 KERN ROAD
SMALL GROUP,AS500265416,James Street Group Home,Clinton Township,MI,48036,5864659644.0,6,MACOMB RESIDENTIAL OPPORTUNITIES INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,38421 JAMES STREET
SMALL GROUP,AS630300495,Lange Clf,Troy,MI,48098,2485240148.0,6,MACOMB RESIDENTIAL OPPORTUNITIES INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,330 LANGE
SMALL GROUP,AS500396956,Indian Hills,Macomb Township,MI,48042,5864211949.0,6,MACOMB RESIDENTIAL OPPORTUNITIES INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,22333 HALL ROAD
SMALL GROUP,AS230075992,Golden Days Ii,Charlotte,MI,48813,5175439626.0,6,SHUMAKER ALAN F AND CAROLYN S.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1493 N COCHRAN
MEDIUM GROUP,AM730259475,Schiavone Afc Vii,Saginaw,MI,48602,9897539188.0,12,SCHIAVONE ENTERPRISES LTD,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1019 N MICHIGAN
SMALL GROUP,AS400066153,Arborlight,Kalkaska,MI,49646,2312581133.0,6,"SUMMERTREE RESIDENTIAL CENTERS, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,403 ARBOR STREET
MEDIUM GROUP,AM160008033,Carpenters Afc Home,Cheboygan,MI,49721,2316259645.0,12,CARPENTERS AFC INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2801 ORCHARD BEACH R
MEDIUM GROUP,AM190008072,Roger G Smith Home,Lansing,MI,48906,5173468266.0,8,CMHB OF CEI COUNTIES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,15817 N TURNER
MEDIUM GROUP,AM230249434,Arch Road Home,Eaton Rapids,MI,48827,5176632401.0,12,CMHB OF CEI COUNTIES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1081 ARCH ROAD
SMALL GROUP,AS630075843,Oakland Home,Rochester Hills,MI,48309,2483758039.0,4,ADVANCED TEACHING CONCEPTS INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,231 S ADAMS
SMALL GROUP,AS630078390,Berg Home,Southfield,MI,48034,2483049461.0,6,MECCA HOUSE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,24430 BERG
SMALL GROUP,AS630384567,Hollow Lake Home,Davisburg,MI,48350,3138727826.0,6,PACKARD GROUP INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,10658 BIG LAKE ROAD
SMALL GROUP,AS630392913,Llewelyn,Northville,MI,48167,7345961772.0,6,"QUEST, INC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,41386 LLEWELYN
SMALL GROUP,AS820014227,Notre Dame Group Home,Dearborn Heights,MI,48127,3137912482.0,6,"QUEST, INC",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,25530 NOTRE DAME
SMALL GROUP,AS630081727,June Home,Rochester Hills,MI,48309,2482991713.0,3,HOMES OF OPPORTUNITY INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3103 CROOKS
SMALL GROUP,AS820014663,Jackson Afc Home,Taylor,MI,48180,7342816452.0,4,HOMES OF OPPORTUNITY INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,14434 JACKSON
SMALL GROUP,AS630390326,Walbridge Home,Rochester Hills,MI,48307,5867792482.0,6,HOMES OF OPPORTUNITY INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2650 WALBRIDGE RD.
SMALL GROUP,AS500392831,Chapman,Sterling Heights,MI,48310,5867319800.0,6,"INTEGRATED LIVING, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,40290 RYAN
SMALL GROUP,AS820014113,Larkspur Home,Grosse Ile,MI,48138,7346921491.0,6,EVEREST INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,10426 LARKSPUR
LARGE GROUP,AL410007174,Byron Center Manor Ii,Byron Center,MI,49315,6168783300.0,20,BYRON CENTER MANOR INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2115 - 84TH STREET  SW
LARGE GROUP,AL390007095,Park Place Living Centre #D,Kalamazoo,MI,49008,2693887303.0,20,PLEASANT HOMES I L.L.C.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4222 S WESTNEDGE
SMALL GROUP,AS630067505,Lochaven Clf,Waterford,MI,48327,2488209274.0,5,PROGRESSIVE LIFESTYLES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,556 LOCHAVEN
SMALL GROUP,AS630078578,Predmore Clf,Oakland,MI,48363,2488149016.0,6,PROGRESSIVE LIFESTYLES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,790 KLINE RD.
SMALL GROUP,AS630012331,Leonard Home,Pontiac,MI,48341,2483357198.0,6,PHOENIX RESIDENTIAL SERVICES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,127 FRANKLIN BOULEVARD
SMALL GROUP,AS630012681,Mcginnis,Holly,MI,484420204,2486341499.0,5,NEW LIFE SERVICES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4473 MCGINNIS
SMALL GROUP,AS630067414,Glenridge Court,Novi,MI,48375,2484717947.0,6,MEDICAL ALTERNATIVES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,24031 GLEN RIDGE COURT
SMALL GROUP,AS630012747,South Boulevard Group Home,Troy,MI,48098,2488282919.0,6,"ELITE ALTERNATIVES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,706 SOUTH BLVD
SMALL GROUP,AS820014570,Monterey House,Woodhaven,MI,48183,7346924324.0,6,AHS COMMUNITY SERVICES INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,22942 MONTEREY
MEDIUM GROUP,AM440290998,Brookhaven A.F.C.,Columbiaville,MI,484218421,8107937060.0,11,REDWOOD INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4521 STANLEY RD
MEDIUM GROUP,AM630009304,Sunshine Acres Afc Home,Clarkston,MI,48348,2486252533.0,9,GAINES JANET ELAINE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,8930 M 15
MEDIUM GROUP,AM670009368,Beemer Evart Townhouse,Evart,MI,49631,2317343810.0,12,AFC HOMES CORP,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,406 W. FIFTH STREET
SMALL GROUP,AS670012829,Hopkins 7 Mile Afc,Evart,MI,49631,2317343035.0,6,ROBERT AND LAURA HOPKINS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,10282 7 MILE ROAD
SMALL GROUP,AS610012191,Slocum Street Home,Whitehall,MI,49461,2318945794.0,6,MOKA NON-PROFIT SERVICES CORP,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,817 SLOCUM STREET
FAMILY HOME,AF700005230,Shel & Mar Afc Home,Coopersville,MI,49404,6164502283.0,6,RAWLINGS ROCHELLE MARIE,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,15881 32ND AVENUE
FAMILY HOME,AF350002673,Krasinskis Afc,Tawas City,MI,48763,9893624549.0,6,CHRISTINA L KRASINSKI,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,550 FIFTH AVENUE
LARGE GROUP,AL810086003,Eisenhower Center  - East Hall,Ann Arbor,MI,48108,7346770070.0,16,MORIAH INCORPORATED,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3200 EISENHOWER PARKWAY
MEDIUM GROUP,AM810015275,Eisenhower Center  - Congregate,Ann Arbor,MI,48108,7346770070.0,12,MORIAH INCORPORATED,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3200 E EISENHOWER
LARGE GROUP,AL440063943,Bolton Brook Manor,Metamora,MI,48455,8106782087.0,20,BOLTON BROOK MANOR INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4554 THOMAS RD
SMALL GROUP,AS040313092,Walnut Home,Alpena,MI,49707,9893561700.0,6,NORTHEAST MICHIGAN CMH AUTHORITY,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,638 WALNUT STREET
LARGE GROUP,AL780080709,Olive Branch Ii,Perry,MI,48872,5176255650.0,20,OLIVE BRANCH SENIOR ASSISTED LIVING LLC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"521 E. FIRST ST., BLDG 2"
SMALL GROUP,AS630016142,Katzman,West Bloomfield,MI,48323,2486829374.0,6,JARC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,5425 POND BLUFF DRIVE
SMALL GROUP,AS300016270,West Home,Hillsdale,MI,49242,5174395690.0,6,"CHRIST CENTERED HOMES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,430 N WEST STREET
SMALL GROUP,AS380381918,Second Street Afc,Jackson,MI,49203,5177829633.0,4,"CHRIST CENTERED HOMES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,502 SECOND STREET
SMALL GROUP,AS380381916,Adams Street Afc,Jackson,MI,49202,5177842142.0,2,"CHRIST CENTERED HOMES, INC.",6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,606 ADAMS STREET
SMALL GROUP,AS390011454,Portage Road Home,Kalamazoo,MI,49001,2693494034.0,6,COMMUNITY LIVING OPTIONS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3527 PORTAGE
SMALL GROUP,AS390015350,Clo/Darmo St Home,Kalamazoo,MI,49008,2693443634.0,6,COMMUNITY LIVING OPTIONS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,3109 DARMO
SMALL GROUP,AS390291227,Alamo,Kalamazoo,MI,49006,2694921438.0,6,COMMUNITY LIVING OPTIONS,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2725 ALAMO AVE.
LARGE GROUP,AL410095351,The Ridge,Walker,MI,49544,6166472802.0,16,HOPE NETWORK BEHAVIORAL HEALTH SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"713 N. CENTER DRIVE, NW"
SMALL GROUP,AS340089084,Westlake Vi,Lowell,MI,49331,6168975900.0,6,HOPE NETWORK BEHAVIORAL HEALTH SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,11652 GRAND RIVER
LARGE GROUP,AL700092850,Harbor Point Intensive East Unit,Nunica,MI,49448,6168474460.0,15,HOPE NETWORK BEHAVIORAL HEALTH SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,17160 130TH AVENUE
SMALL GROUP,AS340379225,Westlake I,Lowell,MI,49331,6168972956.0,6,HOPE NETWORK BEHAVIORAL HEALTH SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,11652 GRAND RIVER AVENUE
SMALL GROUP,AS340089072,Westlake Iv,Lowell,MI,49331,6168975900.0,6,HOPE NETWORK BEHAVIORAL HEALTH SERVICES,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,11652 GRAND RIVER
FAMILY HOME,AF410072173,Hazel Home,Grand Rapids,MI,495082656,6162411113.0,6,CAROLYN AND JEFFREY NORTON,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,"1819 MILLBROOK STREET, SE"
LARGE GROUP,AL030016016,Lakeside Vista Friesland Haus,Holland,MI,49423,6163940302.0,20,LEISURE LIVING MANAGEMENT OF HOLLAND INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,346 WEST 40TH STREET
MEDIUM GROUP,AM250237981,"Mid-Michigan Specialized Residential, Llc",Burton,MI,48529,8107442506.0,12,TIMOTHY D BERTRAM,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,1330 KENNETH STREET
SMALL GROUP,AS520285004,Cedar Creek,Harvey,MI,49855,9062498969.0,5,BERES MELODY LYNN,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,6263 US 41 SOUTH
SMALL GROUP,AS630015668,Adams House,Troy,MI,48098,2485401450.0,6,ADAMS HOUSE INC.,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,4094 ROUGE CIRCLE
SMALL GROUP,AS630015687,Newport Care Center Inc,Southfield,MI,48075,2483537818.0,6,NEWPORT CARE CENTER INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,22977 NEWPORT
SMALL GROUP,AS630015384,Maxwell Home,W Bloomfield Twp,MI,48324,2483601497.0,6,ANGELS' PLACE INC,6/28/21,ADULT FOSTER CARE & HOMES FOR THE AGED FACILITY,2809 SADDLEWOOD
