PROGRAM_DESCRIPTION,FACILITY_NAME,GEOGRAPHIC_STREET,GEOGRAPHIC_CITY,GEOGRAPHIC_STATE,GEOGRAPHIC_ZIP_CODE,PARISH,MAIL_STREET,MAIL_CITY,MAIL_STATE,MAIL_ZIP,ORIGINAL_LICENSURE_DATE,LICENSURE_EXPIRATION_DATE,ADMINISTRATOR,EMAIL_ADDRESS,TELEPHONE_NUMBER,FAX_PHONE_NUMBER,LDH_REGION_CODE,LICENSURE_NUM
Adult Residential Care,Garden View of Baton Rouge-Level 2 ,3130 Jones Creek Road,BATON ROUGE,LA,70816,EAST BATON ROUGE,3130 JONES CREEK ROAD,BATON ROUGE,LA,70816,12/9/15,11/30/21,Nicole A Clay,nicolea@gardenview.org,(225) 706-0037,(225) 706-6900,2,2203782569
Adult Residential Care,Harvard House-Level 1,4012 Harvard Ave.,METAIRIE,LA,70006,JEFFERSON,5304 ERLANGER RD,KENNER,LA,70065,6/15/15,5/31/22,Peggy  Stahls,stahlsp@bellsouth.net,(504) 884-1063,(504) 780-7482,1,2203782826
Adult Residential Care,Haven at Windermere 1 & 2 (The)Level 3 ,8225 YMCA Plaza Drive ,BATON ROUGE,LA,70810,EAST BATON ROUGE,8225 YMCA PLAZA DRIVE ,BATON ROUGE,LA,70810,6/3/99,12/31/21,Thomas R Elkins,elkinst@gmail.com,(225) 769-9996,(225) 769-9397,2,6715
Adult Residential Care,Henican House-Level 1 ,5511 Meadowdale Street,METAIRIE,LA,70003,JEFFERSON,5511 MEADOWDALE STREET,METAIRIE,LA,70003,12/3/12,12/31/21,Peggy  Stahls,jasonhemel@gmail.com,(504) 259-0326,(888) 606-2434,1,2203781272
Adult Residential Care,Holly Court Assisted Living and Memory Care - Level 3 ,8585 Summa Avenue ,BATON ROUGE,LA,70808,EAST BATON ROUGE,8585 SUMMA AVE.,BATON ROUGE,LA,70809,10/28/11,12/31/21,Terry  Atchetee,rbridges@arkpostacute.com,(225) 767-7877,(225) 767-7807,2,2203784811
Adult Residential Care,"HomeLife In The Gardens, LLC.-Level 3 ",1101 Aline Street ,NEW ORLEANS,LA,70115,ORLEANS,13 EAST WINTER STREET,DELAWARE,OH,43015,2/14/13,1/31/22,TRACY  BROWN,executivedirector@homelifegardens.com,(504) 894-6100,(504) 895-1555,1,2203781553
Adult Residential Care,Homestead Assisted Living -Level 3,1132 Cottage Drive ,HOUMA,LA,70360,TERREBONNE,1132 COTTAGE DRIVE ,HOUMA,LA,70360,8/13/04,8/31/21,Billie J Lajaunie,thehomesteadassistedliving@gmail.com,(985) 223-4663,(985) 655-4663,3,9918
Adult Residential Care,Honeysuckle House-Level 1 ,824 Honeysuckle Street,GRETNA,LA,70056,JEFFERSON,824 HONEYSUCKLE STREET,GRETNA,LA,70056,9/14/12,9/30/21,Jason  Hemel,jasonhemel@gmail.com,(504) 259-0326,(888) 602-2434,1,2203781140
Adult Residential Care,House of Destiny - Level 1,2351 & 2353 Jefferson Avenue,BATON ROUGE,LA,70802,EAST BATON ROUGE,2351 & 2353 JEFFERSON AVENUE,BATON ROUGE,LA,70802,1/22/18,12/31/21,Kim  Marshall,metamorphosisgh@yahoo.com,(225) 383-1422,(225) 383-1018,2,2203783709
Adult Residential Care,"House of Grace, L.L.C. - Level 1",32956 Hwy 16,DENHAM SPRINGS,LA,70706,LIVINGSTON,6955 HOMER KNOST RD,DENHAM SPRINGS,LA,70706,7/26/12,7/31/21,Sarah  Spears,mdehlin@cox.net,(225) 271-4445,(225) 369-5510,9,2203781097
Adult Residential Care,Inspired Living at Kenner - Level 3,3801 Loyola Drive,KENNER,LA,70065,JEFFERSON,3801 LOYOLA DRIVE,KENNER,LA,70065,4/17/17,3/31/22,Campbell  McClure,regulatory@validusseniorliving.com,(504) 313-6600,(844) 808-0071,1,2203783238
Adult Residential Care,La Plantation Retirement Community -Level 3,26635 LA Highway 16 ,DENHAM SPRINGS,LA,70726,LIVINGSTON,26635 LA HIGHWAY 16 ,DENHAM SPRINGS,LA,70726,8/19/98,8/31/21,Malayne  Sharp,msharp@plantationmgt.com,(225) 667-1484,(225) 667-1448,9,6024
Adult Residential Care,Lacour House-Level 3 ,345 Major Parkway,NEW ROADS,LA,70760,POINTE COUPEE,345 MAJOR PARKWAY,NEW ROADS,LA,70760,5/26/15,4/30/22,Annette  Lacombe,alacombe@lacourhouse.com,(225) 638-7050,(225) 638-3650,2,2203782343
Adult Residential Care,Lafreniere Assisted Living and Memory Care-Level 3 ,6555 Park Manor Drive ,METAIRIE,LA,70003,JEFFERSON,6555 PARK MANOR DRIVE,METAIRIE,LA,70003,10/28/11,12/31/21,MADELON  REDMANN,EDATRIUM@ATRIUMAL.COM,(504) 454-6635,(504) 454-6655,1,2203784814
Adult Residential Care,Lake Villa House-Level 1 ,4212 Lake Villa Drive ,METAIRIE,LA,70002,JEFFERSON,5304 ERLANGER ROAD,KENNER,LA,70065,1/25/10,1/31/22,MRS Peggy C Stahls,STAHLSP@BELLSOUTH.NET,(504) 884-1063,(504) 780-7482,1,14696
Adult Residential Care,"Laketown Village, Residential Care & Memory Care - Level 3 ",1600 Joe Yenni Boulevard ,KENNER,LA,70065,JEFFERSON,"17330 PRESTON ROAD, SUITE 240B",DALLAS,TX,75252,12/1/99,10/31/21,KJOLA  WILLIAMS,tcopeland@pegasusseniorliving.com,(504) 467-1000,(504) 467-1017,1,2203784133
Adult Residential Care,Lakeview House-Level 1,858 Mouton Street ,NEW ORLEANS,LA,70124,ORLEANS,858 MOUTON STREET,NEW ORLEANS,LA,70124,5/25/12,5/31/22,Kelly  Donlan,jasonhemel@gmail.com,(504) 259-0326,(888) 606-2434,1,2122
Adult Residential Care,Lambeth House Assisted Living -Level 3,150 Broadway Street ,NEW ORLEANS,LA,70118,ORLEANS,150 BROADWAY STREET,NEW ORLEANS,LA,70118,12/31/04,9/30/21,Daphne  Dominguez,ddominguez@lambethhouse.com,(504) 865-1960,(504) 865-9514,1,10565
Adult Residential Care,"Magnolia Assisted Living, LLC - Level 3",1604 S. Burnside Avenue ,GONZALES,LA,70737,ASCENSION, 1604 S. BURNSIDE AVE,GONZALES,LA,70737,3/29/10,6/30/22,Tammy  Duhon,tduhon@magnoliaseniorliving.com,(225) 647-8400,(225) 647-8402,2,14875
Adult Residential Care,Magnolia Brook on Siegen Lane - Level 3,9394 Siegen Lane,BATON ROUGE,LA,70810,EAST BATON ROUGE,9394 SIEGEN LANE,BATON ROUGE,LA,70810,7/2/19,6/30/22,CHELSEA  BALDWIN,executivedirector@magnoliabrookassistedliving.com,(225) 778-7111,(512) 420-9276,2,2203784329
Adult Residential Care,Magnolia Care Center Veterans Home - Level 1,16950 Florida Blvd. ,BATON ROUGE,LA,70819,EAST BATON ROUGE,16950 FLORDIA BLVD. ,BATON ROUGE,LA,70819,6/25/09,6/30/22,Mrs. Ethel Comeaux,Magnoliacarecenter@gmail.com,(225) 273-7274,(225) 723-7284,2,14334
Adult Residential Care,Maison Bienvenue Senior Living Center,152 Percy Brown Rd.,THIBODAUX,LA,70301,LAFOURCHE,152 PERCY BROWN RD,THIBODAUX,LA,70301,12/18/20,11/30/21,Rori  Eschette,MaisonBienvenue.Adm@Nexion-Health.com,(985) 279-0101,(410) 552-4837,3,2203784803
Adult Residential Care,Maison De Fleur Assisted Living - Level 3,559 Rushing Rd West,DENHAM SPRINGS,LA,70726,LIVINGSTON,559 RUSHING RD WEST,DENHAM SPRINGS,LA,70726,2/10/17,1/31/22,Emma  Yawn,sally.king@mdf-sl.com,(225) 238-1919,(225) 334-8084,9,2203783054
Adult Residential Care,Maison Des Amis - Level 2,1050 Convention Street,BATON ROUGE,LA,70802,EAST BATON ROUGE,1050 CONVENTION STREET,BATON ROUGE,LA,70802,10/15/18,9/30/21,Shante  Webb,maisondesami@gmail.com,(225) 343-3827,(225) 343-3861,2,2203784114
Adult Residential Care,Maison Jardin Senior Living Community -Level 3,516 Roderick Street ,MORGAN CITY,LA,70380,ST. MARY,516 RODERICK STREET ,MORGAN CITY,LA,70380,9/24/09,9/30/21,TIFFANY  RODRIGUE,MAISONJARDIN.ADM@NEXION-HEALTH.COM,(985) 385-3003,(985) 385-0049,3,2203782492
Adult Residential Care,Maison Oaks Assisted Living-Level 3 ,504 West Fifth Street ,LAPLACE,LA,70068,ST. JOHN THE BAPTIST,504 WEST FIFTH STREET ,LAPLACE,LA,70068,1/14/99,1/31/22,Karen  Connor,kconnor@twinoaksnh.com,(985) 653-8858,(985) 652-8949,3,6368
Adult Residential Care,Marigold Place - Level 3,5723 Jackson Street ,ALEXANDRIA,LA,71303,RAPIDES,"330 N. WASBASH AVE, SUITE 3700",CHICAGO,IL,60611,7/11/13,6/30/21,Maggie  Molan,LegalHelp@enlivant.com,(318) 449-8999,(318) 449-9906,6,2203781715
Adult Residential Care,Montclair Park Assisted Living- Level 3,9100 East Kings Highway ,SHREVEPORT,LA,71115,CADDO,9100 EAST KINGS HIGHWAY ,SHREVEPORT,LA,71115,8/23/99,11/30/21,MR David  Abdehou,jordan@montclair-park.com,(318) 797-1114,(318) 797-1158,7,7232
Adult Residential Care,Natchitoches Assisted Living-Level 3 ,1907 South Drive ,NATCHITOCHES,LA,71457,NATCHITOCHES,1907 SOUTH DRIVE ,NATCHITOCHES,LA,71457,7/23/07,2/28/22,MS Angela  Ingram,angie.ingram@nrmchospital.org,(318) 356-0016,(318) 356-0019,7,13696
Adult Residential Care,Oak House Assisted Living - Level 3,5354 Magazine St. ,NEW ORLEANS,LA,70115,ORLEANS,5354 MAGAZINE ST. ,NEW ORLEANS,LA,70115,8/7/13,7/31/21,Odessa  Woods-Belonga,obelonga@poydrashome.com,(504) 897-0535,(504) 897-9494,1,2203781741
Adult Residential Care,Oak Park Village At Hammond -Level 3,17010 Old Covington Highway ,HAMMOND,LA,70403,TANGIPAHOA,"ONE TOWN CENTER RD., SUITE 300",BOCA RATON,FL,33486,7/20/11,10/31/21,HOPE L KELLY--ROBERSON,hroberson@prioritylc.com,(985) 345-8787,(985) 345-5501,9,2203782188
Adult Residential Care,Oak Park Village of Slidell -Level 3,2200 Gause Boulevard ,SLIDELL,LA,70461,ST. TAMMANY,"ONE TOWN CENTER ROAD, SUITE 300",BOCA RATON,FL,33486,7/20/11,10/31/21,HOPE L KELLY-ROBERSON,hroberson@prioritylc.com,(985) 781-4545,(985) 781-8786,9,2203782189
Adult Residential Care,"Oakmont Estate, LLC -Level 3",204 Cocoville Road ,MANSURA,LA,71350,AVOYELLES,204 COCOVILLE ROAD ,MANSURA,LA,71350,9/20/00,9/30/21,MRS Melissa  Loughman,jesslynnloughman@gmail.com,(318) 240-7424,(318) 240-7464,6,7916
Adult Residential Care,Oakwood Village -Level 3,4400 McHugh Road ,ZACHARY,LA,70791,EAST BATON ROUGE,4400 MCHUGH RD. ,ZACHARY,LA,70791,4/28/99,10/31/21,RYAN K DENNIS,acioffi@traditionsmanagement.net,(225) 658-8888,(225) 658-8211,2,2203782956
Adult Residential Care,Old Metairie Gardens I - Level 1,344 Lake Ave,METAIRIE,LA,70005,JEFFERSON,344 LAKE AVE,METAIRIE,LA,70005,1/8/19,12/31/21,Kelly  Donlan,kellymariedonlan@gmail.com,(504) 259-0326,(888) 606-2434,1,2203784176
Adult Residential Care,Old Metairie Gardens II - Level 1,348 Lake Ave,METAIRIE,LA,70005,JEFFERSON,348 LAKE AVE,METAIRIE,LA,70005,1/9/19,12/31/21,Kelly M Donlan,kellymariedonlan@gmail.com,(504) 259-0326,(888) 606-2434,1,2203784177
Adult Residential Care,Our House for Respite Inc. - Level 1,2967 Carmen Drive ,BATON ROUGE,LA,70809,EAST BATON ROUGE,2967 CARMEN DRIVE ,BATON ROUGE,LA,70809,6/1/12,6/30/21,Verly  Young-Polk,hyoung@ohfrinc.net,(225) 776-0135,(225) 687-8751,2,2123
Adult Residential Care,Our House for Respite-Level 1,58765 DELACROIX AVE. ,PLAQUEMINE,LA,70764,IBERVILLE,58765 DELACROIX AVE. ,PLAQUEMINE,LA,70764,1/14/09,8/31/21,Verly Y Polk,hyoung@ohfrinc.net,(225) 776-0135,(225) 687-1648,2,14316
Adult Residential Care,Park Provence - Level 3,1925 Possum Hollow Drive,SLIDELL,LA,70458,ST. TAMMANY,1925 POSSUM HOLLOW DRIVE,SLIDELL,LA,70458,12/23/02,7/31/21,MS Susan  Pappalardo,susan@parkprovence.com,(985) 781-0072,(225) 781-0072,9,2203782060
Adult Residential Care,Peristyle Lake Louise-Level 1,4613 Lake Louise Avenue,METAIRIE,LA,70006,JEFFERSON,4613 LAKE LOUISE AVENUE,METAIRIE,LA,70006,1/25/16,12/31/21,Margaret  Sewell,maggiemsewell@gmail.com,(504) 259-0326,(888) 606-2434,1,2203782607
Adult Residential Care,Peristyle Metairie Heights LLC-Level 1,2701 Metairie Heights Ave.,METAIRIE,LA,70002,JEFFERSON,1000 VETERANS BLVD STE 213,METAIRIE,LA,70005,3/3/14,2/28/22,Maggie M Sewell,jasonhemel@gmail.com,(504) 259-0326,(888) 606-2434,1,2203781951
Adult Residential Care,Peristyle Richland LLC-Level 1 ,3521 Richland Ave,METAIRIE,LA,70002,JEFFERSON,3521 RICHLAND AVE,METAIRIE,LA,70002,2/5/15,1/31/22,Kelly M Donlan,kellymariedonlan@gmail.com,(504) 259-0326,(888) 606-2434,1,2203782270
Adult Residential Care,Pines Retirement Center of Baton Rouge-Level 3 ,14686 Old Hammond Highway ,BATON ROUGE,LA,70816,EAST BATON ROUGE,14686 OLD HAMMOND HIGHWAY,BATON ROUGE,LA,70816,10/28/11,12/31/21,Scott  Stewart,ED@pinesbatonrouge.com,(225) 272-9339,(225) 272-4171,2,2203784818
Adult Residential Care,Regency House of Alexandria-Level 3 ,5131 Masonic Drive,ALEXANDRIA,LA,71301,RAPIDES,5131 MASONIC DRIVE,ALEXANDRIA,LA,71301,2/25/16,1/31/22,Patricia A. Small,psmall@steedcare.com,(318) 445-8343,(318) 445-8372,6,2203782656
Adult Residential Care,Restoration Senior Living of Covington - Level 3,1444 Andrew Dr.,COVINGTON,LA,70433,ST. TAMMANY,1444 ANDREW DRIVE,COVINGTON,LA,70433,8/5/19,7/31/21,Summer  Copeland,Lauren@restorationsl.com,(985) 317-6750,(281) 482-9705,9,2203784357
Adult Residential Care,River Oaks Estate-Level 2 ,9475 Petit Road ,BAKER,LA,70714,EAST BATON ROUGE,9475 PETIT ROAD,BAKER,LA,70714,11/6/03,11/30/21,Lekedra  Johnson,johnsonl@optionsfoundation.com,(225) 778-0042,(225) 774-2339,2,10513
Adult Residential Care,Rosemont Assisted Living Community Of West Monroe-Level 3,110 Regency Place ,WEST MONROE,LA,71291,OUACHITA,110 REGENCY PLACE,WEST MONROE,LA,71291,6/3/99,5/31/22,LACY  HEDGE,khayes@omegasrliving.com,(318) 329-1021,(318) 329-3964,8,6028
Adult Residential Care,Rosewood Assisted Living -Level 3,203 Rue Fontaine Drive ,LAFAYETTE,LA,70508,LAFAYETTE,203 RUE FONTAINE DRIVE ,LAFAYETTE,LA,70508,8/21/97,1/31/22,Kip  Hayes,khays@omegasrliving.com,(337) 981-0333,(337) 988-1706,4,2203784276
Adult Residential Care,Russ Place - Level 3,165 Jefferson Avenue ,RUSTON,LA,71270,LINCOLN,330 N WABASH AVE STE 3700,CHICAGO,IL,60611,7/11/13,6/30/21,Jennifer  Haarala,LegalHelp@enlivant.com,(318) 251-9068,(318) 251-4033,8,2203781721
Adult Residential Care,Savannah at the Oaks - Level 3,651 Lake Eleanor Way ,SHREVEPORT,LA,71115,CADDO,651 LAKE ELEANOR WAY ,SHREVEPORT,LA,71115,6/30/11,7/31/21,Randall  Myers,rmyers@wkhs.com,(318) 212-2300,(318) 212-2278,7,2110
Adult Residential Care,Savannah Court of Bastrop-Level 3 ,10280 Boswell Street ,BASTROP,LA,71220,MOREHOUSE,"4611 JOHNSON RD, SUITE 1",COCONUT CREEK,FL,33073,5/3/11,1/31/22,Christy  Merriweather,urubin@slm.net,(318) 283-4238,(318) 283-4232,8,2203782249
Adult Residential Care,Savannah Court of Minden-Level 3 ,619 Germantown Road ,MINDEN,LA,71055,WEBSTER,"4611 JOHNSON RD, SUITE 1",COCONUT CREEK,FL,33073,5/3/11,1/31/22,Nancy  Hines,urubin@slm.net,(318) 382-0402,(318) 377-3708,7,2203782252
Adult Residential Care,Savannah Grand of Bossier City- Level 3 ,4770 Brandon Blvd,BOSSIER CITY,LA,71111,BOSSIER,"4611 JOHNSON RD, SUITE 1",COCONUT CREEK,FL,33073,5/3/11,1/31/22,June B Bennett,urubin@slm.net,(318) 549-1001,(318) 549-0019,7,2203782248
Adult Residential Care,Savannah Grand of West Monroe-Level 3 ,3702 Cypress Street ,WEST MONROE,LA,71291,OUACHITA,"4611 JOHNSON RD, SUITE 1",COCONUT CREEK,FL,33073,5/3/11,1/31/22,Debra  Hicks,urubin@slm.net,(318) 397-2220,(318) 397-4015,8,2203782253
Adult Residential Care,Schouest House - Level 1,7004 Schouest St. ,METAIRIE,LA,70003,JEFFERSON,5304 ERLANGER RD. ,KENNER,LA,70065,4/3/08,10/31/21,Mrs. Peggy C. Stahls,stahlsp@bellsouth.net,(504) 884-1063,(504) 780-7482,1,13945
Adult Residential Care,Serenity Senior Residence 2-Level 2 ,817 Aurora Avenue ,METAIRIE,LA,70005,JEFFERSON,5400 ERLANGER ROAD ,KENNER,LA,70065,8/1/11,8/31/21,MRS Diane  Bourgeois,serenityres2@cox.net,(504) 481-4357,(504) 885-7728,1,2114
Adult Residential Care,Serenity Senior Residences - Level 3,3949 Meadowdale St. ,METAIRIE,LA,70002,JEFFERSON,5400  ERLANGER RD. ,KENNER,LA,70065,4/11/08,7/31/21,MRS Diane  Bourgeois,serenityres2@cox.net,(504) 495-5522,(504) 302-9750,1,13980
Adult Residential Care,Shekinah Glory - Level 2,3613 Government Street ,BATON ROUGE,LA,70806,EAST BATON ROUGE,P.O. BOX 53766,BATON ROUGE,LA,70892,7/15/09,7/31/21,Mrs. Debra Eackles,shekinah3613@gmail.com,(225) 250-5260,(225) 228-2756,2,14542
Adult Residential Care,Southern Pines Retirement Community/ The McLynn - Level 3,13603 Minton Lane ,WALKER,LA,70785,LIVINGSTON,13603 MINTON LANE ,WALKER,LA,70785,7/17/97,7/31/21,Malayne  Sharp,msharp@plantationmgt.com,(225) 664-9423,(225) 667-3484,9,5254
Adult Residential Care,Southside Gardens Assisted Living Center-Level 3 ,4536 Perkins Road ,BATON ROUGE,LA,70808,EAST BATON ROUGE,4536 PERKINS ROAD ,BATON ROUGE,LA,70808,11/9/98,11/30/21,Shyrell R Parker,sp.southsidegardens03@gmail.com,(225) 928-1600,(225) 928-1616,2,5683
Adult Residential Care,Southwind Senior Living Suites-Level 3,626 Crowley/Rayne Highway ,CROWLEY,LA,70526,ACADIA,626 CROWLEY/RAYNE HIGHWAY ,CROWLEY,LA,70526,5/13/09,5/31/22,MRS Jill  Signorelli,jsignorelli@elderoutreach.com,(337) 788-1113,(337) 788-1113,4,14047
Adult Residential Care,St Anthony''''s Garden - Level 3,601 Holy Trinity Drive,COVINGTON,LA,70433,ST. TAMMANY,601 HOLY TRINITY DRIVE,COVINGTON,LA,70433,11/9/16,10/31/21,Iris  Blundell,iblundell@stag-ano.org,(985) 605-5950,(985) 273-3801,9,2203782960
Adult Residential Care,St Francis Villa Assisted Living-Level 3 ,10411 Jefferson Highway ,RIVER RIDGE,LA,70123,JEFFERSON,10411 JEFFERSON HIGHWAY ,RIVER RIDGE,LA,70123,9/30/99,9/30/21,JOHN S  RIVE JR,jrive@stfrancisvilla.com,(504) 738-1060,(504) 738-9870,1,5391
Adult Residential Care,St. James Place of Baton Rouge - Level 3,333 Lee Drive ,BATON ROUGE,LA,70808,EAST BATON ROUGE,333 LEE DRIVE ,BATON ROUGE,LA,70808,7/15/97,7/31/21,Amy  Nelson,anelson@stjamesplace.org,(225) 215-4500,(225) 215-4561,2,4647
Adult Residential Care,St. Joseph Assisted Living Center,2299 Sterlington Road ,MONROE,LA,71203,OUACHITA,2537 GOLDEN BEAR DRIVE,CARROLLTON,TX,75006,7/19/99,3/31/22,STEPHANIE  BRYANT,SBryant@CantexCC.com,(318) 325-9459,(318) 323-2527,8,2203784608
Adult Residential Care,St. Joseph Manor - Level 3,1201 Cardinal Drive ,THIBODAUX,LA,70301,LAFOURCHE,1201 CARDINAL DRIVE ,THIBODAUX,LA,70301,6/30/00,6/30/22,BENJAMIN J BOLTON,benb@stjosephmanor.org,(985) 446-9050,(985) 449-0047,3,2224
Adult Residential Care,St. Michael''''s Assisted Living II - Level 1,318 Transcontinental Drive,METAIRIE,LA,70001,JEFFERSON,318 TRANSCONTINENTAL DRIVE,METAIRIE,LA,70001,10/12/17,9/30/21,JENNIFER  WRIGHT,jwright@assistedlivingsm.com,(504) 644-4324,(504) 365-7301,1,2203783563
Adult Residential Care,St. Michael''s Assisted Living - Level 1,314 Transcontinental Drive,METAIRIE,LA,70001,JEFFERSON,314 TRANSCONTINENTAL DRIVE,METAIRIE,LA,70001,9/25/17,8/31/21,Jennifer  Wright,jwright@assistedlivingsm.com,(504) 644-4324,(504) 644-4714,1,2203783535
Adult Residential Care,Stonebridge Place-Level 3 ,1511 South Huntington Street ,SULPHUR,LA,70663,CALCASIEU,1511 SOUTH HUNTINGTON STREET ,SULPHUR,LA,70663,1/1/13,12/31/21,LINDA  NOLAND,sbdirector@paramounthcla.com,(337) 527-4433,(337) 527-9921,5,2203784179
Adult Residential Care,Stoney Brook - Level 2,308 Norris Lane ,WEST MONROE,LA,71291,OUACHITA,308 NORRIS LANE,WEST MONROE,LA,71291,9/27/01,6/30/21,MRS Connie  Culpepper,stoneybrookmc@comcast.net,(318) 396-3130,(318) 396-5405,8,8316
Adult Residential Care,Summerfield Retirement Community - Level 3,4104 Dauphine Street ,SLIDELL,LA,70458,ST. TAMMANY,4104 DAUPHINE STREET ,SLIDELL,LA,70458,3/31/10,6/30/21,Francine  Kelly,francine@lifeatsummerfield.com,(985) 646-4676,(985) 646-4644,9,14879
Adult Residential Care,Summerfield Senior Living of Hammond - Level 3,16170 E. Minnesota Park Road,HAMMOND,LA,70403,TANGIPAHOA,16170 E. MINNESOTA PARK ROAD,HAMMOND,LA,70403,12/1/16,11/30/21,Joyce  Brewer,administrator.hammond@lifeatsummerfield.com,(985) 345-6300,(985) 345-6300,9,2203782979
Adult Residential Care,Sunrise at Siegen-Level 2,9351 Siegen Lane ,BATON ROUGE,LA,70810,EAST BATON ROUGE,9351 SIEGEN LANE ,BATON ROUGE,LA,70810,4/7/09,5/31/22,Regina  Hatcher,siegen.ed@sunriseseniorliving.com,(225) 765-7538,(225) 765-7539,2,14438
Adult Residential Care,Sunrise of Metairie-Level 3 ,3732 West Esplanade Ave. ,METAIRIE,LA,70002,JEFFERSON,3732 WEST ESPLANADE AVE. ,METAIRIE,LA,70002,11/12/08,1/31/22,Ed  See,Metairie.ED@sunriseseniorliving.com,(504) 889-9777,(504) 889-9778,1,14242
Adult Residential Care,Sunrise Second Baton Rouge Assisted Living-Level 3 ,8502 Jefferson Highway ,BATON ROUGE,LA,70809,EAST BATON ROUGE,8502 JEFFERSON HIGHWAY ,BATON ROUGE,LA,70809,9/13/06,9/30/21,Brent  Sellers,BatonRouge.ed@sunriseseniorliving.com,(225) 932-9400,(225) 932-9409,2,13392
Adult Residential Care,Terrebonne Place - Level 3,1163 Museum Drive ,HOUMA,LA,70360,TERREBONNE,"330 N WABASH AVE, STE 3700",CHICAGO,IL,60611,7/11/13,6/30/21,BRANDY  LIRETTE,LegalHelp@enlivant.com,(985) 580-0620,(985) 223-4502,3,2203781720
Adult Residential Care,The Arbor and Terrace Senior Center of Ruston-Level 3,4518 Highway 80 East ,RUSTON,LA,71270,LINCOLN,4518 HIGHWAY 80 EAST ,RUSTON,LA,71270,6/28/11,5/31/21,Ms. Murial Ryder-Jones,muriel.ryder@klic.com,(318) 251-3116,(318) 251-3152,8,2111
Adult Residential Care,The Azaleas Assisted Living At Woldenberg Village - Level 3,3701 Behrman Place ,NEW ORLEANS,LA,70114,ORLEANS,3701 BEHRMAN PLACE ,NEW ORLEANS,LA,70114,9/28/01,9/30/21,Bob  Laster,bob.laster@LCMCHealth.org,(504) 367-5640,(504) 367-5643,1,8610
Adult Residential Care,The Blake At Bossier City - Level 3,2000 Blake Boulevard,BOSSIER CITY,LA,71111,BOSSIER,2000 BLAKE BOULEVARD,BOSSIER CITY,LA,71111,7/19/18,6/30/21,Renee  Matheny,renee.matheny@blakeliving.com,(318) 752-6611,(888) 888-8888,7,2203784004
Adult Residential Care,The Blake at Colonial Club - Level 3,7904 Jefferson Highway,HARAHAN,LA,70123,JEFFERSON,"125 SOUTH ALCANIZ, STE. 2",PENSACOLA,FL,32502,12/11/20,11/30/21,Rebecca  Jeffries,rebecca.jeffries@blakeseniorliving.com,(504) 737-7770,(504) 888-9999,1,2203784794
Adult Residential Care,The Blake at Lafayette -Level 3,400 Polly Lane,LAFAYETTE,LA,70508,LAFAYETTE,400 POLLY LANE,LAFAYETTE,LA,70508,8/2/16,7/31/21,MONAH  FOLSE,Monah.folse@blakeliving.com,(337) 993-8898,(337) 484-1048,4,2203782867
Adult Residential Care,The Blake at the Grove - Level 3,9511 Creekview Drive,BATON ROUGE,LA,70836,EAST BATON ROUGE,9511 CREEKVIEW DRIVE,BATON ROUGE,LA,70836,7/28/17,6/30/21,Kathy  Garbus,Rick.Watkins@blakeliving.com,(225) 424-6714,(225) 478-4624,2,2203783426
Adult Residential Care,The Chateaus At Montclaire-Level 3 ,9200 East Kings Highway,SHREVEPORT,LA,71115,CADDO,9200 EAST KINGS HWY,SHREVEPORT,LA,71115,3/27/13,2/28/22,David  Abdehou,jordan@montclair-park.com,(318) 213-0790,(318) 797-1158,7,2203781600
Adult Residential Care,"The Claiborne at Shoe Creek, LLC - Level 3",9750 Couret Drive,CENTRAL,LA,70818,EAST BATON ROUGE,9750 COURET DRIVE,CENTRAL,LA,70818,8/6/20,7/31/21,Molly  Crawford,mcrawford@theclaiborne.com,(225) 465-3769,(888) 999-9999,2,2203784674
Adult Residential Care,The Claiborne at Thibodaux-Level 3 ,2495 Talbot Avenue,THIBODAUX,LA,70301,LAFOURCHE,2495 TALBOT AVENUE,THIBODAUX,LA,70301,3/22/16,2/28/22,Renee  Talbot,rtalbot@theclaiborne.com,(985) 387-8088,(985) 492-9072,3,2203782674
Adult Residential Care,The Cottages at The Glen - Level 3 ,425 East Flournoy Lucas Road ,SHREVEPORT,LA,71115,CADDO,425 EAST FLOURNOY LUCAS ROAD ,SHREVEPORT,LA,71115,11/20/06,11/30/21,Cynthia  Reese,creese@theglen.org,(318) 629-3596,(318) 629-3655,7,13349
Adult Residential Care,THE GABLES AT SPRINGLAKE - Level 3,8622 Line Avenue ,SHREVEPORT,LA,71106,CADDO,8622 LINE AVENUE ,SHREVEPORT,LA,71106,7/30/01,3/31/22,Tracy W Larimer,tlarimer@springlakenursinghome.com,(318) 426-1668,(318) 861-3022,7,2203784289
Adult Residential Care,The Gardens and Guardian - Level 3,1401 Country Club Rd.,LAKE CHARLES,LA,70605,CALCASIEU,1401 COUNTRY CLUB ROAD ,LAKE CHARLES,LA,70605,6/9/00,8/31/21,TONYA  ESTES,Tonya.estes@gandgcare.com,(337) 480-1550,(337) 480-1341,5,2203784078
Adult Residential Care,The Gardens at Georgia Tucker - Level 3,405 Stubbs Avenue,MONROE,LA,71201,OUACHITA,405 STUBBS AVENUE,MONROE,LA,71201,8/8/18,7/31/21,KELLY F COBURN,info@georgiatucker.com,(318) 538-0040,(318) 538-0064,8,2203784025
