Facility Name,Facility ID,License Number,Phone Number,Email Address,Address,City,State,Zip Code,County,Capacity,Licensee,State Facility Type 1 Literal,Date Accessed
Meadows At Friendship Village,OHL00972,1746R,6147171600,jessicaj@fvdublin.org,6000 RIVERSIDE DRIVE,Dublin,OH,43017,Franklin,46,"FRIENDSHIP VILLAGE OF DUBLIN, OHIO, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Meadows Of Delphos The,OHL42102,2811R,4196920590,stephanie.schoenlein@meadowsofdelphos.com,800 AMBROSE DRIVE,Delphos,OH,45833,Allen,41,"TRILOGY HEALTHCARE OF ALLEN, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Meadows Of Kalida The,OHL40762,2484R,4195322961,kris.schroeder@meadowsofkalida.com,755 OTTAWA STREET,Kalida,OH,45853,Putnam,66,"TRILOGY HEALTHCARE OF PUTNAM, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Meadows Of Leipsic The,OHL00685,1996R,4199432103,stephanie.keaton@meadowsofleipsic.com,901 EAST MAIN STREET,Leipsic,OH,45856,Putnam,62,"TRILOGY HEALTHCARE OF PUTNAM III, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Meadows Of Ottawa The,OHL41831,2680R,4195234092,james.sherry@meadowsofottawa.com,147 PUTNAM PARKWAY,Ottawa,OH,45875,Putnam,32,"TRILOGY HEALTHCARE OF PUTNAM II, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Mellon Meadows Care Center,OHL01883,2036R,5135755052,bcasey@continuinghc.com,1659 STATE ROUTE 28,Goshen,OH,45122,Clermont,30,"ALS GOSHEN, INC",RESIDENTIAL CARE FACILITY,6/29/21
Memories Of Marie,OHL41811,2675R,7405371500,alms.bhaught@gmail.com,710 MARKET STREET,Toronto,OH,43964,Jefferson,17,"ASSISTED LIVING MINISTRY SERVICES, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Memory Pavilion At Montefiore The,OHL41649,1956R,2163609080,llozier@menorahpark.org,27080 CEDAR ROAD,Beachwood,OH,44122,Cuyahoga,33,THE MONTEFIORE HOME,RESIDENTIAL CARE FACILITY,6/29/21
Mennonite Memorial Home,OHL00669,0153R,4193581015,sirvin@mhcoliving.org,410 WEST ELM STREET,Bluffton,OH,45817,Allen,40,MENNONITE MEMORIAL HOME BOARD OF TRUSTEES,RESIDENTIAL CARE FACILITY,6/29/21
"Mentor Senior Living, Llc",OHL42167,2850R,4407014560,athompson@danburyseniorliving.com,9150 LAKESHORE BLVD,Mentor,OH,44060,Lake,113,"BROOKWOOD MANAGEMENT COMPANY, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Mercy Franciscan West Park,OHL500101,1771R,5134518900,gvannostrand@mercy.com,2950 WEST PARK DRIVE,Cincinnati,OH,45238,Hamilton,369,MERCY FRANCISCAN SENIOR HEALTH AND HOUSING,RESIDENTIAL CARE FACILITY,6/29/21
Merit House,OHL41730,1249R,4194785131,john@merithousetoledo.com,4645 LEWIS AVENUE,Toledo,OH,43612,Lucas,51,MERIT HOUSE LLC,RESIDENTIAL CARE FACILITY,6/29/21
"Merriman Operations, Llc",OHL500106,0523R,3307629341,astein@lionstonecare.com,209 MERRIMAN ROAD,Akron,OH,44303,Summit,71,"MERRIMAN OPERATIONS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Middleton,OHL41938,2734R,7405870059,debbiehartshorn@traditionsmgmt.net,1500 WEAVER DRIVE,Granville,OH,43023,Licking,192,"RACCOON CREEK SENIOR HOUSING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Middletown Pavilion Residential Care,OHL01609,1032R,5134239621,ohiogrouph1@swohio.twcbc.com,3100 SOUTH MAIN STREET,Middletown,OH,45042,Butler,24,"OHIO GROUP HOME OF MIDDLETOWN, LLC",RESIDENTIAL CARE FACILITY,6/29/21
"Milcrest Healthcare, Inc",OHL42306,2913R,9376421026,hburrus@hollandmgmt.com,800 MILCREST DRIVE,Marysville,OH,43040,Union,38,"MILCREST HEALTHCARE, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Mill Run Care Center,OHL01173,2144R,6145273000,kevin.st.john@mmclp.com,3399 MILL RUN DRIVE,Hilliard,OH,43026,Franklin,42,"MILL RUN CARE CENTER, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Miller Farm Place,OHL01935,2157R,9372919800,noehler@enlivant.com,8130  MILLER FARM ROAD,Dayton,OH,45458,Montgomery,60,DAYTON BG OPCO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Miller Place,OHL01912,2114R,4195862484,ntopp@enlivant.com,1506 MEADOWVIEW DRIVE,Celina,OH,45822,Mercer,45,MILLER AID OPCO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Minford Retirement Center - Elbrook,OHL00976,1862R,7408204191,minfordretirementcenter@yahoo.com,9641 STATE ROUTE 335,Minford,OH,45653,Scioto,113,HENRY B COLLINS & JEANETTA COLLINS,RESIDENTIAL CARE FACILITY,6/29/21
Monarch Meadows Nursing And Rehabilitation,OHL41932,2731R,2167723192,tossoski@continuinghc.com,299 COMMERCE DRIVE,Seaman,OH,45679,Adams,24,"MONARCH MEADOWS NURSING AND REHABILITATION, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Mount Alverna Village,OHL40344,0902R,4408437800,pwelsh@franciscancommunities.com,6765 STATE ROAD,Parma,OH,44134,Cuyahoga,45,"FRANCISCAN COMMUNITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Mount Healthy Christian Home,OHL500081,1287R,5139315000,mark.oaks@christianvillages.org,8097 HAMILTON AVENUE,Cincinnati,OH,45231,Hamilton,176,"MOUNT HEALTHY CHRISTIAN HOME, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Mount Vernon Health And Rehabilitation Center,OHL01197,2253R,7403921099,bryan@daybreakohio.com,1139 GAMBIER ROAD,Mount Vernon,OH,43050,Knox,16,MOUNT VERNON NH LLC,RESIDENTIAL CARE FACILITY,6/29/21
Mount Vernon Health And Rehabilitation Center,OHL40303,2426R,7403921099,bryan@daybreakohio.com,1133 GAMBIER ROAD,Mount Vernon,OH,43050,Knox,16,"ALS MOUNT VERNON, INC",RESIDENTIAL CARE FACILITY,6/29/21
Mulberry Gardens Assisted Living,OHL40128,2405R,3306349919,jhenry@hawthorncg.com,395 SOUTH MAIN STREET,Munroe Falls,OH,44262,Summit,172,"MUNROE FALLS ASSISTED LIVING OPCO, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Mulberry Gardens Memory Care,OHL42041,2782R,3306333026,michael.shackelford@hawthornret.com,47 STEEPLECHASE LANE,Munroe Falls,OH,44262,Summit,64,MUNROE FALLS MC LLC,RESIDENTIAL CARE FACILITY,6/29/21
National Church Residences At Hopeton Village,OHL41523,2585R,7407738107,cberry@nationalchurchresidences.org,153 UNIVERSITY DRIVE,Chillicothe,OH,45601,Ross,74,NATIONAL CHURCH RESIDENCES,RESIDENTIAL CARE FACILITY,6/29/21
National Church Residences Lincoln Village,OHL40787,2487R,6148701123,handreas-widney@nationalchurchresidences.org,4959 MEDFIELD WAY,Columbus,OH,43228,Franklin,66,NATIONAL CHURCH RESIDENCES LINCOLN LODGE,RESIDENTIAL CARE FACILITY,6/29/21
National Church Residences Of Chillicothe,OHL01176,2158R,7407738107,cberry@nationalchurchresidences.org,142 UNIVERSITY DRIVE,Chillicothe,OH,45601,Ross,100,TRADITIONS OF BATH ROAD,RESIDENTIAL CARE FACILITY,6/29/21
National Church Residences Portage Trail Village,OHL41549,2588R,3309294227,bgemind@nationalchurchresidences.org,45 CATHEDRAL LANE,Cuyahoga Falls,OH,44223,Summit,86,"PORTAGE TRAIL CARE CENTER, INC.",RESIDENTIAL CARE FACILITY,6/29/21
National Church Residences Stygler Road Chimes Ter,OHL41856,2692R,7409665118,ssaum@nationalchurchresidences.org,65 SOUTH WILLIAMS STREET,Johnstown,OH,43031,Licking,48,TRADITIONS AT STYGLER ROAD,RESIDENTIAL CARE FACILITY,6/29/21
New Albany Care Center,OHL01182,2180R,6148558866,kristen.harbert@mmclp.com,5691 THOMPSON ROAD,Columbus,OH,43230,Franklin,42,NEW ALBANY CARE CENTER LIMITED LIABILITY COMPANY,RESIDENTIAL CARE FACILITY,6/29/21
New Dawn Retirement Center,OHL01336,1604R,3303435521,jf6161@gmail.com,865 EAST IRON AVENUE,Dover,OH,44622,Tuscarawas,53,"NEW DAWN NURSING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
North Park Retirement Community,OHL41613,2577R,2162670555,ccalabrase@sovereignhealthcare.com,14801 HOLLAND ROAD,Brookpark,OH,44142,Cuyahoga,78,NORTH PARK CARE CENTER LLC,RESIDENTIAL CARE FACILITY,6/29/21
Northgate Park,OHL01928,2141R,5139233711,rcaldwell@northgateparkseniorliving.com,9191 ROUNDTOP ROAD,Cincinnati,OH,45251,Hamilton,146,"HCP CINCINNATI OH OPCO, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Northwood Assisted Living,OHL01646,1998R,9373997009,ecadmin@eaglewoodcarenh.com,3001 MIDDLE URBANA ROAD,Springfield,OH,45502,Clark,95,EW ALF LLC,RESIDENTIAL CARE FACILITY,6/29/21
Norwood Towers Post Acute,OHL01638,1922R,5136316800,andrew.coons@pacshc.com,1500 SHERMAN AVENUE,Norwood,OH,45212,Hamilton,69,"PREMIER ESTATES 524, LLC",RESIDENTIAL CARE FACILITY,6/29/21
O'Neill Healthcare Bay Village,OHL00399,0448R,4408714509,administrator.bv@oneillhc.com,605 BRADLEY ROAD,Bay Village,OH,44140,Cuyahoga,70,"BRADLEY ROAD NURSING HOME, INC.",RESIDENTIAL CARE FACILITY,6/29/21
O'Neill Healthcare Lakewood,OHL40597,2459R,2162287650,administrator.lw@oneillhc.com,1381 BUNTS ROAD,Cleveland,OH,44107,Cuyahoga,54,"LAKEWOOD SENIOR CAMPUS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
O'Neill Healthcare North Olmsted,OHL03218,2329R,4407349933,administrator.no@oneillhc.com,4800 CLAGUE ROAD,North Olmsted,OH,44070,Cuyahoga,88,"O'NEIL MANAGEMENT, LLC",RESIDENTIAL CARE FACILITY,6/29/21
O'Neill Healthcare North Ridgeville,OHL41382,2566R,4403271295,administrator.nr@oneillhc.com,38600 CENTER RIDGE ROAD,North Ridgeville,OH,44039,Lorain,44,"CENTER RIDGE NURSING HOME, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Oak Creek Terrace,OHL01631,1868R,9374391454,sophia@oakcreekterrace.net,2316 SPRINGMILL ROAD,Kettering,OH,45440,Montgomery,30,"OAK CREEK TERRACE, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Oak Haven Residential Care Center,OHL41677,2624R,4194882310,swebb@oakhavenrc.com,152 MAIN STREET,Cloverdale,OH,45827,Putnam,40,"OAK HAVEN RESIDENTIAL CARE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Oakleaf Village,OHL00686,1999R,4198853934,ddoneghy@wallick.com,4220 NORTH HOLLAND SYLVANIA ROAD,Toledo,OH,43623,Lucas,223,OAKLEAF/TOLEDO LIMITED PARTNERSHIP,RESIDENTIAL CARE FACILITY,6/29/21
Oakleaf Village,OHL00987,2000R,6144311739,dnero@wallick.com,5500 KARL ROAD,Columbus,OH,43229,Franklin,206,"OAKLEAF VILLAGE, LTD.",RESIDENTIAL CARE FACILITY,6/29/21
Oakley Place,OHL01907,2116R,9375489521,nnealeigh@enlivant.com,1275 NORTHVIEW DRIVE,Greenville,OH,45331,Darke,45,OAKLEY AID OPCO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Oaks At Bethesda The,OHL41721,2643R,7404523800,tiffany.goins@oaksatbethesda.com,2971 MAPLE AVENUE,Zanesville,OH,43701,Muskingum,20,TRILOGY HEALTHCARE OF MUSKINGUM II LLC,RESIDENTIAL CARE FACILITY,6/29/21
Oaks At Northpointe The,OHL41729,2645R,7404523000,karen.marzec@trilogyhs.com,3291 NORTHPOINTE DRIVE,Zanesville,OH,43701,Muskingum,26,"TRILOGY HEALTHCARE OF MUSKINGUM, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Oaks At Shady Lawn The,OHL40316,0800R,3308282278,emoore@ehshadylawn.net,15028 OLD LINCOLN WAY EAST,Dalton,OH,44618,Wayne,79,"SHADY LAWN RETIREMENT HOME, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Oakwood,OHL42302,2911R,6145023800,rosesiddle@traditionsmgmt.net,1169 BRYDEN ROAD,Columbus,OH,43205,Franklin,100,"1169 BRYDEN PLACE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Oakwood Village,OHL499908,2376R,9373909000,akturner@mercy.com,1498 VILLA ROAD,Springfield,OH,45503,Clark,88,COMMUNITY MERCY HEALTH PARTNERS,RESIDENTIAL CARE FACILITY,6/29/21
"Ohio Eastern Star Home, Inc The",OHL40586,1037R,7403971706,smarshall@oeshome.org,1451 GAMBIER ROAD,Mount Vernon,OH,43050,Knox,20,THE OHIO EASTERN STAR HOME,RESIDENTIAL CARE FACILITY,6/29/21
Ohio Living Breckenridge Village,OHL00041,1760R,4409424342,tcdurbin@ohioliving.org,36855 RIDGE ROAD,Willoughby,OH,44094,Lake,54,OPRS COMMUNITIES,RESIDENTIAL CARE FACILITY,6/29/21
Ohio Living Cape May,OHL499973,2374R,9373822995,breynolds@ohioliving.org,175 CAPE MAY DRIVE,Wilmington,OH,45177,Clinton,51,OHIO LIVING COMMUNITIES,RESIDENTIAL CARE FACILITY,6/29/21
Ohio Living Dorothy Love,OHL500119,1592R,9374982391,rjdouglas@ohioliving.org,3003 WEST CISCO ROAD,Sidney,OH,45365,Shelby,78,OHIO LIVING COMMUNITIES,RESIDENTIAL CARE FACILITY,6/29/21
Ohio Living Lake Vista,OHL40198,2414R,3306382420,lference@ohioliving.org,303 NORTH MECCA  STREET,Cortland,OH,44410,Trumbull,12,OHIO PRESBYTERIAN RETIREMENT SERVICES,RESIDENTIAL CARE FACILITY,6/29/21
Ohio Living Llanfair,OHL500095,0959R,5136814230,sohara@ohioliving.org,1701 LLANFAIR AVENUE,Cincinnati,OH,45224,Hamilton,64,OPRS COMMUNITIES,RESIDENTIAL CARE FACILITY,6/29/21
Ohio Living Mount Pleasant,OHL01607,1009R,5135397391,skappers@ohiolvining.org,225 BRITTON LANE,Monroe,OH,45050,Butler,65,OHIO LIVING COMMUNITIES,RESIDENTIAL CARE FACILITY,6/29/21
Ohio Living Quaker Heights,OHL500044,1511R,5138976050,sarahthompson@ohioliving.org,514 WEST HIGH STREET,Waynesville,OH,45068,Warren,60,THE FRIENDS HOME OF THE OHIO VALLEY YEARLY MEETING,RESIDENTIAL CARE FACILITY,6/29/21
Ohio Living Rockynol,OHL500110,1280R,3308672150,khanzie@ohioliving.org,1150 WEST MARKET STREET,Akron,OH,44313,Summit,125,OHIO LIVING COMMUNITIES,RESIDENTIAL CARE FACILITY,6/29/21
Ohio Living Sarah Moore,OHL41196,2238R,7403629641,aarnett@ohioliving.org,26 N UNION STREET,Delaware,OH,43015,Delaware,30,SARAH MOORE HEALTH CARE CENTER INC,RESIDENTIAL CARE FACILITY,6/29/21
Ohio Living Swan Creek,OHL500087,2035R,4198654445,tphillips@ohioliving.org,1650 SWAN CREEK LANE,Toledo,OH,43614,Lucas,54,OPRS COMMUNITIES,RESIDENTIAL CARE FACILITY,6/29/21
Ohio Living Vineyard On Catawba,OHL499871,2365R,4197974700,pshaw@ohioliving.org,3896 E VINEYARD VILLAGE DRIVE,Port Clinton,OH,43452,Ottawa,16,OPRS COMMUNITIES,RESIDENTIAL CARE FACILITY,6/29/21
Ohio Living Westminster-Thurber,OHL03212,1222R,6142288888,tarnett@ohioliving.org,645-717 NEIL AVENUE,Columbus,OH,43215,Franklin,78,OPRS COMMUNITIES,RESIDENTIAL CARE FACILITY,6/29/21
Ohman Family Living At Briar,OHL00372,0260R,4406325241,aohman@briarhillhealthcare.com,15950 PIERCE ST,Middlefield,OH,44062,Geauga,5,BRIAR HILL HEALTH CARE RESIDENCE INC.,RESIDENTIAL CARE FACILITY,6/29/21
Ohman Family Living At Briar,OHL40963,2501R,4406325241,aohman@ohmanfamilyliing.com,14807 NORTH STATE STREET,Middlefield,OH,44062,Geauga,40,"BRIAR HILL HEALTH CARE RESIDENCE, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Ohman Family Living At Holly,OHL40179,0259R,4403388220,gohmanjr@ohmanfamilyliving.com,10190 FAIRMOUNT ROAD,Newbury,OH,44065,Geauga,58,JAGGAN LTD.,RESIDENTIAL CARE FACILITY,6/29/21
"Olmsted Manor Retirement Community, Ltd",OHL40974,2504R,4407798886,katie.mossbruger@jtslc.com,27420 MILL ROAD,North Olmsted,OH,44070,Cuyahoga,60,SOVEREIGN ROCKY RIVER LLC,RESIDENTIAL CARE FACILITY,6/29/21
Omni West,OHL00076,2022R,3307934404,mcrisucci@windsorhouseinc.com,3259 VESTAL ROAD,Youngstown,OH,44509,Mahoning,124,DOROTHY MASTERNICK,RESIDENTIAL CARE FACILITY,6/29/21
Ontario Pointe,OHL00859,2165R,4195296447,hrisinger@ontariopointe.com,2124 PARK AVENUE WEST,Mansfield,OH,44906,Richland,50,"DIVERSICARE OF MANSFIELD, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Optimized Senior Living,OHL42320,2918R,5137019218,optimizedseniorliving@gmail.com,"150 ROUGH WAY, BLDG 500",Lebanon,OH,45036,Warren,16,"OPTIMIZED SENIOR LIVING GROUP, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Orchard Grove,OHL00867,2189R,4194841111,cindy.starkey@saberhealth.com,670 FLAT ROCK ROAD,Bellevue,OH,44811,Sandusky,80,"ORCHARD GROVE HEALTHCARE GROUP, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Orrvilla Maple Terrace,OHL40147,2408R,3306834455,mweaver@orrvilla.org,333 EAST SASSAFRAS STREET,Orrville,OH,44667,Wayne,60,"ORRVILLA, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Otterbein North Shore Retirement Community,OHL00831,2057R,4197988203,jennifer.lenthe@otterbein.org,9400 NORTH SHORE BLVD.,Lakeside Marblehead,OH,43440,Ottawa,72,NORTH SHORE RETIREMENT COMMUNITY,RESIDENTIAL CARE FACILITY,6/29/21
Otterbein-Cridersville Retirement Community,OHL500122,1959R,4196455114,kristin.powell@otterbein.org,100 RED OAK DRIVE,Cridersville,OH,45806,Auglaize,96,OTTERBEIN CRIDERSVILLE,RESIDENTIAL CARE FACILITY,6/29/21
Otterbein-Lebanon Retirement Community,OHL01941,0095R,5139335427,lori.ward@otterbein.org,585 NORTH STATE ROUTE 741,Lebanon,OH,45036,Warren,230,OTTERBEIN LEBANON RETIREMENT COMMUNITY,RESIDENTIAL CARE FACILITY,6/29/21
Otterbein-Portage Valley,OHL00678,1737R,4198337000,denice.day@otterbein.org,20311 PEMBERVILLE ROAD,Pemberville,OH,43450,Wood,76,OTTERBEIN HOMES,RESIDENTIAL CARE FACILITY,6/29/21
Otterbein-St. Marys Retirement  Community,OHL01643,1960R,4193946330,melissa.smalley@otterbein.org,11230 STATE ROUTE 364,Saint Marys,OH,45885,Auglaize,101,OTTERBEIN- ST. MARYS,RESIDENTIAL CARE FACILITY,6/29/21
Our Lady Of Grace Hall,OHL41642,2328R,4198243600,jphillips@rosarycare.org,6832 CONVENT BOULEVARD,Sylvania,OH,43560,Lucas,17,ROSARY CARE CENTER,RESIDENTIAL CARE FACILITY,6/29/21
Paisley House,OHL00036,1295R,3307999431,jill@paisleyhouse.com,1408 MAHONING AVENUE,Youngstown,OH,44509,Mahoning,24,PAISLEY HOUSE FOR AGED WOMEN,RESIDENTIAL CARE FACILITY,6/29/21
Paramount Senior Living At Middleburg Heights,OHL00402,2220R,4124960666,bjira@paramountsl.net,15435 BAGLEY ROAD,Middleburg Heights,OH,44130,Cuyahoga,105,"PARAMOUNT SENIOR LIVING AT MIDDLEBURG HEIGHTS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Paramount Senior Living At Polaris,OHL42299,2909R,6143922079,ahowell@paramountsl.net,702 POLARIS PARKWAY,Westerville,OH,43082,Delaware,115,"PARAMOUNT SENIOR LIVING AT POLARIS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Paramount Senior Living At Westerville,OHL03236,2284R,6147942499,akeeton@paramounthr.org,690 COOPER ROAD,Westerville,OH,43081,Franklin,151,"PARAMOUNT SENIOR LIVING AT WESTERVILLE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Park Creek Center,OHL00075,2021R,4408425100,lfelice5@aol.com,10064 NORTH CHURCH DRIVE,Parma Heights,OH,44130,Cuyahoga,75,"MSBA PARK CREEK, LLC",RESIDENTIAL CARE FACILITY,6/29/21
"Park Village Al, Np, Llc",OHL41978,2754R,3303644437,bob@parkvillagehealthcare.com,1019 OLDTOWN VALLEY ROAD SE,New Philadelphia,OH,44663,Tuscarawas,80,"PARK VILLAGE AL, NP, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Park Village Assisted Living,OHL01492,1650R,3303644436,marci@parkvillagehealthcare.com,1525 CRATER AVENUE,Dover,OH,44622,Tuscarawas,67,PARK VILLAGE ASSISTED LIVING LTD,RESIDENTIAL CARE FACILITY,6/29/21
Park Village Assisted Living North,OHL40230,2421R,3303644436,marci@parkvillagehealthcare.com,1529 CRATER AVENUE,Dover,OH,44622,Tuscarawas,68,ROBERT O'DONNELL,RESIDENTIAL CARE FACILITY,6/29/21
Park Vista Assisted Living By Mcare Health,OHL500111,1450R,3307462944,sbartscher@mcareparkvista.com,1216 FIFTH AVENUE,Youngstown,OH,44504,Mahoning,128,OPRS COMMUNITIES,RESIDENTIAL CARE FACILITY,6/29/21
Parkcliffe Advanced Care,OHL00872,2212R,4193819447,faith@parkcliffe.com,4201 PARKCLIFFE LANE,Toledo,OH,43615,Lucas,52,PARKCLIFFE DEVELOPMENT,RESIDENTIAL CARE FACILITY,6/29/21
Parkside,OHL41767,2628R,6145011300,kmiller@mecsrc.com,2225 TAYLOR PARK DRIVE,Reynoldsburg,OH,43068,Franklin,150,WESLEY RIDGE RESIDENCE CORPORATION,RESIDENTIAL CARE FACILITY,6/29/21
Parkside Villa,OHL500128,2347R,4402607626,akraynak@lhshealth.com,7040 HEPBURN ROAD,Middleburg Heights,OH,44130,Cuyahoga,35,MIDDLEBURG - LEGACY PLACE LLC,RESIDENTIAL CARE FACILITY,6/29/21
Parkside Village,OHL41555,2590R,6147949300,cquinlan@danburyseniorliving.com,730 NORTH SPRING,Westerville,OH,43082,Delaware,249,,RESIDENTIAL CARE FACILITY,6/29/21
Parkvue Place,OHL41241,2043R,4196211900,dmiller@uchinc.org,3800 BOARDWALK BLVD,Sandusky,OH,44870,Erie,126,"UNITED CHURCH HOMES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Peebles Place Care Center,OHL00981,1955R,7404151138,bcasey@continuinghc.com,25773 STATE ROUTE 41,Peebles,OH,45660,Adams,42,"ALS PEEBLES, INC",RESIDENTIAL CARE FACILITY,6/29/21
Pickaway Manor Studios,OHL01160,1446R,7404746036,sara.welsh@mmclp.com,391 CLARK DRIVE,Circleville,OH,43113,Pickaway,25,MACINTOSH COMPANY,RESIDENTIAL CARE FACILITY,6/29/21
Pinebrook,OHL41844,2686R,5132974076,klsears@watermarkcommunities.com,5877 PLEASANT HILL ROAD,Milford,OH,45150,Clermont,61,"WATERMARK PINEBROOK, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Pleasant Lake Villa,OHL00048,1872R,4408422273,ssantoli@lhshealth.com,7260 RIDGE ROAD,Parma,OH,44129,Cuyahoga,30,"PLEASANT LAKE NURSING HOME, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Pleasant Pointe Assisted Living,OHL00416,2249R,3308485028,teresa@pleasantviewhealthcare.com,220 3RD ST SE,Barberton,OH,44203,Summit,54,PLEASANT VIEW ASSISTED LIVING LIMITED,RESIDENTIAL CARE FACILITY,6/29/21
Plum Creek Assisted Living Llc,OHL40998,2509R,3302204900,dihrig@zoominternet.net,891 MARKS ROAD,Brunswick,OH,44212,Medina,130,"PLUM CREEK ASSISTED LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Portland Place,OHL00857,2159R,4196241090,rwinslow@enlivant.com,3808 VENICE ROAD,Sandusky,OH,44870,Erie,45,PORTLAND AID OPCO LLC,RESIDENTIAL CARE FACILITY,6/29/21
Powell Assisted Living & Memory Care,OHL42079,2801R,6145880213,ekinner@spectrumretirement.com,3872 ATTUCKS DRIVE,Powell,OH,43065,Delaware,106,"POWELL 2 OPERATOR, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Preserve At Beavercreek Alzheimer'S Special Care C,OHL42144,2837R,9374266714,jenny.lajoye@jeaseniorliving.com,2580 HIBISCUS WAY,Beaver Creek,OH,45431,Greene,66,"BEAVERCREEK CARE GROUP, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Preserve At Mentor Ridge The,OHL42279,2899R,4409751960,ewilliams@the-preserve.net,8161 NORTON PARKWAY,Mentor,OH,44060,Lake,62,"THE PRESERVE AT MENTOR RIDGE, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Primrose Memory Care Of Lancaster,OHL42074,2797R,7406811156,lancaster@primroseretirement.com,1403 WESLEY WAY,Lancaster,OH,43130,Fairfield,30,"LANCASTER MEMORY CARE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Primrose Retirement Communities,OHL40984,2506R,7404501100,ssteinman@primroseretirement.com,4212 NORTH POINTE DRIVE,Zanesville,OH,43701,Muskingum,136,"TSMM MANAGEMENT, L.L.C.",RESIDENTIAL CARE FACILITY,6/29/21
Primrose Retirement Community,OHL40495,2446R,4192241200,opspecialist@primroseretirement.com,3500 WEST ELM STREET,Lima,OH,45805,Allen,136,"TSMM MANAGEMENT, L.L.C.",RESIDENTIAL CARE FACILITY,6/29/21
Primrose Retirement Community Of Findlay,OHL40757,2483R,4194226200,findlay@primroseretirement.com,8580 TOWNSHIP ROAD 237,Findlay,OH,45840,Hancock,136,"FINDLAY RETIREMENT, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Primrose Retirement Community Of Lancaster,OHL40739,2479R,7406533900,laura.teagardner@primroseretirement.com,1481 WESLEY WAY,Lancaster,OH,43130,Fairfield,136,"TSMM MANAGEMENT, L.L.C.",RESIDENTIAL CARE FACILITY,6/29/21
Primrose Retirement Community Of Mansfield,OHL40702,2467R,4195262900,mjohnson@primroseretirement.com,1301 MILLSBORO ROAD,Mansfield,OH,44906,Richland,136,"MANSFIELD RETIREMENT, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Primrose Retirement Community Of Marion,OHL40446,2441R,7403896300,bstepanian@primroseretirement.com,1550 WELLNESS DRIVE,Marion,OH,43302,Marion,136,"TSMM MANAGEMENT, L.L.C.",RESIDENTIAL CARE FACILITY,6/29/21
Princeton Place,OHL00350,0666R,4406355567,nmilner@blossomhillhealthcare.com,12496 PRINCETON ROAD,Huntsburg,OH,44046,Geauga,5,"BLOSSOM HILL CARE CENTER, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Provision Living Of West Clermont,OHL42295,2906R,8594924003,hecheeseman@provisionliving.com,4299 BACH BUXTON ROAD,Cincinnati,OH,45245,Clermont,127,"PVL AT WEST CLERMONT, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Putnam Heritage,OHL40201,2417R,4195235152,jessica@putnamheritage.com,1380 NORTH LOCUST STREET,Ottawa,OH,45875,Putnam,75,"PUTNAM HERITAGE ASSISTED LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
